Date,CHINA SMALL CAP
1998-12,219.09227988180223
1999-01,187.57216869403604
1999-02,193.9102578233225
1999-03,219.74705311975092
1999-04,258.7107368726071
1999-05,262.8181165683031
1999-06,401.6527113613105
1999-07,337.67858548792924
1999-08,341.19975478719147
1999-09,344.16273285564165
1999-10,306.7990780079495
1999-11,322.49314938180987
1999-12,306.1212291862845
2000-01,286.62252785456013
2000-02,246.462622517129
2000-03,254.93889609638413
2000-04,286.47360424234853
2000-05,283.3899756286227
2000-06,309.4697514181291
2000-07,369.78480446516454
2000-08,378.93863503640387
2000-09,334.0948050349272
2000-10,327.0272811819303
2000-11,312.41529489614874
2000-12,310.8773338938219
2001-01,318.4658069372421
2001-02,348.66091725311253
2001-03,365.3248259544785
2001-04,407.7632202309013
2001-05,525.5954308880378
2001-06,500.0273339169361
2001-07,391.22340215616106
2001-08,354.9475529156817
2001-09,321.88998417687515
2001-10,368.34622388300124
2001-11,387.2564734702746
2001-12,386.44703788778156
2002-01,386.6866525986144
2002-02,398.6839197959864
2002-03,407.16685541441956
2002-04,398.0850509929897
2002-05,387.1348567569305
2002-06,366.12787293259345
2002-07,347.92432600333785
2002-08,336.92320580652375
2002-09,313.66566572486204
2002-10,300.5297728063477
2002-11,302.7103180159606
2002-12,287.58231834299204
2003-01,306.4060359681849
2003-02,310.90731149194795
2003-03,293.9460507435852
2003-04,275.90815056248135
2003-05,291.90010188773834
2003-06,300.1643123520811
2003-07,335.0254387074064
2003-08,358.3089800715813
2003-09,348.58003657487586
2003-10,394.9747586161855
2003-11,388.32190056226216
2003-12,381.3289570144974
2004-01,406.99883603838634
2004-02,431.09724307180943
2004-03,412.3047937564001
2004-04,368.40132418610045
2004-05,365.26982010431516
2004-06,353.3602923956211
2004-07,359.7392660913989
2004-08,348.04794173497027
2004-09,370.2702370367692
2004-10,357.74800885416244
2004-11,368.66283623202037
2004-12,355.43694962395347
2005-01,375.06426145615137
2005-02,389.919113971182
2005-03,373.40083319891227
2005-04,371.2210966485946
2005-05,375.77235546998236
2005-06,389.95840426216165
2005-07,387.3887719901344
2005-08,391.0583748710864
2005-09,423.4970554600514
2005-10,390.484443098493
2005-11,426.653797196954
2005-12,441.8313271939752
2006-01,511.55313630787094
2006-02,538.2002630608707
2006-03,566.4011689373815
2006-04,565.3193089497278
2006-05,535.8927356636697
2006-06,529.9253887697877
2006-07,529.3670462739057
2006-08,533.1785701864975
2006-09,570.0942894096057
2006-10,599.5141783939475
2006-11,629.8709924818062
2006-12,688.9245427896169
2007-01,726.7251843316295
2007-02,772.7258708796346
2007-03,791.2617687482712
2007-04,841.7587438085834
2007-05,1000.0
2007-06,1023.9336139561569
2007-07,1132.996980567016
2007-08,1113.4290245296797
2007-09,1192.9332121343107
2007-10,1266.780700645133
2007-11,1102.6173989029464
