Date,SPAIN SMALL CAP
2000-12,99.99999999999999
2001-01,109.41874024386371
2001-02,109.98660016823212
2001-03,107.11524346393703
2001-04,111.30964013030807
2001-05,113.21261881998659
2001-06,110.5692596970402
2001-07,110.157779393241
2001-08,109.01884679285338
2001-09,96.92797989647697
2001-10,103.60340883224174
2001-11,110.43571471475207
2001-12,108.50824899664235
2002-01,112.73209127942681
2002-02,116.14035357268527
2002-03,122.31433080408608
2002-04,127.83530964259204
2002-05,127.99392906758551
2002-06,120.74756283721764
2002-07,110.38758248874342
2002-08,106.30781459342347
2002-09,97.10377231399568
2002-10,102.85469465618546
2002-11,109.24261560506721
2002-12,102.15063219991006
2003-01,102.82486426847588
2003-02,104.40746775392374
2003-03,106.37168514596975
2003-04,113.09612899097526
2003-05,119.05818907824965
2003-06,127.57383282021709
2003-07,134.42388340605424
2003-08,137.02078762614292
2003-09,134.56814753519376
2003-10,142.20905123146176
2003-11,147.0193610100374
2003-12,150.35901552190708
2004-01,162.03563460080255
2004-02,170.53102103438053
2004-03,163.61649284140879
2004-04,167.04190515023453
2004-05,161.13996420627907
2004-06,164.58368559040775
2004-07,167.34077345822445
2004-08,166.9470958554937
2004-09,174.52023210721146
2004-10,180.5533696055929
2004-11,189.09999004074092
2004-12,197.89906543720758
2005-01,216.6818327515092
2005-02,230.59801750864378
2005-03,233.88072263582234
2005-04,230.8173669968568
2005-05,247.47920041053143
2005-06,257.5969540965228
2005-07,267.72359961654826
2005-08,267.508759323617
2005-09,290.64412739627807
2005-10,276.9657649058032
2005-11,276.8759916401281
2005-12,278.2260849031268
2006-01,298.97417681196964
2006-02,312.8672111473003
2006-03,327.5289648830603
2006-04,334.34246606136213
2006-05,306.5149424248207
2006-06,308.0812627047075
2006-07,311.30281700761424
2006-08,328.3467427717459
2006-09,347.8849859496246
2006-10,382.24859390850986
2006-11,398.012487970062
2006-12,413.31352920417027
2007-01,456.354513843201
2007-02,462.8908521279977
2007-03,479.1815954341849
2007-04,471.9372784205108
2007-05,479.39576536777474
2007-06,450.11360306087715
2007-07,463.9915062074433
2007-08,436.08837660206916
2007-09,419.71838037648274
2007-10,454.848727020485
2007-11,426.3380473362453
2007-12,387.63805810214603
2008-01,345.1798136814185
2008-02,348.1519147480514
2008-03,349.19208061674215
2008-04,350.24968464326133
2008-05,343.7797209269835
2008-06,303.8029875366597
2008-07,276.39333802571826
2008-08,280.85881796862463
2008-09,232.7117906627914
2008-10,201.20357409627604
2008-11,192.5379279969299
2008-12,184.73432258523204
2009-01,184.00285869211191
2009-02,167.90997558762993
2009-03,168.49226157962607
2009-04,199.45058998363672
2009-05,215.6568302074956
2009-06,217.56744122872823
2009-07,225.73610532689318
2009-08,239.94966111673165
2009-09,258.2517264221917
2009-10,236.69221923781282
2009-11,234.4401981149198
2009-12,244.58914660074979
2010-01,244.66513465265422
2010-02,234.78993739166492
2010-03,245.73891281479735
2010-04,241.38695644398615
2010-05,213.53725132005187
2010-06,210.9916585249015
2010-07,224.0072006537375
2010-08,223.0918109390054
2010-09,234.30116430549492
2010-10,245.79824816805748
2010-11,218.44946145895133
2010-12,240.70954161884535
2011-01,254.00831887466137
2011-02,262.55009504818247
2011-03,269.3623539267861
2011-04,273.0212529831
2011-05,263.7817777528223
2011-06,249.41886028966815
2011-07,229.66070011552378
2011-08,206.25858003060608
2011-09,191.66709347744964
2011-10,207.00743132677252
2011-11,194.52203684306312
2011-12,193.6376381078248
2012-01,200.03761155415248
2012-02,200.43398565154664
2012-03,198.45004183227795
2012-04,182.56967227431883
2012-05,160.68386045271512
2012-06,172.46484830613196
2012-07,172.08390610194965
2012-08,182.9707678041666
2012-09,186.40843860419866
2012-10,192.40822544280076
2012-11,190.91047629324814
2012-12,204.40650084557288
2013-01,214.42737601812172
2013-02,219.59743529918313
2013-03,211.7988949825555
2013-04,219.1508129627328
2013-05,221.6160902401411
2013-06,222.63064258088343
2013-07,245.96318773632353
2013-08,247.68728981364063
2013-09,274.58733713318327
2013-10,295.6318176061298
2013-11,296.88242134687454
2013-12,303.15188398925096
2014-01,322.5963272218204
2014-02,331.5674048120414
2014-03,339.41584732206127
2014-04,332.1149784644103
2014-05,344.1632794879415
2014-06,346.6241524473095
2014-07,334.7496566037852
2014-08,332.05177236171323
2014-09,336.0856638836547
2014-10,321.4693130373196
2014-11,322.7974671141028
2014-12,317.1286259728345
2015-01,338.8041821126662
2015-02,367.691590154041
2015-03,385.24142554680896
2015-04,382.84680537478414
2015-05,381.1923499631339
2015-06,371.425894170089
2015-07,375.48227697932873
2015-08,351.28907198478817
2015-09,324.9840247341014
2015-10,353.41047997172296
2015-11,357.02325577121593
2015-12,344.6540506301187
2016-01,320.18441892992297
2016-02,317.9537333939293
2016-03,327.8728682301733
2016-04,336.10863371465575
2016-05,339.06582854233886
2016-06,316.330258530741
2016-07,338.6648578262056
2016-08,345.05657179999235
2016-09,349.463411869728
2016-10,346.46484571321866
2016-11,335.1659380959506
2016-12,352.53222398705674
2017-01,356.07873404963505
2017-02,365.4980379810452
2017-03,376.66205574418274
2017-04,392.0300564516312
2017-05,404.3321510646734
2017-06,376.78242719960576
2017-07,375.9853450261219
2017-08,373.5106538291228
2017-09,374.12102701233465
2017-10,379.5160444593015
2017-11,376.43728865949663
2017-12,381.95190355661794
2018-01,393.8760797454379
2018-02,388.7430914785586
2018-03,384.83529902060116
2018-04,401.1671114862508
2018-05,390.862117776257
2018-06,391.0335202351689
2018-07,393.8912022786626
2018-08,391.93400162598186
2018-09,389.28746166123324
2018-10,353.08324412443574
2018-11,348.02071556752236
2018-12,329.57357851071396
2019-01,352.9391763983183
2019-02,353.7128096230034
2019-03,361.03516704610297
2019-04,370.6174676907556
