Date,KUWAIT DOMESTIC SMALL CAP
2002-05,502.8621332953685
2002-06,500.90634402731934
2002-07,489.7928560160543
2002-08,489.9537499081624
2002-09,441.5268236879494
2002-10,456.4341467503674
2002-11,501.50925840522365
2002-12,496.79793366287697
2003-01,512.9220108856321
2003-02,515.044901529509
2003-03,552.2460333039583
2003-04,624.9471780172797
2003-05,631.5947483591698
2003-06,628.4670252541233
2003-07,672.3610131302534
2003-08,742.3117833896273
2003-09,780.8577318975165
2003-10,773.2247324502673
2003-11,766.0597605070653
2003-12,784.1706061980859
2004-01,859.9699967659484
2004-02,894.7238052674137
2004-03,826.7268728118611
2004-04,820.8323217624338
2004-05,810.9745749059326
2004-06,841.0118014528978
2004-07,867.9582355437414
2004-08,905.0709456585303
2004-09,905.4153604169779
2004-10,885.3877013687597
2004-11,888.3390211860485
2004-12,877.9861934050471
2005-01,925.4070054574063
2005-02,911.190823874603
2005-03,961.9476211065274
2005-04,1019.5972661680836
2005-05,1018.9231950912758
2005-06,1100.5456806733034
2005-07,1087.2015715034825
2005-08,1136.2375141487817
2005-09,1290.9284823451426
2005-10,1460.4879190861195
2005-11,1493.6181561458172
2005-12,1436.120998895748
2006-01,1427.8135318879647
2006-02,1364.7082247666647
2006-03,1129.291779286566
2006-04,1115.9602592848914
2006-05,1055.4750924231123
2006-06,1072.3669191006381
2006-07,989.0721173566674
2006-08,1025.509916390619
2006-09,1108.4863993701933
2006-10,1108.9461058275106
2006-11,958.2523743036995
2006-12,973.6176319946109
2007-01,941.9241483273495
2007-02,930.8726438889
2007-03,959.9511411730537
2007-04,973.3186426316576
2007-05,1045.2270182200114
2007-06,1098.9809753956642
2007-07,1175.9094402568298
2007-08,1189.3417864298872
2007-09,1136.6984973022008
2007-10,1096.3405637177448
2007-11,1000.0000000000001
2007-12,1028.9907387921814
2008-01,1110.4226704823122
2008-02,1120.3394007448987
2008-03,1080.2663837376472
2008-04,1122.4783132611517
2008-05,1177.0059060657563
2008-06,1179.8939243130317
2008-07,1130.120724462465
2008-08,1116.4455174233824
2008-09,950.6500947284877
2008-10,731.8066099532604
2008-11,645.5666922923667
2008-12,493.06377588437647
2009-01,431.1900555346786
2009-02,427.61791619498075
2009-03,431.99961965786133
2009-04,519.5779470319184
2009-05,519.7830331370898
2009-06,530.2942781172775
2009-07,490.9405606267672
2009-08,495.5771037409697
2009-09,484.0353053108366
2009-10,435.82035794769604
2009-11,402.74532169225677
2009-12,419.456314781697
2010-01,443.32058514041523
2010-02,477.3115046712445
2010-03,480.0949265702394
2010-04,478.7283905568308
2010-05,430.8754854048066
2010-06,412.41372361856975
2010-07,434.9476777718973
2010-08,433.35199946301543
2010-09,428.8166536642748
2010-10,434.7338491169961
2010-11,449.5617888577576
2010-12,439.5402508556024
2011-01,438.50367814460253
2011-02,396.5543430004047
2011-03,365.41717616101715
2011-04,375.56913964260417
2011-05,372.4007493064115
2011-06,360.39564131335857
2011-07,351.60627181898116
2011-08,321.6105371144067
2011-09,353.2252248412292
2011-10,364.69198410681844
2011-11,362.07932366387234
2011-12,364.7248314771258
2012-01,362.92579478148593
2012-02,358.94577971054593
2012-03,373.70195165774703
2012-04,376.7124781085729
2012-05,385.5523821208632
2012-06,350.9742343475422
2012-07,357.27960057158674
2012-08,353.68717969915053
2012-09,368.23448443273537
2012-10,349.4454298271086
2012-11,343.1756932213277
2012-12,340.2091771710184
2013-01,345.5930559224267
2013-02,342.0279875103998
2013-03,360.8806668922063
2013-04,377.4891910735791
2013-05,400.2735464837144
2013-06,381.1756081722927
2013-07,384.6608071763553
2013-08,365.53958315604575
2013-09,367.7219090503551
2013-10,369.2196626894691
2013-11,368.7238883312725
2013-12,357.9909790737115
2014-01,365.4530632783464
2014-02,361.7933801622523
2014-03,366.0520043601921
2014-04,375.00978257938
2014-05,376.05170686255553
2014-06,354.6746381793952
2014-07,370.5071388590234
2014-08,389.03774746163145
2014-09,406.43430782598693
2014-10,391.19723426816887
2014-11,371.3277114677749
2014-12,361.2750031364769
2015-01,384.86404277850994
2015-02,380.29672887687775
2015-03,380.84304836571164
2015-04,366.1864418163788
2015-05,365.66954956159947
2015-06,351.5354746342077
2015-07,360.47955377962455
2015-08,324.5716082215733
2015-09,325.5947786245708
2015-10,334.32233496341536
2015-11,359.02790921709015
2015-12,338.23218904396765
2016-01,308.69917003767245
2016-02,317.80324193223345
2016-03,319.3325018914533
2016-04,328.0507061403579
2016-05,320.5713911026937
2016-06,320.6292675048401
2016-07,320.9374988220648
2016-08,311.00339022999924
2016-09,304.23858463563545
2016-10,325.8795686593083
2016-11,331.6877339026367
2016-12,343.9772751871766
2017-01,370.1255808781535
2017-02,369.8729454827569
2017-03,357.0605396990776
2017-04,336.3486271513194
2017-05,320.4282631367769
2017-06,316.4808758631018
2017-07,324.87051776030586
2017-08,318.9023964378183
2017-09,320.77066016271095
2017-10,315.02972897579275
2017-11,294.80790095746147
2017-12,297.64887613125643
2018-01,288.7681275677055
2018-02,292.3630100911221
2018-03,292.0875353449695
2018-04,295.63170100268405
2018-05,298.149377761101
2018-06,303.8782694790554
2018-07,315.7346431624695
2018-08,313.09696835744137
2018-09,301.6805248872014
2018-10,293.75076070621594
2018-11,308.6479898096523
2018-12,301.064228904352
2019-01,298.8956118109417
2019-02,293.6419064032904
