Date,GERMANY SMALL CAP
2000-12,100.0
2001-01,111.6120624304164
2001-02,101.98283688218248
2001-03,93.31116027413911
2001-04,97.01946021465743
2001-05,98.54120067083903
2001-06,91.18653517220996
2001-07,83.39976652109605
2001-08,76.60465566472381
2001-09,67.68696984682867
2001-10,76.39318703390775
2001-11,83.50589324422496
2001-12,82.62774683212176
2002-01,83.26000925876087
2002-02,80.55161535181605
2002-03,82.616981350351
2002-04,83.30630656650247
2002-05,79.59605803667314
2002-06,71.76477410044463
2002-07,61.8834611479615
2002-08,60.13023100171714
2002-09,49.13944763362716
2002-10,54.61443756233408
2002-11,54.77755946896886
2002-12,47.88817143461851
2003-01,48.67871937619534
2003-02,46.48664965935959
2003-03,46.5875129939757
2003-04,55.39379765352379
2003-05,56.00818322154658
2003-06,58.75298864516619
2003-07,64.17611150421428
2003-08,66.56089787748334
2003-09,66.63482883603665
2003-10,73.99723941030483
2003-11,73.75082599900949
2003-12,74.16644067833997
2004-01,80.79232453345585
2004-02,83.86401327151931
2004-03,81.13891835314428
2004-04,82.62469621964262
2004-05,80.26457452763974
2004-06,83.53392521835916
2004-07,80.48934569255486
2004-08,77.35229947838015
2004-09,80.04690961045344
2004-10,81.20140243615106
2004-11,85.6390785276399
2004-12,89.14127076768284
2005-01,94.58175822773465
2005-02,98.58379747767204
2005-03,96.82222316890251
2005-04,90.74893238933002
2005-05,97.84830952800814
2005-06,104.37697036057983
2005-07,111.16701081337125
2005-08,111.36797278972257
2005-09,116.89988039314306
2005-10,107.84259636220632
2005-11,112.73573911514663
2005-12,117.54155859915537
2006-01,129.1233302490616
2006-02,133.51716808656354
2006-03,134.32206356296663
2006-04,134.37720700833165
2006-05,124.32720909098316
2006-06,122.14458284162639
2006-07,119.62108448421736
2006-08,120.37147403677733
2006-09,126.37018911164395
2006-10,132.23134112939246
2006-11,134.50314545333475
2006-12,143.12734318639124
2007-01,150.92116561241752
2007-02,149.5081016233009
2007-03,158.05296679934287
2007-04,165.19605574984627
2007-05,169.459765363394
2007-06,170.25982246355977
2007-07,164.79132166030033
2007-08,159.08874468641616
2007-09,158.5913108539367
2007-10,160.19629358811878
2007-11,146.1598310617587
2007-12,145.90276300525136
2008-01,126.47915688307197
2008-02,129.96420368372492
2008-03,126.88133569536006
2008-04,134.12076693719033
2008-05,137.21420897999627
2008-06,125.22459143014166
2008-07,118.95403415027043
2008-08,123.21523148328562
2008-09,100.21046658606372
2008-10,77.02248800490916
2008-11,75.63984406664675
2008-12,83.019017688788
2009-01,75.69640850284009
2009-02,69.5136468155712
2009-03,71.80191988071543
2009-04,87.41318064310511
2009-05,92.70489128060332
2009-06,93.77337968745128
2009-07,100.03226508524378
2009-08,108.16896186605366
2009-09,118.83738911173671
2009-10,112.71272025460709
2009-11,119.59771751692803
2009-12,124.79617850373289
2010-01,125.98242768773832
2010-02,125.83079101351139
2010-03,135.74019701250518
2010-04,137.86494240241808
2010-05,130.63794605633817
2010-06,130.24058811217333
2010-07,136.26370330906298
2010-08,132.78238253442674
2010-09,141.6361221700945
2010-10,151.79195367787202
2010-11,153.0046455186947
2010-12,168.6772582428526
2011-01,169.05988899317433
2011-02,170.05996298820187
2011-03,172.62744155392923
2011-04,178.1737840545476
2011-05,179.48532579164308
2011-06,178.71282893917186
2011-07,167.2655489949531
2011-08,147.27503889259637
2011-09,133.8867604988765
2011-10,143.79847747733686
2011-11,140.43164043767928
2011-12,137.80895626724825
2012-01,149.7037337266496
2012-02,157.53394594349004
2012-03,159.04204820678763
2012-04,162.07453436008356
2012-05,152.8697951484728
2012-06,153.8691685686201
2012-07,159.35992796756364
2012-08,160.97207991532377
2012-09,164.18255849507366
2012-10,169.79223191853387
2012-11,174.01393859449604
2012-12,176.89605973889508
2013-01,184.02139802852446
2013-02,194.19734483104918
2013-03,192.3562155555635
2013-04,191.3033882603823
2013-05,202.9456545406364
2013-06,194.01815534117645
2013-07,200.99108897676913
2013-08,204.32327264645966
2013-09,214.57351323532245
2013-10,225.29175672699594
2013-11,228.39675885802956
2013-12,229.27713882462925
2014-01,235.969995500454
2014-02,245.83421777551973
2014-03,240.10780532926444
2014-04,238.23242184144667
2014-05,251.02061967996428
2014-06,250.6226481208691
2014-07,232.60685118462098
2014-08,235.48664608888038
2014-09,233.131090722842
2014-10,231.3924999350468
2014-11,245.47845826342862
2014-12,250.31931813318275
2015-01,269.9367295681889
2015-02,289.24949071762114
2015-03,294.39154397415933
2015-04,291.37112279318535
2015-05,299.1696610768961
2015-06,289.4026887577913
2015-07,302.2915564310358
2015-08,291.0218532851034
2015-09,289.4727587981422
2015-10,307.37901751332356
2015-11,316.1780306037786
2015-12,312.8934560305213
2016-01,289.3269757322516
2016-02,286.37184962991205
2016-03,301.0918967008597
2016-04,299.91652375293273
2016-05,315.8370621544627
2016-06,299.72714557451263
2016-07,320.45859540729305
2016-08,322.08681926782765
2016-09,325.80465608377136
2016-10,319.4818566472332
2016-11,311.94805881790586
2016-12,327.61384328078265
2017-01,334.9343760670793
2017-02,346.86173448671036
2017-03,361.78629257831705
2017-04,374.7559881765626
2017-05,393.81346584492485
2017-06,382.35023602420745
