Date,MEXICO SMALL CAP
1998-12,213.1239464422286
1999-01,202.19336999269188
1999-02,213.98997453174917
1999-03,246.4183103266354
1999-04,268.3665722593888
1999-05,250.6188240666866
1999-06,268.0996454173174
1999-07,243.93400209262285
1999-08,259.12902399981
1999-09,246.25802315651117
1999-10,244.04730342630216
1999-11,291.46317594854025
1999-12,314.61425885860064
2000-01,308.05718134550443
2000-02,322.971626311061
2000-03,330.46670765761723
2000-04,330.298246319787
2000-05,307.9810842733976
2000-06,300.7070316835015
2000-07,324.47348591672284
2000-08,340.783279449092
2000-09,330.44140663396746
2000-10,318.68250134260046
2000-11,311.61993624526536
2000-12,278.2896686078113
2001-01,280.10913317738664
2001-02,281.79336850463056
2001-03,308.22242099242135
2001-04,322.07776834219226
2001-05,347.9676795928286
2001-06,342.243423122623
2001-07,317.94741200514386
2001-08,294.944602580498
2001-09,257.9158032449287
2001-10,274.45090261491606
2001-11,290.02512539449555
2001-12,317.03876932643993
2002-01,340.3490474912899
2002-02,347.4919173283738
2002-03,372.6276078334544
2002-04,371.72869839609
2002-05,366.7080584518222
2002-06,310.09148070000606
2002-07,302.5747986130741
2002-08,298.4765047669308
2002-09,262.1421885386977
2002-10,266.16465289582436
2002-11,271.7236237330906
2002-12,243.05854016762922
2003-01,221.50618465063963
2003-02,220.63773452515338
2003-03,219.93552841739717
2003-04,253.75984090829112
2003-05,250.45265242070653
2003-06,263.8009709702904
2003-07,279.8261570585161
2003-08,282.8179407404714
2003-09,283.21089633318644
2003-10,314.67971622688344
2003-11,310.7047392627686
2003-12,323.03012248231676
2004-01,363.23528167325225
2004-02,390.79900976299945
2004-03,407.25327060355363
2004-04,375.7209568001065
2004-05,368.86531034705376
2004-06,370.63150978812956
2004-07,372.487686712526
2004-08,376.1936428025803
2004-09,392.9678656699329
2004-10,390.0450346487044
2004-11,410.1835251332381
2004-12,433.3490281665873
2005-01,469.5129719461322
2005-02,477.3188280930724
2005-03,440.50476706234036
2005-04,425.6857877947244
2005-05,470.39207148795043
2005-06,504.51986641940215
2005-07,545.0380206544972
2005-08,531.384658265673
2005-09,582.2614735269103
2005-10,558.3077161264615
2005-11,607.147634326776
2005-12,634.6759911452833
2006-01,664.1815777911837
2006-02,671.9253004324524
2006-03,656.8513024879363
2006-04,651.6398453517934
2006-05,605.8399888821713
2006-06,598.7067567992606
2006-07,659.1199653876523
2006-08,673.8464425870718
2006-09,715.0439066190391
2006-10,762.4215483842028
2006-11,755.9597398300158
2006-12,835.9418951173758
2007-01,876.4159158910959
2007-02,843.732831700341
2007-03,917.1247700867184
2007-04,907.3664604277209
2007-05,1000.0
2007-06,1019.6379741042425
2007-07,1033.2371676280168
2007-08,980.5130427794082
2007-09,956.249991583058
2007-10,983.5901117750997
2007-11,872.015034905245
2007-12,914.9113238361616
2008-01,829.7529893885046
2008-02,816.4280065420496
2008-03,790.7656960794852
2008-04,840.1027295285019
2008-05,885.2071965676347
2008-06,810.9785613153689
2008-07,763.7768699790539
2008-08,750.1795618642667
2008-09,648.2281453331033
2008-10,474.9183138435632
2008-11,416.5600937581242
2008-12,418.3738872344395
2009-01,385.0651631659326
2009-02,350.78150612335656
2009-03,348.0341538811274
2009-04,414.6002435992774
2009-05,495.751990697493
2009-06,507.9285215090192
2009-07,546.0208520065132
2009-08,589.7801252907054
2009-09,611.2673937370681
2009-10,612.8468475818325
2009-11,661.5901775561794
2009-12,707.3355254947179
2010-01,716.0799887450605
2010-02,762.9965577413537
2010-03,827.2110311361139
2010-04,854.3211607415441
2010-05,839.6248435536733
2010-06,820.0817025626993
2010-07,821.1267724627951
2010-08,776.6868888322654
2010-09,789.7581925620502
2010-10,843.653028949337
2010-11,927.2528261428076
2010-12,948.7363681100853
2011-01,918.3004623503754
2011-02,865.122268386592
2011-03,868.8846493419767
2011-04,865.5749139787761
2011-05,852.0209117966226
2011-06,835.2095122567321
2011-07,813.1893886140394
2011-08,710.1676484427991
2011-09,604.6694720046654
2011-10,661.4227278602838
2011-11,672.5363341629787
2011-12,695.6641031109658
2012-01,803.0907533790113
2012-02,782.1066840841647
2012-03,810.283982271537
2012-04,821.57327706222
2012-05,761.1159263153426
2012-06,830.8848007286625
2012-07,858.6358470628702
2012-08,831.017571236938
2012-09,882.837601300317
2012-10,901.5879779166335
2012-11,920.5243419612145
2012-12,961.7139084685111
2013-01,1042.3553070589867
2013-02,1040.399470965335
2013-03,1155.8000015166426
2013-04,1040.445880581839
2013-05,962.4512632149209
2013-06,880.5631168130236
2013-07,874.4349821744612
2013-08,853.1384465715105
2013-09,834.928044937819
2013-10,829.7331344496519
2013-11,806.1773517956676
2013-12,820.9558256606583
2014-01,808.9534206371042
2014-02,760.0155995347021
2014-03,829.1395658468444
2014-04,820.3486183788366
2014-05,867.6342735841935
2014-06,883.5309103411287
2014-07,877.333595110313
2014-08,908.2348339421605
2014-09,915.755804100512
2014-10,931.4735924093354
2014-11,889.35785604841
2014-12,848.0331806901792
2015-01,871.8855411516661
2015-02,930.4905555216843
2015-03,928.0048766863518
2015-04,906.9434403831996
2015-05,908.5303105466968
2015-06,868.021439711604
2015-07,896.5653773287133
2015-08,803.0162673267317
2015-09,814.5211935608774
2015-10,860.4225532667845
2015-11,895.3224409534264
2015-12,835.1103289229375
2016-01,786.264798803617
2016-02,801.3593362488351
2016-03,851.3020553016611
2016-04,871.8201492838252
2016-05,836.0801806815265
2016-06,833.9413854037435
2016-07,833.6142337779273
2016-08,848.1994526669076
2016-09,802.6635667184606
2016-10,881.190115970704
2016-11,773.6628941599924
2016-12,771.7346768925
2017-01,753.2152111658422
2017-02,782.3680108350127
2017-03,850.6292874486978
2017-04,836.0982125148622
2017-05,816.0563654600143
2017-06,868.2178289354204
2017-07,855.3075234783121
2017-08,854.2680587376572
2017-09,830.1757854803985
2017-10,767.7931324877757
2017-11,767.5794041068984
2017-12,732.3699717453246
2018-01,750.853460822663
2018-02,755.1166713920915
2018-03,761.9475245945583
2018-04,779.7839885823741
2018-05,717.0707219945962
2018-06,756.3479542562108
2018-07,830.8695426270714
2018-08,826.1755366747695
2018-09,850.8955635079427
2018-10,696.5344860364901
2018-11,681.2926690198054
2018-12,680.0232279114628
2019-01,747.530098002294
2019-02,758.9452525739773
2019-03,773.5891525451383
2019-04,824.4406973033454
2019-05,779.7885637288351
2019-06,781.8796503775216
2019-07,786.7160981184126
2019-08,771.9200003692303
2019-09,811.1203444007821
2019-10,857.0298037725257
2019-11,854.0741592228753
2019-12,867.2584348769117
2020-01,898.7986175356045
2020-02,824.2725617499862
2020-03,527.2706842465905
2020-04,554.8239160521001
2020-05,605.2615158969631
2020-06,610.8402368592359
2020-07,603.2612381943785
2020-08,614.389531026489
2020-09,634.4065064291178
2020-10,647.4027116075604
2020-11,762.4201141869817
2020-12,801.4119401996525
2021-01,759.7472671873779
2021-02,770.1170219295223
2021-03,832.4089059473987
2021-04,843.5454943694459
2021-05,873.5865855761879
2021-06,924.7721180787668
2021-07,934.0387709981012
2021-08,927.4583561533168
2021-09,910.7622776304574
2021-10,896.7859965463688
2021-11,836.7892677235943
2021-12,957.8072965244364
2022-01,967.6219636132593
2022-02,990.2665134454583
2022-03,1080.6154796839035
2022-04,1063.4859862820865
2022-05,1088.0238264865175
2022-06,994.4053242014511
2022-07,1065.3788827337971
2022-08,1038.2597511929914
2022-09,1076.7885264014114
2022-10,1201.263835195462
2022-11,1262.5964946201902
2022-12,1195.1905530711756
2023-01,1367.6067629033203
2023-02,1403.8050881937754
2023-03,1429.059070321979
2023-04,1403.4209308902707
2023-05,1461.9128653736082
2023-06,1480.5414767533712
2023-07,1573.4368329415954
