Date,KENYA SMALL CAP
2010-11,1000.0
2010-12,993.9531735151542
2011-01,971.3427224758015
2011-02,882.3950414174735
2011-03,787.5564125580769
2011-04,783.9696241888008
2011-05,796.7627155997972
2011-06,749.764159501261
2011-07,678.7510860172433
2011-08,604.976723847466
2011-09,561.9669125391962
2011-10,569.18684614212
2011-11,576.0068991837584
2011-12,649.6284628747073
2012-01,634.1487949155321
2012-02,652.842686955564
2012-03,640.989809634739
2012-04,704.7895957685378
2012-05,749.0643058707722
2012-06,744.8664725178897
2012-07,801.7909020459214
2012-08,781.8492346626186
2012-09,754.3864815388217
2012-10,769.5866077922992
2012-11,735.5514119945992
2012-12,710.1934594590583
2013-01,714.7437859359618
2013-02,740.2086285555337
2013-03,793.3522347719322
2013-04,782.602369589472
2013-05,767.5836712212864
2013-06,693.4226324172712
2013-07,679.9429644906933
2013-08,683.3968058715383
2013-09,683.0304837972899
2013-10,727.4642729794788
2013-11,782.4779841948181
2013-12,762.3183748874069
2014-01,781.423319743299
2014-02,765.1365322512229
2014-03,778.3127756200425
2014-04,774.843886994788
2014-05,747.9747912789846
2014-06,754.7064110222499
2014-07,797.3057640390263
2014-08,895.398729916813
2014-09,1014.4419924201987
2014-10,973.923064051814
2014-11,941.1798576425376
2014-12,980.6439050257352
2015-01,1046.187967682021
2015-02,1117.495791844504
2015-03,1095.6235120714962
2015-04,967.0391669018131
2015-05,917.3539195769787
2015-06,922.1261447245713
2015-07,778.7894253144261
2015-08,682.8886072186617
2015-09,682.3987254031138
2015-10,633.1363674487449
2015-11,697.0660452408375
2015-12,653.0855522888995
2016-01,586.5837652424689
2016-02,597.2759475170824
2016-03,564.4422658979487
2016-04,584.8665521523391
2016-05,585.642992687793
2016-06,566.6189121496137
2016-07,509.2407888465986
2016-08,436.4380055719308
2016-09,470.9027699174736
2016-10,473.5749634249475
2016-11,493.96569450482
2016-12,474.27650426234527
2017-01,400.29378265578146
2017-02,458.8310706453939
2017-03,483.8461787898375
2017-04,474.0043979729362
2017-05,551.8787103257501
2017-06,557.858502996611
2017-07,572.1752913592196
2017-08,625.867997310139
2017-09,609.6066168523182
2017-10,594.7399370771614
2017-11,604.4784076625942
2017-12,585.3029197839338
2018-01,572.7888655942518
2018-02,617.8304348457867
2018-03,639.4348757145074
2018-04,627.4360049524787
2018-05,600.6517510042446
2018-06,610.7154146853939
2018-07,587.6270953310516
2018-08,569.036601635603
2018-09,516.3132148644568
2018-10,511.50965303163775
2018-11,515.0395939531049
2018-12,506.2726484325873
2019-01,545.7254990136431
2019-02,520.4225953444716
2019-03,538.0088877638468
2019-04,514.34393249436
2019-05,495.32688042289925
2019-06,478.997230958843
2019-07,479.7697131895095
2019-08,479.0919635405039
2019-09,500.6748826096494
2019-10,609.1343841681687
2019-11,608.7025356315113
2019-12,651.7236355063607
2020-01,646.2723615847303
2020-02,559.815802282399
2020-03,425.0105784450895
2020-04,465.3551975566829
2020-05,445.22354387891215
2020-06,445.27794032571376
2020-07,390.96736358632944
2020-08,409.00559948261406
2020-09,432.2168121983976
2020-10,407.77880610379384
2020-11,403.0777533755122
2020-12,432.1690579307655
2021-01,434.0462382543427
2021-02,464.04731599354477
2021-03,483.1254522633451
2021-04,492.82409442115465
2021-05,492.61837744636284
2021-06,507.46177763596864
2021-07,537.4234911710265
2021-08,561.2033581220026
2021-09,549.274451625345
2021-10,514.4229419259775
2021-11,517.4254409343752
2021-12,544.2317611699513
2022-01,546.6084559280131
2022-02,544.3398886144548
2022-03,538.6992381447038
2022-04,510.3044377448971
2022-05,503.67641077562206
2022-06,518.3049960848087
2022-07,561.120598145475
2022-08,560.8583545095179
2022-09,580.6280864034085
2022-10,526.9015842501286
2022-11,508.03379852313765
2022-12,500.9870665619009
2023-01,494.3117264834835
2023-02,500.8812433453562
2023-03,442.2649379726889
2023-04,404.54510465593233
2023-05,404.1805821536572
2023-06,364.25297001011955
2023-07,349.15489853415943
