Date,KAZAKHSTAN SMALL CAP
2015-11,1000.0
2015-12,935.2073223655658
2016-01,720.4281555513013
2016-02,891.0197413832774
2016-03,796.6180259124843
2016-04,636.7018191569638
2016-05,922.3691447967346
2016-06,849.3372075063295
2016-07,843.7926856062207
2016-08,840.9725228869488
2016-09,829.747582645532
2016-10,898.7404767032111
2016-11,824.0864795823745
2016-12,841.9691720015339
2017-01,929.6065289541486
2017-02,928.4650058581057
2017-03,934.1081363093771
2017-04,879.238916
2017-05,860.79466
2017-06,951.551897
2017-07,1007.595693
2017-08,1011.541288
2017-09,1389.447546
2017-10,1357.145977
2017-11,1193.117091
2017-12,1331.284597
2018-01,1224.383679
2018-02,1149.576192
2018-03,1142.426983
2018-04,1179.892721516911
2018-05,1174.8558853295456
2019-05,972.6549109346256
2019-06,969.433789954338
2019-07,923.3051913059103
2019-08,936.8191575547502
2019-09,1138.0787041912326
2019-10,1083.6012425952144
2019-11,1154.133031305289
2019-12,1210.5999905022156
2020-01,1209.817041449382
2020-02,1237.105457088385
2020-03,1238.4584090578603
2020-04,1213.6923380182354
2020-05,1091.4785373268924
