Date,PAKISTAN SMALL VALUE
2017-06,876.0723601824495
2017-07,867.009889229674
2017-08,818.8198420134537
2017-09,869.5546051164071
2017-10,857.811135388681
2017-11,828.8267918483505
2017-12,773.7906910838173
2018-01,810.9909152010802
2018-02,804.4760261888118
2018-03,809.6987906627784
2018-04,831.0444458946936
2018-05,827.7178772275747
2018-06,771.5277642162911
2018-07,772.4256703674596
2018-08,773.9552424474896
2018-09,755.5757342990704
2018-10,756.0718066214451
2018-11,720.2940147368298
2018-12,624.2030755634476
2019-01,704.7998314807512
2019-02,674.1339517747967
2019-03,656.0919809592253
2019-04,638.36926173544
2019-05,613.4868267175408
2019-06,512.3057373077451
2019-07,503.75386561967997
2019-08,483.9104922222816
2019-09,541.9590249008419
2019-10,571.2489204276332
2019-11,658.7876481395095
2019-12,672.7046378261352
2020-01,685.3076991565684
2020-02,626.9609305741479
2020-03,453.0951962030027
2020-04,546.0679584035444
2020-05,514.4166055238466
2020-06,503.9672617968976
2020-07,534.3502282469215
2020-08,546.7919661316726
2020-09,544.6112364076226
2020-10,542.3595754975867
2020-11,566.4505689244696
2020-12,579.0446832701044
2021-01,600.4393098604972
2021-02,586.0506868994737
2021-03,604.9461563485712
2021-04,598.6074923882916
2021-05,627.3467228192281
2021-06,623.6067686169936
2021-07,606.0755505999189
2021-08,600.7701618424062
2021-09,581.3125893485261
2021-10,623.9044966520099
2021-11,624.6892699164704
