Date,JORDAN SMALL CAP
1998-12,489.35902389674493
1999-01,553.3989783724167
1999-02,596.8310811833575
1999-03,596.7476714830134
1999-04,582.1670956359909
1999-05,623.078445471701
1999-06,627.1413874384101
1999-07,609.0904798763322
1999-08,598.1072734656478
1999-09,561.6978355435255
1999-10,560.3756151381876
1999-11,590.0916784077208
1999-12,634.7273749320512
2000-01,629.3020289717319
2000-02,580.9928995145567
2000-03,603.2835012660817
2000-04,646.9114535348994
2000-05,590.9135344449694
2000-06,576.3159952438591
2000-07,546.8767305593465
2000-08,555.155862176423
2000-09,576.5393802586952
2000-10,594.8102783628416
2000-11,583.7406986049504
2000-12,543.2733732554747
2001-01,548.1038566287017
2001-02,559.7809175096055
2001-03,586.0777031341821
2001-04,564.2552334027324
2001-05,597.4993268368218
2001-06,591.1780709888924
2001-07,577.1976841594907
2001-08,556.7545059074841
2001-09,539.9024308586366
2001-10,553.0090946735941
2001-11,569.1217224278536
2001-12,603.4230253182106
2002-01,646.6646509609424
2002-02,629.0684455292193
2002-03,647.8663303077097
2002-04,614.9007355733963
2002-05,628.1814609914777
2002-06,660.8265528646764
2002-07,609.0928630035835
2002-08,581.5223986425033
2002-09,552.472859625794
2002-10,531.5737248052732
2002-11,550.0025530146328
2002-12,528.4564392984455
2003-01,539.8881429416323
2003-02,510.1952008301117
2003-03,558.5389618612171
2003-04,598.9351880083714
2003-05,595.4306565306744
2003-06,626.521303477769
2003-07,700.7111397685085
2003-08,734.9440794158417
2003-09,710.7745277641363
2003-10,706.7605786059197
2003-11,729.3564330089575
2003-12,752.3213174243822
2004-01,814.5766806384137
2004-02,776.4187708291017
2004-03,766.6263027843977
2004-04,754.2119036533217
2004-05,772.1537167636089
2004-06,819.3745102604083
2004-07,853.0641813142387
2004-08,857.1826191054707
2004-09,888.733624626703
2004-10,891.4348862118989
2004-11,922.9038777880305
2004-12,918.0930181239684
2005-01,1089.2120951267452
2005-02,1159.7971096146819
2005-03,1394.5210974258066
2005-04,1614.1752614733166
2005-05,1648.733229997497
2005-06,1921.2255921479032
2005-07,1769.7482489831334
2005-08,1949.1503225218676
2005-09,1856.9108368237942
2005-10,1780.980945757419
2005-11,1819.8775866528724
2005-12,1633.6370849206812
2006-01,1655.958153701287
2006-02,1399.192056587252
2006-03,1253.5197944335173
2006-04,1234.3903455053712
2006-05,1178.54322370349
2006-06,1023.2669663909571
2006-07,1000.9478960381339
2006-08,1030.1628409465172
2006-09,1023.2357295123326
2006-10,1023.0763903909092
2006-11,918.3191473903687
2006-12,937.3663481504138
2007-01,1041.6868239600321
2007-02,1059.6098467278882
2007-03,1019.9349325547455
2007-04,990.7444117960455
2007-05,1000.0
2007-06,1038.6562413793768
2007-07,986.7468655602199
2007-08,960.5389731648589
2007-09,943.4481322215571
2007-10,1002.9051834750526
2007-11,982.3727394335134
2007-12,1085.915642499642
2008-01,1140.9178353794548
2008-02,1172.2016308677228
2008-03,1129.409195483007
2008-04,1237.283301614783
2008-05,1317.349123639501
2008-06,1438.4324432759563
2008-07,1362.0683999631099
2008-08,1347.653152919261
2008-09,1293.0907263769477
2008-10,1124.9315433876493
2008-11,947.1373666081097
2008-12,854.7267191398946
2009-01,926.8297586004298
2009-02,991.4224135897957
2009-03,1069.962831052852
2009-04,1157.1218775295197
2009-05,1103.0741106213625
2009-06,1056.096813139926
2009-07,987.5769011321137
2009-08,910.8462987249263
2009-09,1137.4515947041514
2009-10,1043.3774023981823
2009-11,955.7127694475812
2009-12,949.7994375847627
2010-01,962.1328301244098
2010-02,938.3395048750276
2010-03,1027.7945070573378
2010-04,1121.1378681999533
2010-05,1069.0702053026582
2010-06,1047.0375072750282
2010-07,974.8795124898717
2010-08,946.006787615033
2010-09,932.0078945724538
2010-10,899.7431592917734
2010-11,942.1429125526628
2010-12,915.0161266321469
