Date,POLAND SMALL CAP
1998-12,229.91002568448812
1999-01,243.75118547911734
1999-02,226.2741288871879
1999-03,249.8204765949689
1999-04,264.4354505906282
1999-05,275.8481534405107
1999-06,299.0122408550632
1999-07,292.6047348381513
1999-08,298.762835203942
1999-09,239.92013678595313
1999-10,244.75385556273883
1999-11,272.0508778424329
1999-12,328.1279926920647
2000-01,352.4254558601042
2000-02,395.9676048905045
2000-03,412.07565927357297
2000-04,358.7311461160316
2000-05,359.5823231251742
2000-06,368.252197134904
2000-07,364.8122472225159
2000-08,363.4527919034409
2000-09,327.1342134248601
2000-10,311.93252432408605
2000-11,317.55534535456565
2000-12,342.43312814802914
2001-01,344.03873081704177
2001-02,308.3530040356463
2001-03,303.8394401909451
2001-04,336.63454909724686
2001-05,343.8973228383691
2001-06,311.67017048538764
2001-07,268.49598783515586
2001-08,257.0222501899134
2001-09,239.89469327999265
2001-10,283.8723914404798
2001-11,289.2718724380173
2001-12,239.85876829216448
2002-01,274.5961291791894
2002-02,252.16844902011388
2002-03,248.9875935324497
2002-04,234.050643408542
2002-05,220.61344976231547
2002-06,188.11465555296155
2002-07,156.30674963734307
2002-08,163.2566151065628
2002-09,150.4642722923796
2002-10,169.05408046682683
2002-11,182.6834740341835
2002-12,181.76422317791818
2003-01,176.07295470550247
2003-02,171.82341448027498
2003-03,162.04139467342776
2003-04,178.30578672095908
2003-05,184.9693178898824
2003-06,189.22414412645287
2003-07,219.83069031718594
2003-08,276.0669431595594
2003-09,230.95921021865175
2003-10,236.9843297661956
2003-11,222.61622939488305
2003-12,242.78875809771856
2004-01,235.76508491047323
2004-02,245.5597941984815
2004-03,261.1186183378373
2004-04,264.9966902040262
2004-05,266.120566198534
2004-06,276.17518726179037
2004-07,283.21576686659336
2004-08,284.1043860202513
2004-09,293.4704220020884
2004-10,276.1223800571525
2004-11,286.85605098711426
2004-12,304.06572907769936
2005-01,300.51828291831475
2005-02,320.21809642022254
2005-03,290.9221799230381
2005-04,261.07881637835624
2005-05,274.58662285875266
2005-06,289.0824253141869
2005-07,305.58907830209927
2005-08,317.41037267429994
2005-09,330.5754084501695
2005-10,325.51557993150635
2005-11,350.6557677087687
2005-12,385.5878664224742
2006-01,438.88771079495956
2006-02,467.2653433504267
2006-03,470.2723815914696
2006-04,499.9160960919063
2006-05,444.34366840191217
2006-06,430.5281989025634
2006-07,516.8115883514935
2006-08,503.52797075254006
2006-09,540.3632742489393
2006-10,620.0060411333106
2006-11,679.0330706186493
2006-12,660.0124091723842
2007-01,724.2501075361674
2007-02,736.4769191158904
2007-03,830.378848797763
2007-04,939.1678636722961
2007-05,1000.0
2007-06,1056.5463969097643
2007-07,939.3143835139435
2007-08,873.7167564004715
2007-09,868.6826984346095
2007-10,907.8792703918267
2007-11,782.7178979715238
2007-12,800.1727746914099
2008-01,694.7965223129713
2008-02,716.7453707168588
2008-03,699.1378401506696
2008-04,682.5521931985725
2008-05,669.9657421376475
2008-06,573.6433786650252
2008-07,554.025014831416
2008-08,526.2795610467524
2008-09,470.7329983743668
2008-10,329.5892727412363
2008-11,288.94810591190986
2008-12,249.1362032153121
