Date,ACWI ex JAPAN SMALL CAP
2007-05,1000.0
2007-06,988.9091879730516
2007-07,952.3463326864481
2007-08,941.2253680675558
2007-09,933.0850461400778
2007-10,960.5378873834245
2007-11,875.0030137845529
2007-12,869.5955200355298
2008-01,783.5826187276513
2008-02,773.6924895436276
2008-03,728.3911521271244
2008-04,775.3400143134239
2008-05,800.0330627743407
2008-06,719.9993837150955
2008-07,714.9034294120868
2008-08,754.2631769874683
2008-09,676.4000012885851
2008-10,563.9240559975053
2008-11,507.6951027828148
2008-12,493.4210549531556
2009-01,493.13062271892295
2009-02,451.5379388246311
2009-03,473.67737137583157
2009-04,564.3657418291652
2009-05,581.6060772602626
2009-06,588.4243828984912
2009-07,641.354311227249
2009-08,668.1671895781109
2009-09,701.7899185017603
2009-10,671.8924013371233
2009-11,682.6422393352623
2009-12,753.9255422596902
2010-01,754.5457249748995
2010-02,784.4440540513208
2010-03,856.0540932481764
2010-04,904.1309638239613
2010-05,881.8865952706625
2010-06,844.8727404417601
2010-07,860.939526609563
2010-08,845.6984273822515
2010-09,884.5696158405822
2010-10,907.4467200287183
2010-11,968.7320942912031
2010-12,1023.1390834443154
2011-01,1004.4522693921125
2011-02,1027.2925944387941
2011-03,1022.5910557122506
2011-04,1019.1245410161155
2011-05,1028.2317369132463
2011-06,992.0684972448089
2011-07,976.9035191607023
2011-08,886.7289041524713
2011-09,827.4544878418197
2011-10,903.2256157435164
2011-11,907.0631628778838
2011-12,929.8267124275378
2012-01,998.6374288353229
2012-02,1030.2516971297212
2012-03,1037.4855355014395
2012-04,1035.7290984231552
2012-05,1009.0038626198531
2012-06,1017.0963617884781
2012-07,1048.0696769882868
2012-08,1060.492070459012
2012-09,1079.5491106443142
2012-10,1066.1108231114865
2012-11,1073.8856569111515
2012-12,1095.016368966026
2013-01,1123.4866160398058
2013-02,1173.6314966968744
2013-03,1225.9118036097818
2013-04,1203.2686146551928
2013-05,1245.9878271900398
2013-06,1202.9797012353308
2013-07,1251.1306360344618
2013-08,1232.9713333646416
2013-09,1278.1177328608162
2013-10,1317.1574475461568
2013-11,1337.2877698344212
2013-12,1350.452931133982
2014-01,1350.8410387397216
2014-02,1396.7127009901394
2014-03,1396.1198601082376
2014-04,1367.8313986267851
2014-05,1405.4084946653822
2014-06,1447.9511673743168
2014-07,1422.9637189919492
2014-08,1494.4875187628454
2014-09,1469.6389925635128
2014-10,1507.6018385190632
2014-11,1520.7876660938725
2014-12,1568.6260181563887
2015-01,1649.0905748447972
2015-02,1758.2853346549493
2015-03,1835.8614687120362
2015-04,1790.2866778575165
2015-05,1854.4265971173259
2015-06,1794.9938294731996
2015-07,1786.0026570593702
2015-08,1655.2385139218752
2015-09,1597.0701671392892
2015-10,1705.0531003255799
2015-11,1795.5488668046567
2015-12,1700.2076994611225
2016-01,1571.1904618801402
2016-02,1576.8166059290845
2016-03,1636.630444619431
2016-04,1661.1222160515163
2016-05,1722.4300230135905
2016-06,1699.5699008449374
2016-07,1779.2795551883034
2016-08,1800.860182859333
2016-09,1802.8843154682402
2016-10,1773.9420943153484
2016-11,1910.3273975785178
2016-12,1962.7110167355559
2017-01,1961.481243432378
2017-02,2042.1870784140758
2017-03,2050.5794442794504
2017-04,2053.114762666515
2017-05,1993.8658033318507
2017-06,1995.9552820443314
2017-07,1976.8131501592447
2017-08,1959.5413297055666
2017-09,2044.341927306239
2017-10,2105.0271393621533
2017-11,2097.1174285530974
2017-12,2119.3220533506674
2018-01,2119.271136570745
2018-02,2070.080139371901
2018-03,2052.812009864284
2018-04,2108.0695441910984
2018-05,2234.9116068762683
2018-06,2218.7016072328047
2018-07,2246.602260272642
2018-08,2306.1105511493693
2018-09,2264.7545003756686
2018-10,2088.784243484744
2018-11,2108.4946912749497
2018-12,1910.3619611854892
2019-01,2099.895208859176
2019-02,2196.3697936018934
2019-03,2214.36880909157
2019-04,2286.606409014862
2019-05,2146.896477112702
2019-06,2226.820631689826
2019-07,2283.4464892885476
2019-08,2219.0941089049215
2019-09,2283.1754201843205
2019-10,2288.142510008811
2019-11,2387.0959369047287
2019-12,2438.0329190980538
2020-01,2399.2234387012795
2020-02,2211.871128713731
2020-03,1710.4933568511888
2020-04,1962.6454638168282
2020-05,2057.159296960405
2020-06,2114.480144993168
2020-07,2115.7348166574166
2020-08,2201.79984443811
2020-09,2181.4305233008663
2020-10,2201.1518218702986
2020-11,2493.540479526242
2020-12,2626.9002047359522
2021-01,2701.7831953229716
2021-02,2855.4329457013373
2021-03,3004.308058840287
2021-04,3069.9460424998015
2021-05,3059.049015235497
2021-06,3166.632783502604
2021-07,3142.03741331079
2021-08,3226.6055292976616
2021-09,3175.172164283341
2021-10,3304.6601956795694
2021-11,3244.6675750843797
2021-12,3338.4654079852357
2022-01,3137.172358805735
2022-02,3122.4152965319827
2022-03,3201.9083481396265
2022-04,3125.003650666952
2022-05,3062.1358095308346
2022-06,2806.191816671523
2022-07,3126.8115975323053
2022-08,3086.5076493395927
2022-09,2834.3148333596973
2022-10,3028.485365506145
2022-11,3089.702458132929
2022-12,2868.8876997362127
2023-01,3084.2201212315963
2023-02,3093.9216332978317
2023-03,2938.2505728991823
2023-04,2889.0686538675363
2023-05,2921.7702318759184
2023-06,3040.0638109329475
2023-07,3165.852273393729
