Date,WORLD ex EUROPE SMALL CAP
2000-12,1000.0
2001-01,1038.4524087432533
2001-02,1024.8132828528367
2001-03,1026.5791632896935
2001-04,1113.4119053911402
2001-05,1184.1480457256473
2001-06,1207.7537262920407
2001-07,1120.3844696635908
2001-08,1071.9725742251035
2001-09,946.4430399031697
2001-10,1021.6733380655011
2001-11,1086.2224954149892
2001-12,1123.1797469804167
2002-01,1136.4312207936118
2002-02,1116.8335133403014
2002-03,1197.0534448886906
2002-04,1171.5219096672106
2002-05,1122.6908032721315
2002-06,1000.5175398613032
2002-07,897.7665198881941
2002-08,896.5103428153878
2002-09,831.848941667313
2002-10,832.4787417313654
2002-11,878.7236740627274
2002-12,789.2128020962297
2003-01,761.3295029068665
2003-02,750.5990987782338
2003-03,743.423799767828
2003-04,792.3448170141933
2003-05,828.2111685290097
2003-06,878.7644278898936
2003-07,931.2040547701263
2003-08,1022.7384007857611
2003-09,973.7414507888337
2003-10,1063.067568302238
2003-11,1042.7847449070389
2003-12,1028.3246322739813
2004-01,1082.21838655276
2004-02,1095.0848170012828
2004-03,1158.83169543213
2004-04,1124.5201299276587
2004-05,1109.512194935514
2004-06,1166.186576338473
2004-07,1114.0395382267445
2004-08,1102.472101887441
2004-09,1113.8883943931094
2004-10,1114.8964731666329
2004-11,1144.0248718118514
2004-12,1159.866602249806
2005-01,1182.451224124525
2005-02,1189.4691467413832
2005-03,1185.768140850253
2005-04,1144.3079098531077
2005-05,1243.96238779069
2005-06,1307.0920574409934
2005-07,1367.872709509527
2005-08,1353.0414653488447
2005-09,1415.226670301425
2005-10,1389.7450802799613
2005-11,1477.8330744266418
2005-12,1531.6483908078349
2006-01,1576.500054651644
2006-02,1575.5869957443751
2006-03,1621.555517870429
2006-04,1576.894618758608
2006-05,1452.4755218061428
2006-06,1437.4697114790574
2006-07,1390.3295871195576
2006-08,1424.882568356202
2006-09,1436.9461881997488
2006-10,1482.5991293942168
2006-11,1458.2374649241144
2006-12,1472.9902852776734
2007-01,1520.3251898507233
2007-02,1509.5298591150504
2007-03,1519.5350130114123
2007-04,1514.6399838477948
2007-05,1583.3620028410755
2007-06,1570.2530055385191
2007-07,1481.148293239115
2007-08,1453.591591800244
2007-09,1436.2101772525841
2007-10,1466.5978246254795
2007-11,1341.4866424558131
2007-12,1328.1957561837905
2008-01,1221.8060808315458
2008-02,1182.29003556582
2008-03,1112.5151915874576
2008-04,1187.9724652220386
2008-05,1243.6405678010926
2008-06,1129.281653309813
2008-07,1132.9151434750715
2008-08,1210.1529333134622
2008-09,1126.0073252433733
2008-10,983.6299952424226
2008-11,900.022890909093
2008-12,872.7256188036799
2009-01,871.0618556891213
2009-02,779.1418890708534
2009-03,809.0309629210702
2009-04,933.344156077991
2009-05,937.8145826002317
2009-06,962.2948415682615
2009-07,1034.877187966044
2009-08,1071.736068241589
2009-09,1110.1697153197283
2009-10,1048.341767855741
2009-11,1059.5809872678176
2009-12,1172.5760285373126
2010-01,1175.7795197725238
2010-02,1248.299072390537
2010-03,1353.6832712099629
2010-04,1442.8524220113143
2010-05,1434.7191116694078
2010-06,1355.2066655378248
2010-07,1357.899557594614
2010-08,1325.4036697554395
2010-09,1367.6308731890852
2010-10,1389.5542485462322
2010-11,1522.6374558227799
2010-12,1602.2386619465594
2011-01,1577.9027606064433
2011-02,1638.9996067582454
2011-03,1612.1327547708343
2011-04,1583.1345123890346
2011-05,1604.5159904775758
2011-06,1561.5410914519289
2011-07,1546.4827529521003
2011-08,1425.2608731365099
2011-09,1366.7413196309951
2011-10,1473.1618642953524
2011-11,1505.3413112264163
2011-12,1557.8000456950062
2012-01,1652.3849471520148
2012-02,1675.544736254667
2012-03,1704.9085697624487
2012-04,1701.6832796985304
2012-05,1679.0636399818004
2012-06,1689.9828251602594
2012-07,1736.0734970999483
2012-08,1745.8167280679215
2012-09,1762.4071845572278
2012-10,1728.6809328588192
2012-11,1739.3918761965404
2012-12,1761.0262822200357
2013-01,1809.4351890167081
2013-02,1898.202397664822
2013-03,2020.300015085569
2013-04,1981.0001849565133
2013-05,2031.1103812756533
2013-06,1991.8194394259217
2013-07,2063.521450728589
2013-08,2025.2420349641432
2013-09,2102.5319425773378
2013-10,2146.5989904106837
2013-11,2181.2073464155837
2013-12,2199.5275520270234
2014-01,2202.4158595093363
2014-02,2240.1985498298454
2014-03,2240.806995875328
2014-04,2183.799510818186
2014-05,2245.9695494570074
2014-06,2356.1402630466487
2014-07,2318.4210657050558
2014-08,2447.7338721655015
2014-09,2409.368080478352
2014-10,2495.6005384735195
2014-11,2510.526723340999
2014-12,2610.2734983303394
2015-01,2742.2154378993187
2015-02,2913.4124262131413
2015-03,3069.750577112009
2015-04,2933.5223162396687
2015-05,3042.0647331644795
2015-06,2970.088584916993
2015-07,2958.0891646965215
2015-08,2750.725358330825
2015-09,2637.4017599418144
2015-10,2821.8714054323123
2015-11,2997.858113995612
2015-12,2816.165996521486
2016-01,2613.914142709311
2016-02,2627.081517479641
2016-03,2716.1733421008325
2016-04,2774.1683452154634
2016-05,2887.8416436942807
2016-06,2898.452447395326
2016-07,3032.750372353116
2016-08,3041.713221090284
2016-09,3056.321847972035
2016-10,3028.5077901633877
2016-11,3312.5795084823967
2016-12,3395.163312755172
2017-01,3380.6286882281074
2017-02,3516.7207842737057
2017-03,3496.012287117304
2017-04,3459.122245114755
2017-05,3336.0270624382583
2017-06,3366.873386724568
2017-07,3309.3124777322596
2017-08,3276.894098960705
2017-09,3425.553000413201
2017-10,3535.97615902986
2017-11,3548.35725556497
2017-12,3559.2028232901616
2018-01,3529.0693282980506
2018-02,3470.6948915286384
2018-03,3453.5603668856625
2018-04,3533.0224749354493
2018-05,3804.1075944216723
2018-06,3798.8891245570608
2018-07,3833.2190687426632
2018-08,3975.596320043702
2018-09,3932.172542619873
2018-10,3630.839487523422
2018-11,3697.2905452562695
2018-12,3286.9736251169898
2019-01,3620.0457095620222
2019-02,3796.3206408374335
2019-03,3819.7126797069695
2019-04,3932.8166086381702
2019-05,3694.891750607283
2019-06,3832.2005983983818
2019-07,3973.895362716819
2019-08,3873.880349481582
2019-09,3989.1142643099984
2019-10,3983.597542930772
2019-11,4159.850874593009
2019-12,4196.937746455107
2020-01,4135.564528785502
2020-02,3784.708780196305
2020-03,3007.848177553386
2020-04,3437.5209142458893
2020-05,3626.6920469167926
2020-06,3686.816717268961
2020-07,3615.42418852925
2020-08,3767.085296228863
2020-09,3762.6228557664567
2020-10,3838.9283009566725
2020-11,4285.718718795761
2020-12,4487.022995534302
2021-01,4641.630706235244
2021-02,4892.755518055489
2021-03,5163.732621189207
2021-04,5206.681241486999
2021-05,5131.593519996794
2021-06,5354.4922272045205
2021-07,5259.063416068124
2021-08,5403.138096806485
2021-09,5377.556787030494
2021-10,5582.954260515653
2021-11,5475.901734349494
2021-12,5596.6515422078455
2022-01,5256.223736269028
2022-02,5310.677691756639
2022-03,5425.824116303442
2022-04,5264.678847574654
2022-05,5173.315890362778
2022-06,4821.87912018412
2022-07,5416.516067616574
2022-08,5373.8948895602725
2022-09,4983.797934462956
2022-10,5337.847035977551
2022-11,5392.271416026483
2022-12,4974.489560649131
2023-01,5340.553174726446
2023-02,5328.817060794797
2023-03,5057.997902823083
2023-04,4933.018930292982
2023-05,5005.5076393871295
2023-06,5233.526994405843
2023-07,5438.078156428497
