Date,EFM EUROPE + CIS (E+C) SMALL CAP
2010-11,1000.0
2010-12,1048.431981385176
2011-01,1035.1122276581684
2011-02,1024.2098703122056
2011-03,1058.2396619837857
2011-04,1085.937371435768
2011-05,1012.5200338792623
2011-06,977.4844274243131
2011-07,933.5468263593391
2011-08,774.813168825376
2011-09,715.5298858876804
2011-10,749.2609542821922
2011-11,695.9487135592318
2011-12,661.3426158693925
2012-01,756.4624592119898
2012-02,800.8140951393333
2012-03,806.6134724134761
2012-04,808.3438612894071
2012-05,720.094636075806
2012-06,763.8074458903361
2012-07,799.2716064538065
2012-08,784.8822834229704
2012-09,807.0007842813425
2012-10,811.175850921369
2012-11,828.5627466486594
2012-12,875.3550968538198
2013-01,887.0998761428443
2013-02,895.1890498158355
2013-03,908.7679618499618
2013-04,896.4045691946374
2013-05,902.3776073081282
2013-06,818.0751359118768
2013-07,821.559880333704
2013-08,763.377639487103
2013-09,812.8006343323724
2013-10,858.4449242022754
2013-11,866.8696510191415
2013-12,805.8998411894485
2014-01,771.0823802980816
2014-02,800.8937786830382
2014-03,796.6945519541875
2014-04,812.9632843743082
2014-05,839.2083314012469
2014-06,844.8267739919864
2014-07,830.6497358117276
2014-08,833.9036704148508
2014-09,813.9198737883681
2014-10,804.8813667479985
2014-11,808.4941528632518
2014-12,741.7384296527143
2015-01,790.4429284006874
2015-02,837.5188937115033
2015-03,821.0209343649761
2015-04,848.9770471373855
2015-05,845.7227352347719
2015-06,800.140458532357
2015-07,800.2114825371723
2015-08,729.3278243455294
2015-09,730.1559806218067
2015-10,772.216662460458
2015-11,767.2452212646227
2015-12,733.9301859933794
2016-01,694.3574378117611
2016-02,712.1372035196085
2016-03,773.1349758579165
2016-04,791.460749163318
2016-05,777.3498418434
2016-06,771.5589505284032
2016-07,789.8396893949994
2016-08,837.9589135016167
2016-09,856.3833835377054
2016-10,891.4539081563493
2016-11,889.7722194007355
2016-12,935.4304759092847
2017-01,973.2126518270028
2017-02,1012.1654323891604
2017-03,1021.1416309093527
2017-04,1047.4255067889815
2017-05,1059.5346927566
2017-06,1083.455222790628
2017-07,1107.9763147448505
2017-08,1128.398671117883
2017-09,1103.536500670972
2017-10,1107.089118558755
2017-11,1042.2479299116615
2017-12,1090.8880126608174
2018-01,1126.8671467165182
2018-02,1096.1095447624857
2018-03,1067.4635746874076
2018-04,1034.4634497024454
2018-05,993.6322535434589
2018-06,954.576034207487
2018-07,949.6483350704178
2018-08,866.1050265937637
2018-09,876.7135561043586
2018-10,837.8064965638686
2018-11,877.7575574124835
2018-12,836.1878741787951
2019-01,903.8069449585659
2019-02,943.4065538987832
2019-03,910.7797035317153
2019-04,932.8435441113318
2019-05,945.2513648497495
2019-06,1004.2565445742441
2019-07,1039.3200016717335
2019-08,999.9431203767647
2019-09,1018.1532966428795
2019-10,1006.7653370530039
2019-11,1050.5854832299412
2019-12,1082.5974078134843
2020-01,1111.21051849437
2020-02,959.5249784983196
2020-03,764.1286830949497
2020-04,856.8337511428339
2020-05,904.9871972279581
2020-06,961.1415253455342
2020-07,941.4415608227041
2020-08,941.1396061199999
2020-09,933.449826757351
2020-10,854.3336215516617
2020-11,1051.1378992639543
2020-12,1158.3368509322474
2021-01,1204.5076501653064
2021-02,1270.2247918707965
2021-03,1262.3082716901804
2021-04,1309.8741872491
2021-05,1328.7862118002834
2021-06,1313.3487501485922
2021-07,1329.376972816026
2021-08,1399.8381042913613
2021-09,1351.6524932208347
2021-10,1419.5281706642486
2021-11,1307.1533531808636
2021-12,1320.3890687271185
2022-01,1337.795981845643
2022-02,1144.0267391804553
2022-03,1113.9728244759215
2022-04,1164.998792072623
2022-05,1134.29329859381
2022-06,1079.7298426705124
2022-07,1112.6215239022204
2022-08,1151.7947171525354
2022-09,1085.149982583913
2022-10,1214.2787233561332
2022-11,1373.4970313575388
2022-12,1433.692939722647
2023-01,1413.1273986677784
2023-02,1471.7602498464198
2023-03,1361.6554214639407
2023-04,1377.8495187814253
2023-05,1408.4265205548722
2023-06,1400.3425699894651
2023-07,1596.570974041214
