Date,ACWI ex AUSTRALIA SMALL CAP
2007-05,1000.0
2007-06,988.7653040640221
2007-07,953.4708985169149
2007-08,941.4066533141234
2007-09,927.8146926375116
2007-10,951.08048123673
2007-11,871.0708166432939
2007-12,862.1686274909032
2008-01,781.1216148684764
2008-02,768.8996064873305
2008-03,726.2833548639575
2008-04,769.8784626193492
2008-05,794.8201105181249
2008-06,718.1896065285993
2008-07,712.440720016126
2008-08,750.1155087866648
2008-09,677.5307415172311
2008-10,577.9933093113127
2008-11,530.3745702923112
2008-12,516.0486232451377
2009-01,518.7307965016075
2009-02,471.87701098284026
2009-03,490.05425360491427
2009-04,575.1391367271884
2009-05,593.324607697089
2009-06,603.7204408795577
2009-07,651.8779017744591
2009-08,678.5016282509426
2009-09,706.3800408004595
2009-10,674.9334676846628
2009-11,680.7282550258279
2009-12,747.0889839308365
2010-01,752.8182146959358
2010-02,782.7580964080882
2010-03,851.2062984952955
2010-04,898.6998922524933
2010-05,881.7708876091913
2010-06,848.3713999055633
2010-07,857.9430979064567
2010-08,843.235189500019
2010-09,874.461787050179
2010-10,892.9917664998948
2010-11,955.6604338662521
2010-12,1008.8001687364431
2011-01,992.8253951725484
2011-02,1015.8613537509706
2011-03,1003.4706122013284
2011-04,997.1192495782074
2011-05,1006.9810351292916
2011-06,977.3356991561386
2011-07,966.7679613278633
2011-08,880.9766981930751
2011-09,836.1957440107059
2011-10,895.6452156538066
2011-11,900.9705083666444
2011-12,926.9735214875043
2012-01,990.7876942659976
2012-02,1017.4740944058
2012-03,1028.4474095677576
2012-04,1025.6689785172705
2012-05,1002.3015244105958
2012-06,1011.8716276942284
2012-07,1040.1344840656943
2012-08,1049.3055956727749
2012-09,1066.932924328627
2012-10,1051.0296008476153
2012-11,1058.8552767889348
2012-12,1079.6104391655726
2013-01,1106.0229943564568
2013-02,1158.0905106885355
2013-03,1216.7629659604988
2013-04,1202.209931254295
2013-05,1237.870705045771
2013-06,1200.7682170200085
2013-07,1243.6674839836533
2013-08,1225.2140338300794
2013-09,1275.2738961417715
2013-10,1309.3983387550595
2013-11,1329.4453971790256
2013-12,1341.3547765523297
2014-01,1345.0807010493547
2014-02,1380.2592890260087
2014-03,1379.2568387507192
2014-04,1350.3360170212718
2014-05,1390.2515135217152
2014-06,1437.9949081078157
2014-07,1416.8096214248712
2014-08,1482.9341330035916
2014-09,1464.0921414380182
2014-10,1495.900739800585
2014-11,1509.1452148816184
2014-12,1558.6965634212127
2015-01,1647.608156739226
2015-02,1752.1009088752087
2015-03,1833.9892113448313
2015-04,1788.138655196325
2015-05,1852.6100906661752
2015-06,1801.3656480243917
2015-07,1794.39829125352
2015-08,1668.1426463097819
2015-09,1609.8465833262148
2015-10,1719.441121923877
2015-11,1811.9285911999448
2015-12,1720.2582371161222
2016-01,1592.3503237542957
2016-02,1594.3564902299959
2016-03,1648.9457953074354
2016-04,1677.7084743577973
2016-05,1739.0418374264445
2016-06,1716.6597375390543
2016-07,1795.0866008382047
2016-08,1809.3432173292542
2016-09,1819.195414648928
2016-10,1801.5894887202578
2016-11,1923.5564609421124
2016-12,1975.7222645629447
2017-01,1977.4200763183783
2017-02,2060.048095381339
2017-03,2065.168826095409
2017-04,2068.893216258213
2017-05,2017.1444981772213
2017-06,2016.6800665375895
2017-07,1997.5630901633451
2017-08,1983.2576459385982
2017-09,2066.513490076163
2017-10,2131.5846984774753
2017-11,2127.026626819719
2017-12,2146.9902464925717
2018-01,2148.495719451234
2018-02,2106.208421742402
2018-03,2088.3660265810486
2018-04,2142.266398003456
2018-05,2264.452664404048
2018-06,2242.042664099274
2018-07,2265.188761720263
2018-08,2319.748400997492
2018-09,2285.6604068081524
2018-10,2109.5260593464145
2018-11,2133.4647374556534
2018-12,1932.035798453581
2019-01,2113.260085099839
2019-02,2204.128336441393
2019-03,2224.386839595909
2019-04,2292.0495948456655
2019-05,2156.0559636228963
2019-06,2229.396166546351
2019-07,2286.736847553715
2019-08,2230.34047647964
2019-09,2299.5190380351787
2019-10,2312.829509794235
2019-11,2408.6830125974857
2019-12,2454.493906898671
2020-01,2412.4368675765436
2020-02,2217.885604636411
2020-03,1757.2879011954828
2020-04,1992.7907409156378
2020-05,2087.860041706282
2020-06,2133.5611392092555
2020-07,2116.293449315327
2020-08,2204.9519970326774
2020-09,2204.0105508891247
2020-10,2217.550525055901
2020-11,2489.180983326968
2020-12,2613.5315950548375
2021-01,2683.1875729912467
2021-02,2825.096236726092
2021-03,2978.824638744661
2021-04,3026.3880529638
2021-05,3011.2960088329364
2021-06,3118.837167110661
2021-07,3095.215002250067
2021-08,3179.306114597907
2021-09,3141.3898220377155
2021-10,3245.0642009825506
2021-11,3182.4672627124564
2021-12,3265.491532685153
2022-01,3079.0493213160203
2022-02,3066.109826322741
2022-03,3121.696012936996
2022-04,3045.4162449649507
2022-05,2991.852637132351
2022-06,2764.5758812813287
2022-07,3067.950008782543
2022-08,3026.377051287014
2022-09,2792.8746177512157
2022-10,2963.5877217786433
2022-11,3027.6253518050644
2022-12,2829.383383634493
2023-01,3025.1982870085994
2023-02,3038.0009679638965
2023-03,2902.672409709843
2023-04,2854.715803094399
2023-05,2890.2693606013972
2023-06,2997.679581288571
2023-07,3118.371170218132
