Date,AC FAR EAST ex JAPAN SMALL CAP
1998-12,431.0512821303175
1999-01,434.0570912362329
1999-02,427.695524161854
1999-03,472.04245275985545
1999-04,618.2376191486654
1999-05,638.2959749743795
1999-06,741.6001045184714
1999-07,676.3673468964984
1999-08,656.8807632987442
1999-09,595.4407973971291
1999-10,615.7475854215367
1999-11,661.8894750289735
1999-12,683.4459101912404
2000-01,691.9355477389116
2000-02,680.653498791383
2000-03,685.5546098104315
2000-04,653.2916981745752
2000-05,572.240108596296
2000-06,549.7690025633004
2000-07,551.300285217381
2000-08,568.5028186825618
2000-09,504.36530991572533
2000-10,474.95403244452865
2000-11,443.8978378445973
2000-12,394.26173667927503
2001-01,449.8570321736001
2001-02,461.308185408724
2001-03,446.152625040671
2001-04,449.60688369403783
2001-05,487.08280342493595
2001-06,483.59219525622575
2001-07,439.42108870260995
2001-08,427.16097829751556
2001-09,374.121849679877
2001-10,390.277126316889
2001-11,430.7843131087565
2001-12,463.717535312576
2002-01,519.3686933990174
2002-02,522.1400025860727
2002-03,566.1324413750715
2002-04,552.6520889829392
2002-05,522.3321184086425
2002-06,465.5755241939799
2002-07,457.14996949624276
2002-08,448.4761022936976
2002-09,386.2804044465272
2002-10,401.22826477345563
2002-11,414.36025254493495
2002-12,375.06503230083376
2003-01,387.07678359054455
2003-02,369.91983540776283
2003-03,345.32941177627606
2003-04,343.65607125693884
2003-05,365.2397455814356
2003-06,396.12853326003835
2003-07,432.96095773995455
2003-08,468.76764251729713
2003-09,446.77675970612665
2003-10,476.3566887066637
2003-11,462.03186404642537
2003-12,459.8696630990312
2004-01,497.09627374707304
2004-02,519.7113206085551
2004-03,513.6000075399012
2004-04,496.865631092816
2004-05,466.01534774040647
2004-06,455.28667750835064
2004-07,442.4887888577021
2004-08,454.58077323589987
2004-09,465.2371460913457
2004-10,459.32498244472555
2004-11,476.77332988149067
2004-12,484.45911308582856
2005-01,509.95356547522744
2005-02,538.9604888699498
2005-03,527.7625275145467
2005-04,517.7934351029901
2005-05,551.4902232105287
2005-06,585.9650057698561
2005-07,608.4270344501509
2005-08,582.0607968492519
2005-09,618.6887337506308
2005-10,586.9669407719059
2005-11,649.5606264100162
2005-12,686.8780730829912
2006-01,701.1461274505366
2006-02,718.7315126050166
2006-03,734.0244614214819
2006-04,757.7119982465715
2006-05,705.6788374586928
2006-06,677.8103370035576
2006-07,678.0809554562776
2006-08,691.9730355034538
2006-09,727.330829291375
2006-10,746.6710831727652
2006-11,788.7849235099739
2006-12,818.5867302536993
2007-01,827.37361911212
2007-02,847.793273265006
2007-03,876.4448499710226
2007-04,901.9664990338622
2007-05,1000.0
2007-06,1052.4228730876523
2007-07,1152.451146480963
2007-08,1086.281283637927
2007-09,1110.822881279754
2007-10,1153.3838764545642
2007-11,1007.350160703039
2007-12,1003.4638721000331
2008-01,854.9890355285023
2008-02,907.9566525469559
2008-03,824.1753786587022
2008-04,876.1755775002017
2008-05,866.5835303086386
2008-06,758.7839390507474
2008-07,732.5764065247953
2008-08,703.5733137408329
2008-09,588.6505990629793
2008-10,457.6753935753874
2008-11,433.818564869024
2008-12,461.07980953465983
2009-01,474.8327484077302
2009-02,468.464478566649
2009-03,516.9322655772543
2009-04,630.1882666279353
2009-05,731.8721164930474
2009-06,718.3358647981761
2009-07,807.3358901285719
2009-08,772.6389078715556
2009-09,820.4167286979679
2009-10,824.9373341998673
2009-11,841.2023367197601
2009-12,942.4784895729208
2010-01,921.5500931722567
2010-02,946.9580541234133
2010-03,1040.2627096563187
2010-04,1081.9500380404002
2010-05,1048.2162964588206
2010-06,1067.1977709872651
2010-07,1070.5632022635316
2010-08,1094.6260068945332
2010-09,1144.2158360158428
2010-10,1162.330344735887
2010-11,1231.8143988953623
2010-12,1258.8549146210098
2011-01,1232.1324555555916
2011-02,1160.1193772136014
2011-03,1173.9576142621522
2011-04,1169.863333402623
2011-05,1184.006375714187
2011-06,1143.1977054451702
2011-07,1186.5336229358195
2011-08,1053.4151907764274
2011-09,935.1260432564059
2011-10,998.0574578572932
2011-11,954.5553900809452
2011-12,988.7032751704515
2012-01,1066.015978825141
2012-02,1136.526556688106
2012-03,1099.6534284933266
2012-04,1089.567619204739
2012-05,1081.521757502338
2012-06,1069.8161275889613
2012-07,1104.4058160395682
2012-08,1106.7939598226508
2012-09,1147.072255321617
2012-10,1127.413941936959
2012-11,1153.775380648351
2012-12,1180.3947868431362
2013-01,1189.700163020382
2013-02,1271.1413380339764
2013-03,1306.4754851790792
2013-04,1303.0862386016183
2013-05,1347.2401368232736
2013-06,1227.931621365779
2013-07,1219.6904061438754
2013-08,1204.396970054035
2013-09,1242.2875411267244
2013-10,1264.789694211314
2013-11,1249.7269232051383
2013-12,1231.5875512237617
2014-01,1238.932981605518
2014-02,1255.1549173976039
2014-03,1263.8115468385608
2014-04,1257.4504692063379
2014-05,1303.064913989701
2014-06,1315.9707259263216
2014-07,1368.7362604610948
2014-08,1413.865721744871
2014-09,1416.4875172450295
2014-10,1395.0142741588163
2014-11,1375.916575334801
2014-12,1389.7076641206977
2015-01,1515.954989483209
2015-02,1553.132969603075
2015-03,1651.6534185230728
2015-04,1765.183546384429
2015-05,1825.2249559586753
2015-06,1697.8920944115096
2015-07,1538.3025305622841
2015-08,1361.7589419523836
2015-09,1372.8371132828177
2015-10,1479.581258248028
2015-11,1516.5914847541833
2015-12,1479.2164342109272
2016-01,1361.3804101984051
2016-02,1362.2235701891616
2016-03,1402.2422586727498
2016-04,1401.1107902255687
2016-05,1403.0169833194077
2016-06,1418.3688880415652
2016-07,1452.8265856435228
2016-08,1489.9813505917523
2016-09,1496.2590919455395
2016-10,1479.7916385593035
2016-11,1495.3746428178504
2016-12,1482.7016474759318
2017-01,1502.156449561905
2017-02,1597.870706043025
2017-03,1619.3577985726804
2017-04,1593.4400390248434
2017-05,1571.8523743126495
2017-06,1557.236229902783
2017-07,1542.6163530183012
2017-08,1554.2403868605772
2017-09,1578.1969523928788
2017-10,1668.1194062514996
2017-11,1668.912514378684
2017-12,1684.5811050467773
2018-01,1738.0389758759013
2018-02,1695.9893080472316
2018-03,1674.4899885775553
2018-04,1692.245632651291
2018-05,1771.327631632416
2018-06,1651.2997408977574
2018-07,1640.298935787485
2018-08,1628.7823349391542
2018-09,1612.6296229239558
2018-10,1427.6375770752352
2018-11,1511.277053874969
2018-12,1459.2195018181799
2019-01,1544.648120293279
2019-02,1602.9781108660356
2019-03,1626.9374967866715
2019-04,1637.073399919425
2019-05,1524.0125227573208
2019-06,1560.176018331333
2019-07,1570.2053342610989
2019-08,1517.5388436313087
2019-09,1559.164233986247
2019-10,1581.282701622481
2019-11,1580.904937987463
2019-12,1634.07122879427
2020-01,1548.1232136535211
2020-02,1500.2317269099337
2020-03,1269.3663227810005
2020-04,1447.968708150772
2020-05,1462.3382103611686
2020-06,1564.0688314858307
2020-07,1612.384097230892
2020-08,1668.9734147554118
2020-09,1670.1863905266978
2020-10,1686.6578010122091
2020-11,1841.246996868779
2020-12,1912.6253977432116
2021-01,1941.6903780391017
2021-02,2066.4155754750814
2021-03,2152.5502088866524
2021-04,2247.878987674336
2021-05,2200.770583420334
2021-06,2319.4844614525373
2021-07,2252.19640779447
2021-08,2275.402608320281
2021-09,2241.426201008092
2021-10,2288.8051517589606
2021-11,2299.2724869176595
2021-12,2346.1046160159754
2022-01,2197.018390885522
2022-02,2204.5888732377007
2022-03,2228.4793551081534
2022-04,2210.3094283481746
2022-05,2183.966778685656
2022-06,2028.5841279026747
2022-07,2077.8605810358044
2022-08,2121.313236244444
2022-09,1868.120193706783
2022-10,1780.6747511346941
2022-11,1988.8623291195763
2022-12,1937.2177031082485
2023-01,2076.2318179869103
2023-02,2065.395043453711
2023-03,2049.87037341825
2023-04,1983.0427913503952
2023-05,2033.4028644256618
2023-06,2033.7082936530653
2023-07,2133.9368353374803
