Date,AC ASIA PACIFIC SMALL CAP
1998-12,402.93891385497255
1999-01,418.5901312548462
1999-02,428.3004204444408
1999-03,486.8718828699039
1999-04,557.8553655913203
1999-05,546.4770381210195
1999-06,626.8368360394046
1999-07,628.8130244180813
1999-08,656.1170199060963
1999-09,659.1058780326825
1999-10,662.3469418760538
1999-11,697.757636105061
1999-12,685.4814952532776
2000-01,697.7240020541891
2000-02,694.0218674082488
2000-03,734.7112095034025
2000-04,691.3723386867202
2000-05,665.6509256455719
2000-06,691.9989568333937
2000-07,654.2068765768828
2000-08,713.997321631731
2000-09,664.2195815630097
2000-10,629.0524679949601
2000-11,609.1873772706745
2000-12,536.0098047862798
2001-01,561.1285312032604
2001-02,569.5745190410108
2001-03,559.6118603872433
2001-04,595.1883368239465
2001-05,638.3894899868376
2001-06,626.4727672158494
2001-07,568.682856821464
2001-08,555.0414382813384
2001-09,499.88681844733304
2001-10,524.2766781900365
2001-11,531.9651624660532
2001-12,517.3694704319024
2002-01,536.4621328586602
2002-02,550.8662408276913
2002-03,579.9631423893348
2002-04,578.9274916072725
2002-05,586.6655605794947
2002-06,531.2927781214196
2002-07,515.7798217236558
2002-08,511.88340647854864
2002-09,476.7903113647181
2002-10,458.81969242129634
2002-11,464.5237552778393
2002-12,434.42120559110236
2003-01,429.15804629197936
2003-02,433.17725017362466
2003-03,420.7984860262624
2003-04,427.14156883111275
2003-05,431.86712992405523
2003-06,473.5355390614381
2003-07,497.3239548228367
2003-08,548.8586155965531
2003-09,549.5982279291419
2003-10,589.7643155322398
2003-11,548.9544634980774
2003-12,554.6733365761746
2004-01,583.6875085374022
2004-02,593.4927876989381
2004-03,664.7349153930688
2004-04,657.3779881553554
2004-05,617.4244702204741
2004-06,652.8745111656067
2004-07,626.3543946560443
2004-08,631.7777933230569
2004-09,619.4018496892228
2004-10,619.8368618647498
2004-11,628.584732008177
2004-12,643.5110383477139
2005-01,685.5299633809087
2005-02,696.4033180294184
2005-03,699.6683585573126
2005-04,691.9895875894365
2005-05,717.8011136894077
2005-06,753.0615263205325
2005-07,772.3480115110224
2005-08,775.7789071300334
2005-09,834.0965959819317
2005-10,828.980507517545
2005-11,881.0194507298801
2005-12,957.6268785154632
2006-01,971.846520029524
