Date,EM (EMERGING MARKETS) SMALL CAP
1998-12,298.63112934265354
1999-01,297.01320486795726
1999-02,300.8818212264516
1999-03,343.15162602605255
1999-04,395.44152356847223
1999-05,400.1737924755629
1999-06,436.0595879100764
1999-07,414.6288861981008
1999-08,414.11126707146656
1999-09,392.61867993185643
1999-10,401.1598510703958
1999-11,443.63916095291125
1999-12,492.1153607982163
2000-01,538.5617564998165
2000-02,541.0416487721267
2000-03,531.2243197729175
2000-04,514.717382848203
2000-05,469.503435995183
2000-06,448.21134962713876
2000-07,450.5465455436699
2000-08,468.26940033705256
2000-09,426.6825422582274
2000-10,402.9616652908741
2000-11,370.3759276224143
2000-12,338.73842502241433
2001-01,376.9851840225642
2001-02,368.4821580431109
2001-03,357.5370326706806
2001-04,360.92700820119416
2001-05,383.75822732609276
2001-06,377.35286916795445
2001-07,343.06860447434167
2001-08,333.77112387913024
2001-09,289.49870190565656
2001-10,302.5601589673645
2001-11,335.2340180139782
2001-12,357.93314920721895
2002-01,390.43219054431177
2002-02,390.17708586356133
2002-03,417.44911365494374
2002-04,408.7439422181266
2002-05,385.94724653146466
2002-06,337.6387779679998
2002-07,330.8222334541593
2002-08,330.36115225364716
2002-09,290.16932522842046
2002-10,304.66065977100897
2002-11,323.07516847743034
2002-12,299.2987286618462
2003-01,301.86275359340567
2003-02,292.1249726173383
2003-03,277.4721704422813
2003-04,290.62564044681756
2003-05,301.261138281109
2003-06,328.0033377905484
2003-07,354.32573987082276
2003-08,382.7448720174247
2003-09,364.2864806177983
2003-10,393.1108659950867
2003-11,393.01805349223474
2003-12,399.42395917356015
2004-01,416.4500175503938
2004-02,435.8960880516444
2004-03,442.6376214565396
2004-04,425.7746471491162
2004-05,398.2576587099878
2004-06,398.49840505755435
2004-07,393.7667316564652
2004-08,405.2959912008985
2004-09,421.2456454731374
2004-10,421.77445444251896
2004-11,445.37330591632184
2004-12,462.36263442083936
2005-01,483.8278818987487
2005-02,512.8308960029925
2005-03,494.3828807890744
2005-04,482.49069506601563
2005-05,515.314036431268
2005-06,545.5119887861093
2005-07,572.8371466943521
2005-08,565.2646930499964
2005-09,615.2857440132922
2005-10,583.7708782072004
2005-11,646.3423163154713
2005-12,688.2200315279694
2006-01,723.4574696928706
2006-02,743.3094633720424
2006-03,746.7940783416909
2006-04,768.2211176512172
2006-05,686.771793545149
2006-06,651.262043572427
2006-07,660.2115348001382
2006-08,678.630412586
2006-09,708.021101397253
2006-10,742.6858688918003
2006-11,776.941558840454
2006-12,814.7807012916171
2007-01,826.207532457241
2007-02,834.4337232756145
2007-03,868.5548641691706
2007-04,908.0739761984969
2007-05,1000.0
2007-06,1040.5690745993784
2007-07,1110.232901824452
2007-08,1058.8715433012007
2007-09,1089.2096135557717
2007-10,1144.843407540581
2007-11,1027.4772289423652
2007-12,1045.4213949130433
2008-01,884.9424467962177
2008-02,924.6146953332441
2008-03,829.8003294010708
2008-04,887.2965362305757
2008-05,871.3809309046645
2008-06,756.6882963555822
2008-07,748.0144126239206
2008-08,735.2631785899326
2008-09,612.9097874106586
2008-10,473.73987528530034
2008-11,445.93090008091775
2008-12,459.2881094620103
2009-01,467.21760200236645
2009-02,453.4898537489995
2009-03,495.23539859742175
2009-04,607.1817798520224
2009-05,699.7355097845485
2009-06,704.1941784929493
2009-07,784.4853766314836
2009-08,783.4243483170445
2009-09,831.5447344022945
2009-10,829.1088189571757
2009-11,853.1837500237513
2009-12,951.3285972853455
2010-01,945.8163223874611
2010-02,965.5248653051175
2010-03,1059.831486528861
2010-04,1105.3094231511043
2010-05,1072.528071500606
2010-06,1089.880335348761
2010-07,1098.3873427058538
2010-08,1128.7594357518383
2010-09,1178.115149666816
2010-10,1206.006650522228
2010-11,1259.404110418445
2010-12,1293.846602492031
2011-01,1225.1716586853458
2011-02,1168.7777849004453
2011-03,1189.857221859549
2011-04,1189.3765882630082
2011-05,1188.7601094427341
2011-06,1153.0301572066885
2011-07,1185.5530302005798
2011-08,1051.4374935663257
2011-09,948.2752856382987
2011-10,1001.0260420652419
2011-11,951.4257836994927
2011-12,973.6380708493031
2012-01,1069.457418736644
2012-02,1138.9559448595835
2012-03,1106.913082910688
2012-04,1092.7037278385658
2012-05,1064.766206080984
2012-06,1068.3459460544373
2012-07,1098.8097076663955
2012-08,1098.0351595807613
2012-09,1142.452060590068
2012-10,1117.7747473770612
2012-11,1133.177668426536
2012-12,1171.6851187764803
2013-01,1168.9669418625658
2013-02,1227.431927176297
2013-03,1253.5116905190982
2013-04,1245.6893180935367
2013-05,1259.4762060074067
2013-06,1145.8742355041888
2013-07,1128.003994019633
2013-08,1097.9655834743508
2013-09,1138.733086211056
2013-10,1174.9801879173683
2013-11,1152.6585634451326
2013-12,1132.744248733963
2014-01,1126.2037352465638
2014-02,1145.6360838173691
2014-03,1172.547834053184
2014-04,1170.0455813183485
2014-05,1224.3767707644495
2014-06,1242.344888999217
2014-07,1280.194201690673
2014-08,1331.4571956660625
2014-09,1328.0718361142433
2014-10,1315.4665990107462
2014-11,1301.760832702744
2014-12,1302.9539612848976
2015-01,1417.265004187448
2015-02,1458.096910824459
2015-03,1520.6879212854747
2015-04,1589.5926807244816
2015-05,1631.3611262780237
2015-06,1531.788973030166
2015-07,1424.7557819459755
2015-08,1269.2701037858271
2015-09,1274.0556382018633
2015-10,1363.5556084842112
2015-11,1389.4890908962054
2015-12,1352.0134768338553
2016-01,1250.4322690239712
2016-02,1240.8093651064064
2016-03,1301.3718370173465
2016-04,1314.0877143973203
2016-05,1304.3181364797342
2016-06,1340.1936049960411
2016-07,1388.4317922068014
2016-08,1419.74399010563
2016-09,1425.5438465675122
2016-10,1439.7712417713365
2016-11,1418.3999491611062
2016-12,1424.2067728031511
2017-01,1455.0548498110736
2017-02,1556.8449231387401
2017-03,1587.3979641827875
2017-04,1576.7161753483444
2017-05,1537.4477999172932
2017-06,1527.6703091943841
2017-07,1530.626798452795
2017-08,1547.5005524440692
2017-09,1556.9278922941562
2017-10,1635.456017866947
2017-11,1626.0121126140855
2017-12,1674.3178875415758
2018-01,1707.4310973251402
2018-02,1672.4465288729564
2018-03,1637.501914239431
2018-04,1664.9417041051304
2018-05,1687.4619085002146
2018-06,1576.4849419297727
2018-07,1592.2936935228377
2018-08,1567.485484720313
2018-09,1518.047397891486
2018-10,1392.0446468346966
2018-11,1469.162379142773
2018-12,1431.820330333661
2019-01,1503.1464554219824
2019-02,1534.3908063838837
2019-03,1570.7531404760546
2019-04,1577.1033116161998
2019-05,1508.0669019146565
2019-06,1533.6069767699564
2019-07,1545.22737101389
2019-08,1484.0585081844156
2019-09,1528.5352962227419
2019-10,1550.742442936803
2019-11,1559.8584127528004
2019-12,1625.8585723480844
2020-01,1581.0533536828925
2020-02,1482.6097087996907
2020-03,1141.560786426349
2020-04,1302.9535531025533
2020-05,1313.3145469066317
2020-06,1417.879293173959
2020-07,1471.0903721355687
2020-08,1514.208799641853
2020-09,1518.9467494469175
2020-10,1520.7061359158542
2020-11,1689.5308792789438
2020-12,1779.252835221707
2021-01,1793.3669462332925
2021-02,1901.9422940208676
2021-03,1994.2962168507404
2021-04,2064.619083194437
2021-05,2084.0799028308775
2021-06,2198.86066202594
2021-07,2170.1340694341784
2021-08,2205.2330202596895
2021-09,2201.465596427692
2021-10,2208.62009356515
2021-11,2204.0617088946096
2021-12,2273.322349084388
2022-01,2204.1576700752717
2022-02,2144.9346179626
2022-03,2222.777342710797
2022-04,2226.758412724708
2022-05,2156.961649026185
2022-06,1977.4178382025364
2022-07,2083.4432673445476
2022-08,2164.9877641253215
2022-09,1999.404480597118
2022-10,1980.3662912057728
2022-11,2079.7200476654066
2022-12,1985.7913679590201
2023-01,2067.07185094291
2023-02,2056.473199082392
2023-03,2026.1171337459837
2023-04,2007.190214831669
2023-05,2101.597315722647
2023-06,2146.5347015398274
2023-07,2262.749774337262
