Date,EUROPE & MIDDLE EAST SMALL CAP
2010-05,1030.9920392684505
2010-06,1024.2889954419686
2010-07,1077.559060970294
2010-08,1061.217409024679
2010-09,1124.2700873488707
2010-10,1166.9804600335913
2010-11,1166.7015536654435
2010-12,1276.2007788521164
2011-01,1269.5262476173534
2011-02,1285.2610203925567
2011-03,1271.6167698513796
2011-04,1308.9289725122107
2011-05,1310.016530614162
2011-06,1256.0352503645715
2011-07,1217.3576229949203
2011-08,1087.507675917529
2011-09,1011.9742526539757
2011-10,1080.1213388440494
2011-11,1047.9689711088345
2011-12,1049.865560842593
2012-01,1144.8144374157075
2012-02,1210.707499645137
2012-03,1212.859953580639
2012-04,1216.8320932509607
2012-05,1131.2815516155067
2012-06,1153.6905737163609
2012-07,1195.7787396951678
2012-08,1223.371782193296
2012-09,1264.3495202561749
2012-10,1280.2020123084942
2012-11,1288.9387928228853
2012-12,1335.7048413304178
2013-01,1373.626989431693
2013-02,1427.4474930664253
2013-03,1446.2790160258219
2013-04,1455.6646471690358
2013-05,1508.815824840536
2013-06,1442.9216815069547
2013-07,1536.8466121493834
2013-08,1552.9536328424701
2013-09,1635.8466358072626
2013-10,1709.8214394055083
2013-11,1741.6680224047489
2013-12,1780.6424141867203
2014-01,1793.9381355667554
2014-02,1910.2546500714352
2014-03,1888.7269272474382
2014-04,1864.4877017345932
2014-05,1908.8753094147955
2014-06,1889.3425742967547
2014-07,1842.925350903877
2014-08,1869.5755722032536
2014-09,1840.9294517301798
2014-10,1812.4328020891
2014-11,1852.940110750956
2014-12,1892.207973639267
2015-01,2009.9551953378689
2015-02,2190.254857753481
2015-03,2234.119305338559
2015-04,2264.482492595292
2015-05,2344.609451143676
2015-06,2275.3709856527303
2015-07,2354.0566166959425
2015-08,2229.7213726097148
2015-09,2160.103459209575
2015-10,2297.180242850161
2015-11,2391.9597880708334
2015-12,2337.1526122925957
2016-01,2147.436082498262
2016-02,2135.9264843693545
2016-03,2205.0756261544107
2016-04,2222.9502456327664
2016-05,2314.882156741922
2016-06,2111.510759405155
2016-07,2229.8122919662246
2016-08,2264.9249107074743
2016-09,2286.012390713293
2016-10,2229.2445541560833
2016-11,2259.0066919590986
2016-12,2366.913089604309
2017-01,2390.042305072115
2017-02,2470.811612865382
2017-03,2536.5150535187277
2017-04,2657.071060368549
2017-05,2683.395080188863
2017-06,2617.1852201052125
2017-07,2641.6121417225527
2017-08,2625.90696267021
2017-09,2744.2929768222234
2017-10,2803.15857199721
2017-11,2753.2348915911534
2017-12,2816.8486939416057
2018-01,2870.6057247188287
2018-02,2789.6930367062464
2018-03,2740.8919964448014
2018-04,2851.0265647408596
2018-05,2902.864766276818
2018-06,2868.8939579511257
2018-07,2907.3901019869268
2018-08,2902.5872119608916
2018-09,2850.9312958177698
2018-10,2636.5612277626365
2018-11,2551.844380487803
2018-12,2387.759594236597
2019-01,2602.260342080241
2019-02,2692.6023139807403
2019-03,2728.373592134731
2019-04,2856.592204080028
2019-05,2693.8904917392824
2019-06,2771.589639655463
2019-07,2772.7539295782467
2019-08,2727.316082867769
2019-09,2826.195266378868
2019-10,2892.8684929295327
2019-11,3027.564684285204
2019-12,3151.090023313477
2020-01,3100.0245232963252
2020-02,2853.694851640305
2020-03,2246.30776072578
2020-04,2503.5157792213286
2020-05,2626.1358378854366
2020-06,2652.1809218297326
2020-07,2682.190839356487
2020-08,2836.496343487302
2020-09,2816.23475627421
2020-10,2701.0195871677706
2020-11,3106.4633914533406
2020-12,3289.4503039099372
2021-01,3303.565513999667
2021-02,3427.7002930511403
2021-03,3603.7827706123176
2021-04,3738.5948266726136
2021-05,3815.6290587932704
2021-06,3805.5240103567735
2021-07,3938.2964911712183
2021-08,4074.4703246879826
2021-09,3908.301231984614
2021-10,4053.2235624711852
2021-11,3939.0718963041722
2021-12,4111.063999611635
2022-01,3846.3499468257905
2022-02,3701.535519334
2022-03,3732.1900465912686
2022-04,3665.439297996229
2022-05,3586.0207029835174
2022-06,3172.0100780393327
2022-07,3488.0218890552783
2022-08,3276.660592717831
2022-09,2912.2675360365674
2022-10,3106.0509862680888
2022-11,3283.825419015544
2022-12,3184.3243263442023
2023-01,3412.8226539051566
2023-02,3485.7488761925524
2023-03,3344.615572015494
2023-04,3391.552594361344
2023-05,3314.759546125793
2023-06,3343.192351347742
2023-07,3461.203894797635
