Date,EFM (EMERGING + FRONTIER MKTS) SMALL CAP
2010-11,1000.0
2010-12,1024.4616427911692
2011-01,971.127938155556
2011-02,922.1519379977934
2011-03,936.8712828873322
2011-04,935.3468099994934
2011-05,934.7754812695498
2011-06,907.5083988847595
2011-07,931.4584422167663
2011-08,828.6918291842389
2011-09,752.2913817421208
2011-10,789.3214060370846
2011-11,752.5428373997617
2011-12,769.4527833098699
2012-01,838.7084060812252
2012-02,893.4401854379018
2012-03,870.3509991253704
2012-04,861.4266466175128
2012-05,840.9308078605245
2012-06,840.7626337061555
2012-07,864.0653421729878
2012-08,863.3331346484151
2012-09,897.7953131091109
2012-10,878.770780963005
2012-11,889.2929509781931
2012-12,919.0209887923664
2013-01,919.2343894691205
2013-02,963.9296086915896
2013-03,984.5228097069306
2013-04,977.6450622269593
2013-05,994.1840413560885
2013-06,908.5157882074652
2013-07,895.3665304199624
2013-08,871.5486827604631
2013-09,901.5804929810336
2013-10,930.3657953677804
2013-11,916.2291630942836
2013-12,902.8494290260834
2014-01,901.822462474717
2014-02,915.7603263995037
2014-03,935.8329128694339
2014-04,936.5193584055577
2014-05,978.7677914931077
2014-06,993.008493169345
2014-07,1023.6077522061018
2014-08,1063.6812911862205
2014-09,1064.7861072148235
2014-10,1053.8710199037077
2014-11,1041.7436652149572
2014-12,1041.8526298571603
2015-01,1131.4636693206144
2015-02,1163.0660645348648
2015-03,1211.581431884749
2015-04,1262.1557637653184
2015-05,1295.6899111866899
2015-06,1218.9298639730866
2015-07,1138.4164616259557
2015-08,1017.1081684059374
2015-09,1020.019991870664
2015-10,1089.4848176134558
2015-11,1110.0601991950346
2015-12,1080.008171031534
2016-01,1001.1567997296675
2016-02,993.7496733266623
2016-03,1038.6768169695922
2016-04,1049.1133472446481
2016-05,1044.3932395520312
2016-06,1071.9092345213194
2016-07,1109.0509344268169
2016-08,1132.7785409442797
2016-09,1138.5942870942583
2016-10,1150.778106802894
2016-11,1137.3440634947356
2016-12,1144.1941061904383
2017-01,1171.1888588154882
2017-02,1250.7749347277204
2017-03,1274.753343801415
2017-04,1265.1528258358019
2017-05,1234.2254772798792
2017-06,1227.0761801809167
2017-07,1228.811589892997
2017-08,1241.519782819419
2017-09,1249.1609338451115
2017-10,1310.205786281098
2017-11,1302.7449042755154
2017-12,1340.2700308064582
2018-01,1365.527592837387
2018-02,1338.0338762682823
2018-03,1310.2237291609335
2018-04,1331.3396511958579
2018-05,1346.948157867236
2018-06,1261.5986557616616
2018-07,1273.2507290669764
2018-08,1254.4577105853996
2018-09,1214.8361600898556
2018-10,1117.4310880217918
2018-11,1176.370294409494
2018-12,1147.1655829051256
2019-01,1202.9788128805774
2019-02,1226.6825948347437
2019-03,1253.7528058906976
2019-04,1258.1016245818012
2019-05,1205.6117194520477
2019-06,1224.9235209757126
2019-07,1234.890264668334
2019-08,1187.3503382798335
2019-09,1221.5769272491389
2019-10,1237.8741911326429
2019-11,1245.8743299495852
2019-12,1295.9163169941712
2020-01,1262.4426838928564
2020-02,1185.0000025840843
2020-03,913.5234731942423
2020-04,1039.9499081936463
2020-05,1048.596467230179
2020-06,1128.9264177058485
2020-07,1167.7947800156255
2020-08,1202.7228575646952
2020-09,1207.8840372845623
2020-10,1209.4732132194374
2020-11,1340.2165468728385
2020-12,1411.4935415371137
2021-01,1423.6908760073245
2021-02,1507.9786135123275
2021-03,1581.1687055754999
2021-04,1636.0746085684812
2021-05,1652.9190550728554
2021-06,1744.3506905967008
2021-07,1722.20364186096
2021-08,1752.2969157569512
2021-09,1751.2471318798612
2021-10,1759.7119803956466
2021-11,1759.0116029342032
2021-12,1813.2298530470928
2022-01,1759.5450661297748
2022-02,1714.7019514330768
2022-03,1775.7909648608766
2022-04,1779.2636401772622
2022-05,1720.7518286003983
2022-06,1579.9016977400306
2022-07,1662.8482170477123
2022-08,1728.0838998199013
2022-09,1596.7273254578715
2022-10,1578.850624446352
2022-11,1654.2015620218356
2022-12,1580.3500993015336
2023-01,1643.627072367792
2023-02,1635.5186010312962
2023-03,1611.873994365006
2023-04,1598.0915457878336
2023-05,1672.9974775094101
2023-06,1707.4930190136442
2023-07,1800.3561848640115
