Date,EAFE ex UK SMALL CAP
2000-12,100.0
2001-01,103.5257014825216
2001-02,102.93594445362383
2001-03,99.07418779127826
2001-04,107.10288385838011
2001-05,111.09267206382873
2001-06,108.15393224045353
2001-07,100.13089008431783
2001-08,96.8377216382519
2001-09,85.08082807173037
2001-10,90.18785777386171
2001-11,93.14265779897353
2001-12,90.09432596309988
2002-01,91.63776086571366
2002-02,93.06823956773424
2002-03,98.10348788942977
2002-04,98.37783303760627
2002-05,100.35847725725257
2002-06,91.82960436441655
2002-07,85.96235583064424
2002-08,84.49064563291964
2002-09,77.13767151165582
2002-10,75.81303082657001
2002-11,77.79288538506371
2002-12,72.50735686970168
2003-01,70.71499161229646
2003-02,70.12489141799217
2003-03,68.73064537182681
2003-04,73.04163507736747
2003-05,74.4600404056225
2003-06,80.67850147754964
2003-07,84.28200523534173
2003-08,92.4676679524707
2003-09,93.01685876277692
2003-10,100.5852353236037
2003-11,96.89035721898723
2003-12,97.75933269264162
2004-01,103.57064835091133
2004-02,105.59483686849308
2004-03,112.17999241890166
2004-04,111.6099222287279
2004-05,107.41472123011377
2004-06,114.05641955265833
2004-07,110.04978960309896
2004-08,110.26361026555794
2004-09,110.23328133506666
2004-10,111.65062004571358
2004-11,115.33588321444813
2004-12,118.18041077695509
2005-01,125.59250530543196
2005-02,128.7302937173482
2005-03,129.16867270190582
2005-04,127.5616956576331
2005-05,133.59801777012066
2005-06,140.19892542032466
2005-07,146.45404251718372
2005-08,148.32908305059064
2005-09,158.54725619695748
2005-10,154.31360576577032
2005-11,161.3500872800446
2005-12,175.16065452200243
2006-01,181.40915336950388
2006-02,181.6722422139405
2006-03,188.41051334901596
2006-04,188.57569406790068
2006-05,173.2459520586542
2006-06,169.7264802950182
2006-07,164.76572556114027
2006-08,168.57282934196124
2006-09,170.02888577018606
2006-10,174.132626512693
2006-11,174.02699010953046
2006-12,180.19990537358228
2007-01,187.6625271702117
2007-02,188.2350850421517
2007-03,192.36188744157116
2007-04,194.07899076178373
2007-05,198.28165068944568
2007-06,198.1826053933202
2007-07,194.84915993180593
2007-08,184.97125574100852
2007-09,181.67357855251475
2007-10,188.14458732835897
2007-11,173.6669344826783
2007-12,168.90969208839957
2008-01,149.85696931978296
2008-02,152.65092101629438
2008-03,146.07021899703162
2008-04,152.27089771087427
2008-05,155.5147933560902
2008-06,140.24895412876967
2008-07,134.94543091916933
2008-08,137.07655834673707
2008-09,119.49351410110954
2008-10,102.27016960596234
2008-11,98.81755537146813
2008-12,98.19916322695566
2009-01,98.47305273368102
2009-02,88.93366334648294
2009-03,90.72435101110169
2009-04,103.2769250228253
2009-05,111.27297050376133
2009-06,114.80236335458349
2009-07,121.79243963090879
2009-08,129.56915400896548
2009-09,134.43105922263805
2009-10,130.19125081763065
2009-11,128.29201020404082
2009-12,134.6588194603193
2010-01,137.4392535487449
2010-02,139.1759128740927
2010-03,150.07024581062322
2010-04,154.38759376333127
2010-05,146.31259599077617
2010-06,145.6021148438567
2010-07,147.49836554491608
2010-08,146.7390601314068
2010-09,152.3176629379782
2010-10,155.2285434972933
2010-11,160.0678787190772
2010-12,173.84606451326553
2011-01,171.38126200490996
2011-02,173.8166183037539
2011-03,169.68578094740593
2011-04,169.28198630981996
2011-05,169.62707245510936
2011-06,166.12980419111807
2011-07,165.51552188718338
2011-08,152.48081630858204
2011-09,146.75668216812127
2011-10,150.00137276489417
2011-11,146.39981885148848
2011-12,149.43221237793037
2012-01,159.74612920541566
2012-02,164.41136820080962
2012-03,165.1571766656156
2012-04,164.40205612558208
2012-05,155.58149172231313
2012-06,157.39127484103193
2012-07,162.1351303753264
2012-08,161.50327435308068
2012-09,165.36634010004843
2012-10,165.00884610857844
2012-11,166.39025653158717
2012-12,170.70444743909516
2013-01,175.71809777788243
2013-02,184.76011763888533
2013-03,191.25366936895244
2013-04,193.56720432202204
2013-05,190.31678935458743
2013-06,182.77108064132528
2013-07,188.6546609985163
2013-08,189.09608091999726
2013-09,201.50436648264122
2013-10,206.46173792836092
2013-11,205.89435107390827
2013-12,206.69540531733512
2014-01,208.34078346360036
2014-02,212.06619265321376
2014-03,213.47567076521526
2014-04,211.5174415957319
2014-05,218.70301448155908
2014-06,222.30090128335758
2014-07,222.43616451102454
2014-08,224.76665287642533
2014-09,221.93443318918537
2014-10,218.49078439900308
2014-11,220.28324628954238
2014-12,224.308529228773
2015-01,242.95602391582975
2015-02,257.94718811978146
2015-03,269.45584661861216
2015-04,268.78179000497005
2015-05,274.8130301269116
2015-06,265.93299575607296
2015-07,270.5578740849182
2015-08,254.7218361812789
2015-09,247.3022725271577
2015-10,265.9340791915648
2015-11,278.86367983071744
2015-12,274.39634778479706
2016-01,255.11724679546566
2016-02,254.33070190198197
2016-03,262.51060550302753
2016-04,267.77637958040924
2016-05,275.3918928393793
2016-06,267.2302050684035
2016-07,281.97164484023466
2016-08,280.09191363953823
2016-09,287.11110521886206
2016-10,288.96410666304143
2016-11,287.220768206044
2016-12,297.5689592422871
2017-01,301.4643972388315
2017-02,313.4094111282855
2017-03,317.86089630019256
2017-04,323.07772870462884
2017-05,325.55863521557313
2017-06,322.57947327064517
2017-07,322.8573035905937
2017-08,324.201024890435
2017-09,333.7614003796151
2017-10,344.3319585047613
2017-11,342.6483147277252
2017-12,348.02289682964323
2018-01,353.7982951514332
2018-02,350.5385311866817
2018-03,341.98647882317647
2018-04,351.1375907196239
2018-05,359.4456553662524
2018-06,351.4184662402365
2018-07,353.7469550293274
2018-08,353.4370928134909
2018-09,352.5801782250374
2018-10,326.37462069903546
2018-11,326.612591719197
2018-12,301.87292654102544
2019-01,322.9201975842559
2019-02,331.4732258608037
2019-03,337.2921501553167
2019-04,346.68607108708494
2019-05,331.57789576839224
2019-06,339.71745043446083
2019-07,346.7737244867487
2019-08,342.0530490403636
2019-09,353.8003114558751
2019-10,360.1633692784761
2019-11,371.0830994605749
2019-12,377.46026814608
2020-01,372.1061047613058
2020-02,339.85114559188537
2020-03,287.5403807636067
2020-04,316.93835912918195
2020-05,337.24778843184595
2020-06,339.5825555834773
2020-07,332.66263898755676
2020-08,353.28492312702247
2020-09,361.0718510887418
2020-10,349.3604295467883
2020-11,384.6549379527262
2020-12,399.539234776299
2021-01,401.23041483880064
2021-02,409.48691039397977
2021-03,432.44333299246813
2021-04,437.11786516096015
2021-05,437.8938778117991
2021-06,447.0972965777788
2021-07,453.4587206176837
2021-08,467.2283363084053
2021-09,462.1259656728423
2021-10,470.26944887650563
2021-11,457.3452922898337
2021-12,469.98486122721357
2022-01,443.017486194297
2022-02,439.02765988948113
2022-03,445.46889086778674
2022-04,437.2373956603668
2022-05,427.80615954016065
2022-06,391.4401947754687
2022-07,426.401767837254
2022-08,418.2212928195452
2022-09,382.03508515461095
2022-10,392.4816598205309
2022-11,413.1980158859391
2022-12,404.18327754940907
2023-01,425.92836312718174
2023-02,425.60768054455383
2023-03,416.81325084503595
2023-04,415.9386836659778
2023-05,413.5005582185072
2023-06,416.9195874586412
2023-07,429.66733122726856
