Date,AC ASIA PACIFIC ex JAPAN SMALL CAP
1998-12,321.11757119669835
1999-01,334.7334117706259
1999-02,336.18192804201686
1999-03,368.99214997371325
1999-04,441.62497084170064
1999-05,451.47278549745596
1999-06,503.1947381518905
1999-07,475.80445753526857
1999-08,476.63645950000694
1999-09,451.276911350672
1999-10,455.0768833588073
1999-11,494.90424679873195
1999-12,519.4153462041697
2000-01,524.4704900999445
2000-02,519.5595564808424
2000-03,521.9439098761931
2000-04,493.08924194441323
2000-05,442.6212296177858
2000-06,440.13026872089944
2000-07,442.5527771313593
2000-08,460.0056993975022
2000-09,411.9196655207473
2000-10,396.3646403344028
2000-11,380.08013702334733
2000-12,348.5651083282522
2001-01,383.86960552192716
2001-02,386.15147599251907
2001-03,365.5195602064787
2001-04,373.2492184965411
2001-05,400.8540771099645
2001-06,398.94548480528715
2001-07,367.7310531483535
2001-08,360.5731770570744
2001-09,315.8881725918459
2001-10,335.82908155314357
2001-11,367.20901102955077
2001-12,386.272164184881
2002-01,425.03583613040814
2002-02,430.0239579830943
2002-03,460.82377936606593
2002-04,449.3727876158712
2002-05,435.1238892226354
2002-06,391.8915962727444
2002-07,377.8057980733607
2002-08,381.4325620961229
2002-09,340.8843015775131
2002-10,350.4662121471854
2002-11,359.1002952534556
2002-12,334.6121557593325
2003-01,344.1298473793861
2003-02,333.2207257520809
2003-03,318.79890049710633
2003-04,325.338344306451
2003-05,338.9494626709311
2003-06,367.8840306904823
2003-07,393.1419966629521
2003-08,421.2502022566951
2003-09,410.13531819219065
2003-10,441.1674945018568
2003-11,429.0976732974172
2003-12,432.8403198850312
2004-01,457.1891066251174
2004-02,476.3999271924303
2004-03,476.44213096123923
2004-04,462.5085412557627
2004-05,439.16334946072044
2004-06,433.9637984634184
2004-07,437.44708994180195
2004-08,449.03011143664696
2004-09,462.59391294895084
2004-10,469.23355756790113
2004-11,485.96574975021525
2004-12,496.6989676944856
2005-01,521.9853321457005
2005-02,540.5098778386965
2005-03,532.166227183024
2005-04,520.3562846640438
2005-05,550.3679033487092
2005-06,588.6611076525552
2005-07,612.2894239894815
2005-08,600.9084830420043
2005-09,643.5536349690283
2005-10,608.897456903716
2005-11,662.6449988610213
2005-12,692.5209675598252
2006-01,707.6450377973335
2006-02,723.4064099185322
2006-03,736.780927977234
2006-04,758.07819034508
2006-05,703.1024376030422
2006-06,682.4863622020985
2006-07,687.4526784079613
2006-08,705.8164898255405
2006-09,735.8417318117457
2006-10,766.2086156296739
2006-11,798.7229461551268
2006-12,830.2349346286795
2007-01,842.6366519473108
2007-02,849.6882455490096
2007-03,881.8706205425783
2007-04,917.1488851676337
2007-05,1000.0
2007-06,1041.9167476317814
2007-07,1100.7549953259393
2007-08,1034.862423796495
2007-09,1081.4750756606338
2007-10,1135.0509703012854
2007-11,1017.6401625103647
2007-12,1027.3678734737787
2008-01,874.2536958072018
2008-02,915.4797286310439
2008-03,819.844632029233
2008-04,882.0525623604354
2008-05,868.765127194215
2008-06,749.2383904125363
2008-07,731.0451209302117
2008-08,714.3669805803403
2008-09,598.3803259798391
2008-10,451.3164341504006
2008-11,416.28755561473463
2008-12,434.4601631458537
2009-01,433.9488641994025
2009-02,419.44204397331345
2009-03,465.60301448779603
2009-04,563.1420104499074
2009-05,660.8215978999882
2009-06,660.9631121793145
2009-07,739.332469594914
2009-08,734.2853001217713
2009-09,782.6812053314268
2009-10,782.7135133503725
2009-11,800.095496399129
2009-12,886.3634666751507
2010-01,863.951012732305
2010-02,884.8570646264305
2010-03,971.9636164478954
2010-04,1014.5298713847899
2010-05,965.3921938225415
2010-06,976.6833471208289
2010-07,986.7858169649088
2010-08,1011.2737957262691
2010-09,1067.2659462032557
2010-10,1088.6625454218379
2010-11,1135.9956824419432
2010-12,1179.599067589775
2011-01,1125.9422481303466
2011-02,1083.759992450119
2011-03,1098.7901608117193
2011-04,1093.4898223100029
2011-05,1100.0439238526687
2011-06,1060.980259963518
2011-07,1098.3103135277763
2011-08,986.3041268718471
2011-09,882.3246259913877
2011-10,951.601679178479
2011-11,905.2375958284118
2011-12,921.2147375229312
2012-01,1007.3966059693001
2012-02,1069.5086939054277
2012-03,1033.825331161252
2012-04,1027.577056503489
2012-05,993.2494613214417
2012-06,984.6040657808273
2012-07,1021.9967821004122
2012-08,1017.4013222250202
2012-09,1058.856981391698
2012-10,1048.9189059012842
2012-11,1066.6374664458122
2012-12,1086.724662459661
2013-01,1096.3789901584264
2013-02,1155.330484143106
2013-03,1181.8114003221735
2013-04,1167.4570515232592
2013-05,1167.2185265721646
2013-06,1058.9024394893215
2013-07,1056.5966040568594
2013-08,1047.150339450208
2013-09,1087.0808890829762
2013-10,1114.2908157391184
2013-11,1086.8315644158802
2013-12,1076.3886134705115
2014-01,1073.054466629313
2014-02,1095.7455766951116
2014-03,1117.0935023212269
2014-04,1112.3620173595705
2014-05,1157.5103463396176
2014-06,1171.3491305768955
2014-07,1218.2967545456395
2014-08,1257.7368418659564
2014-09,1241.960535136989
2014-10,1237.8469910132874
2014-11,1216.8782290916558
2014-12,1231.1891116790614
2015-01,1332.5706722274485
2015-02,1381.8101766596785
2015-03,1451.6515376368884
2015-04,1509.1837852428043
2015-05,1555.7069655615055
2015-06,1443.574593921072
2015-07,1348.7448891430638
2015-08,1200.8574284379497
2015-09,1205.6474843842655
2015-10,1300.9018008701055
2015-11,1341.2772377314698
2015-12,1317.8811514555207
2016-01,1213.345486814852
2016-02,1203.0602951154433
2016-03,1258.557390140726
2016-04,1264.601765466466
2016-05,1273.1661704166165
2016-06,1294.2145196410247
2016-07,1347.3260748075309
2016-08,1371.9674046342816
2016-09,1378.9659820486872
2016-10,1368.2558262670307
2016-11,1370.117808796695
2016-12,1366.5693273230274
2017-01,1386.11787930928
2017-02,1475.5826860055809
2017-03,1505.504599631939
2017-04,1488.069599681738
2017-05,1454.7446385243827
2017-06,1455.4284477267454
2017-07,1447.1040239689
2017-08,1453.668482344653
2017-09,1467.302090307416
2017-10,1553.4172427480087
2017-11,1554.2231892210148
2017-12,1590.7961179847728
2018-01,1612.199982721315
2018-02,1576.5472723548087
2018-03,1538.691217032572
2018-04,1572.920222467035
2018-05,1631.7187657919262
2018-06,1541.7419466589022
2018-07,1541.8350262877416
2018-08,1537.8069864950548
2018-09,1494.2292986582356
2018-10,1356.2423908333524
2018-11,1427.0376362648824
2018-12,1372.0795920091646
2019-01,1438.3890507747221
2019-02,1485.2502188830413
2019-03,1532.0089464182447
2019-04,1539.0800676612566
2019-05,1470.0369736996176
2019-06,1489.0369244664428
2019-07,1500.7761245232637
2019-08,1448.2550075747256
2019-09,1491.0790598090778
2019-10,1500.3904038728758
2019-11,1509.8924068607625
2019-12,1544.9544336731556
2020-01,1510.251913891493
2020-02,1423.3484650971416
2020-03,1127.5950373029902
2020-04,1314.5929486625694
2020-05,1351.6957147904081
2020-06,1438.880719045107
2020-07,1472.1075357699535
2020-08,1551.6013604024542
2020-09,1545.9266432391385
2020-10,1558.41935778128
2020-11,1710.5780977411523
2020-12,1785.7783263625688
2021-01,1803.9957627728336
2021-02,1911.1091454174846
2021-03,1992.7843520358444
2021-04,2057.910978005483
2021-05,2046.0262671983135
2021-06,2149.6751800253064
2021-07,2126.4603173441074
2021-08,2168.2640139230634
2021-09,2170.2892255192583
2021-10,2219.193360421506
2021-11,2210.781036731192
2021-12,2282.3882399467875
2022-01,2140.5207838192755
2022-02,2125.4068073171825
2022-03,2213.0060695015
2022-04,2214.6464019650894
2022-05,2123.7205287469833
2022-06,1945.5926625060538
2022-07,2076.811548499311
2022-08,2142.5327781283754
2022-09,1938.3314302765234
2022-10,1907.7097494845834
2022-11,2042.6890148939365
2022-12,1951.9267154901713
2023-01,2058.644643856221
2023-02,2021.6131880905677
2023-03,1977.4008336446268
2023-04,1953.6510933076663
2023-05,2013.0264558785796
2023-06,2037.7318413581168
2023-07,2134.282236894974
