Date,ACWI FM ex USA SMALL CAP
2010-11,1000.0
2010-12,1065.8628143388958
2011-01,1039.106156559881
2011-02,1043.0902521143864
2011-03,1024.3957895472668
2011-04,1027.118115142738
2011-05,1029.6636563286556
2011-06,999.0460445258506
2011-07,1007.8809493299544
2011-08,919.3406196920612
2011-09,864.3083062277742
2011-10,900.7053338600352
2011-11,880.1053386836959
2011-12,896.0242365568499
2012-01,965.3375971055352
2012-02,1005.1829096300395
2012-03,997.3637679637757
2012-04,995.6658734814611
2012-05,947.8474529135987
2012-06,953.5107098994783
2012-07,987.7041674871757
2012-08,991.3416038740278
2012-09,1020.5216892370688
2012-10,1013.5544874429509
2012-11,1017.5093857216647
2012-12,1044.2024461028388
2013-01,1058.541295638741
2013-02,1104.6505351737148
2013-03,1142.2335420235129
2013-04,1142.2981666773373
2013-05,1141.086121641073
2013-06,1080.4257917144619
2013-07,1109.7677028937874
2013-08,1107.5610400170638
2013-09,1164.2387174966118
2013-10,1195.197485462232
2013-11,1191.084164275754
2013-12,1197.8025368478147
2014-01,1201.3967034800467
2014-02,1235.3336629127032
2014-03,1239.465073375883
2014-04,1230.8395823937049
2014-05,1270.717170921152
2014-06,1293.8719480994687
2014-07,1299.4506560148889
2014-08,1329.3753162404882
2014-09,1308.728242894724
2014-10,1288.2948618984406
2014-11,1288.799761584265
2014-12,1310.7807121349447
2015-01,1400.1891862815082
2015-02,1484.7171709746478
2015-03,1533.5465619949296
2015-04,1556.8972923010508
2015-05,1600.2348327973575
2015-06,1540.1902697638438
2015-07,1524.0263247327466
2015-08,1419.1036249254691
2015-09,1384.01900201717
2015-10,1480.7918119374704
2015-11,1537.351932200767
2015-12,1496.1653546410503
2016-01,1387.5436673516892
2016-02,1386.464277487087
2016-03,1435.7664405884666
2016-04,1468.3215508579644
2016-05,1501.2004199984374
2016-06,1460.7165325378567
2016-07,1531.2647782844099
2016-08,1533.7036986105404
2016-09,1557.6985330172392
2016-10,1555.332665439304
2016-11,1560.3720341321964
2016-12,1602.9213790809386
2017-01,1625.2312264840048
2017-02,1696.2206485620188
2017-03,1720.064507720323
2017-04,1739.4099827313262
2017-05,1729.909557317229
2017-06,1713.0068968351084
2017-07,1715.490072650532
2017-08,1719.520450628634
2017-09,1766.0704097231726
2017-10,1825.350852753017
2017-11,1810.0462452138386
2017-12,1852.29295491245
2018-01,1872.9768101666534
2018-02,1837.9232873125584
2018-03,1802.0484601846965
2018-04,1855.0698869975497
2018-05,1899.6802057018779
2018-06,1847.855772030286
2018-07,1856.543492173491
2018-08,1848.9586768595766
2018-09,1828.9284809428677
2018-10,1693.3850109856223
2018-11,1698.7220020331322
2018-12,1591.7857182795087
2019-01,1709.2361340155164
2019-02,1757.9784221986604
2019-03,1785.0295293273673
2019-04,1827.475834255874
2019-05,1743.8567339361184
2019-06,1781.282716572313
2019-07,1809.8491858536395
2019-08,1777.177742601251
2019-09,1838.2993476392905
2019-10,1868.5600605260247
2019-11,1922.3111529041519
2019-12,1980.675512958922
2020-01,1944.1945457901395
2020-02,1781.7913545177873
2020-03,1439.3393331799055
2020-04,1616.4764612383644
2020-05,1687.851446572321
2020-06,1725.8181819815588
2020-07,1720.5571423608624
2020-08,1813.0176041430939
2020-09,1826.037333265566
2020-10,1789.8911143266998
2020-11,1983.024355908198
2020-12,2074.3881545372346
2021-01,2085.8635763447005
2021-02,2162.9034872561715
2021-03,2278.9529418218267
2021-04,2327.064314643682
2021-05,2344.8075487099377
2021-06,2403.08302235316
2021-07,2422.452424473186
2021-08,2490.2502381456434
2021-09,2460.2181622317016
2021-10,2503.0641747399786
2021-11,2447.4998081960694
2021-12,2524.639433681089
2022-01,2402.1852176181637
2022-02,2366.994099452384
2022-03,2413.780161775432
2022-04,2381.9680457436834
2022-05,2322.9460678209407
2022-06,2118.4896606655084
2022-07,2296.2994208175573
2022-08,2268.6314070899684
2022-09,2072.075608908072
2022-10,2118.8887080836985
2022-11,2226.8520472607697
2022-12,2152.0763155045447
2023-01,2266.309092684196
2023-02,2261.6715741008657
2023-03,2212.966090908023
2023-04,2210.184378662684
2023-05,2225.994565818372
2023-06,2249.656958523663
2023-07,2339.598718666426
