Date,WORLD SMALL CAP
2000-12,100.0
2001-01,104.69904390115055
2001-02,102.79551103057838
2001-03,101.01750967591279
2001-04,108.6637108698238
2001-05,114.88264596226063
2001-06,114.73507558158597
2001-07,107.32048929178634
2001-08,103.15047115973799
2001-09,89.37978900580538
2001-10,96.41236747919751
2001-11,103.090088741545
2001-12,106.31332403702784
2002-01,107.69429481411478
2002-02,106.2608027224441
2002-03,113.53414973120886
2002-04,111.64870251067194
2002-05,107.37738376516486
2002-06,96.28728283688034
2002-07,86.44346035880385
2002-08,86.00238912343609
2002-09,78.87313834813708
2002-10,79.64929851978248
2002-11,83.7571917908439
2002-12,75.76396776079136
2003-01,72.74480165054928
2003-02,71.18392407034548
2003-03,70.42180724398906
2003-04,75.94083738402678
2003-05,79.55914559432664
2003-06,84.12114641296459
2003-07,89.2603638864054
2003-08,97.2336005923548
2003-09,93.36504242483942
2003-10,101.77009905027153
2003-11,100.46049362507078
2003-12,99.45770753196831
2004-01,105.31848359642011
2004-02,107.46506672607556
2004-03,111.67698319722395
2004-04,109.26705108065427
2004-05,107.71892892256272
2004-06,112.90439000992163
2004-07,108.21202594949521
2004-08,107.05244722025249
2004-09,108.57120954054986
2004-10,109.0930835603553
2004-11,112.72952630111153
2004-12,114.73058085592234
2005-01,118.11295989157432
2005-02,119.74475774818467
2005-03,119.45714094375418
2005-04,115.50182756416005
2005-05,124.48617549680797
2005-06,130.6956011644051
2005-07,137.00840713349007
2005-08,136.67561065357364
2005-09,142.94291494890993
2005-10,139.075331444838
2005-11,147.03491441032253
2005-12,152.97331552848695
2006-01,159.83844145364552
2006-02,161.4876257101855
2006-03,166.48992681900143
2006-04,164.11039268644734
2006-05,151.91102639368458
2006-06,150.20713247340478
2006-07,146.29264555611158
2006-08,149.9185285553444
2006-09,151.98383383971841
2006-10,157.45421266855462
2006-11,156.88362636405864
2006-12,160.3719065160013
2007-01,165.69193129019158
2007-02,164.2574613842097
2007-03,167.02959434797089
