Date,NORTH AMERICA SMALL CAP
2000-12,100.0
2001-01,105.72824207677053
2001-02,102.43241242109175
2001-03,104.04969740470692
2001-04,110.9621425231572
2001-05,119.47683761906669
2001-06,124.10135862836336
2001-07,117.39522169263532
2001-08,110.8352163947071
2001-09,96.46545144491641
2001-10,105.38465271744684
2001-11,114.85807111761315
2001-12,123.13612310304416
2002-01,125.01197926883202
2002-02,121.04873682101932
2002-03,130.4541238979619
2002-04,126.3952914927564
2002-05,117.20467185620922
2002-06,103.71171660149433
2002-07,90.20847124365085
2002-08,90.42624773600608
2002-09,83.1335942631685
2002-10,85.7733369330877
2002-11,92.20841876753602
2002-12,81.53168501857311
2003-01,78.04117952501453
2003-02,75.74749889582367
2003-03,75.47441226683156
2003-04,81.94097064246253
2003-05,87.03540105233681
2003-06,90.51657123631993
2003-07,96.7372538366821
2003-08,105.10074259373455
2003-09,97.6131081430657
2003-10,107.11140170170265
2003-11,107.68811830639521
2003-12,104.93592268710546
2004-01,110.37613158975952
2004-02,111.85646923744062
2004-03,114.93890874551883
2004-04,110.79806527230527
2004-05,111.36397936368326
2004-06,115.7458341489345
2004-07,110.24827829129806
2004-08,108.1955658781237
2004-09,111.02880186103442
2004-10,110.72762016688095
2004-11,114.42809003483997
2004-12,115.57849863099885
2005-01,115.42139770696605
2005-02,116.15419543790439
2005-03,115.10900635377197
2005-04,109.46059877460792
2005-05,121.61108067773758
2005-06,128.00350090802877
2005-07,135.02649660886158
2005-08,132.20594388788388
2005-09,136.10212621902522
2005-10,132.32352701143282
2005-11,141.08375080519164
2005-12,141.33193684103745
2006-01,148.75877010816248
2006-02,150.95812660553707
2006-03,155.3955240049218
2006-04,150.44697637465117
2006-05,139.48308924990414
2006-06,138.8779003916402
2006-07,135.116968851294
2006-08,138.4572362786128
2006-09,140.27652922490665
2006-10,146.41458225141324
2006-11,144.64090500336556
2006-12,145.32326285614727
2007-01,149.69066384588277
2007-02,146.8879678260647
2007-03,148.16691322161884
2007-04,148.44623530686383
2007-05,157.67313528215772
2007-06,154.90361881461158
2007-07,142.6070786065894
2007-08,143.13010916379483
2007-09,141.570890498504
2007-10,143.8640364589132
2007-11,130.44015755919042
2007-12,130.4880117194926
2008-01,120.6341245908507
2008-02,115.2871195852807
2008-03,108.69611234024937
2008-04,116.73674911926848
2008-05,123.05737765360026
2008-06,111.71131325312714
2008-07,113.03729500023046
2008-08,122.81296009324988
2008-09,114.77633751505468
2008-10,99.18809001912635
2008-11,88.44109500574773
2008-12,85.192226617535
2009-01,84.59064497124986
2009-02,75.76883143712524
2009-03,79.313747486161
2009-04,93.23764816294663
2009-05,91.72314676095573
2009-06,93.04644761448851
2009-07,100.95432869817614
2009-08,104.3478310808345
2009-09,109.18115386218433
2009-10,102.13529320273045
2009-11,104.60027249054082
2009-12,117.56851581683588
2010-01,117.23684795820401
2010-02,125.33321392850576
2010-03,136.5122405914893
2010-04,146.24778684586929
2010-05,146.08088781356489
2010-06,135.79005977557298
2010-07,136.86829231982534
2010-08,132.27882922201826
2010-09,137.4155008132988
2010-10,140.39444194777084
2010-11,154.70989526247828
2010-12,162.12682061111917
2011-01,160.18966077549203
2011-02,167.2477372039488
2011-03,165.99310172131658
2011-04,163.3859542851412
2011-05,165.66294006370424
2011-06,160.19205070984523
2011-07,156.5603580250088
2011-08,143.33123359864626
2011-09,135.68873711362167
2011-10,149.89874717202417
2011-11,154.428584318817
2011-12,159.82242523092688
2012-01,169.80989611727762
2012-02,172.31197291076282
2012-03,175.63896482283909
2012-04,175.21632692069193
2012-05,173.96380594552195
2012-06,175.19679044733985
2012-07,179.73309626527688
2012-08,181.9929392184157
2012-09,183.337663525623
2012-10,179.44327352210635
2012-11,180.5659974338958
2012-12,182.68857877605726
2013-01,188.43640327110893
2013-02,196.89473009731668
2013-03,209.2474215403338
2013-04,203.41890286765906
2013-05,213.30445521489816
2013-06,209.93391046006548
2013-07,219.15210348560322
2013-08,214.12191725170078
2013-09,220.50581943954634
2013-10,226.3653151797346
2013-11,231.9708767727341
