Date,WORLD ex CANADA SMALL CAP
1998-12,692.3548580577772
1999-01,722.2092765913327
1999-02,715.2703746762362
1999-03,749.7120059646841
1999-04,819.9972720157224
1999-05,827.8877298775581
1999-06,890.8665287321708
1999-07,870.8817723300685
1999-08,886.0624558237429
1999-09,887.6086797553914
1999-10,904.4081055992406
1999-11,982.0239339721246
1999-12,1045.0222298526128
2000-01,1061.6562051792682
2000-02,1172.3536153175826
2000-03,1178.0726909697262
2000-04,1131.605381002671
2000-05,1082.1985007625246
2000-06,1133.8806147368123
2000-07,1121.2849708685214
2000-08,1230.1849915396851
2000-09,1191.556991493822
2000-10,1165.1658211811844
2000-11,1058.0997523554304
2000-12,1029.0898118778298
2001-01,1080.3465357113776
2001-02,1028.6678875166501
2001-03,995.1392570409697
2001-04,1065.096769976835
2001-05,1135.5788607462134
2001-06,1129.7366216936905
2001-07,1051.6376976878921
2001-08,997.1916271399807
2001-09,866.8410854944641
2001-10,923.580881564914
2001-11,977.5061467020059
2001-12,1007.4463811671027
2002-01,1023.7675426528066
2002-02,1012.2777322758786
2002-03,1070.7803631922955
2002-04,1054.2460504043406
2002-05,1019.1192577237072
2002-06,910.7939351048324
2002-07,823.6393158059748
2002-08,821.8635058164482
2002-09,748.7340672765735
2002-10,764.6456973197769
2002-11,810.255404981914
2002-12,744.0272534212231
2003-01,710.9816357507619
2003-02,694.8296972081587
2003-03,689.6196976531292
2003-04,737.1968762936644
2003-05,764.718195644332
2003-06,803.7166620061785
2003-07,853.0542789877395
2003-08,916.1178531218168
2003-09,876.5515659379081
2003-10,945.5985425290702
2003-11,937.5255225595787
2003-12,926.5578982700239
2004-01,977.4068284914782
2004-02,1000.0
2004-03,1033.38580606486
2004-04,1018.5976502245699
2004-05,1006.9988368183176
2004-06,1052.1454623200602
2004-07,1010.8610705630631
2004-08,1002.6225847565065
2004-09,1014.0493051423051
2004-10,1014.6021061447399
2004-11,1043.8510459425418
2004-12,1065.595866869537
2005-01,1100.3062736573063
2005-02,1114.437200560055
2005-03,1113.9676592145938
2005-04,1082.3909324630379
2005-05,1169.302846920573
2005-06,1226.2637219689805
2005-07,1281.5647756160065
2005-08,1271.1166851703133
2005-09,1321.309573501602
2005-10,1288.970967890119
2005-11,1361.6326878816615
2005-12,1402.4077144590556
2006-01,1460.089773303277
2006-02,1482.3559384783462
2006-03,1521.3149898494414
2006-04,1495.3564796686828
2006-05,1396.5853283252834
2006-06,1391.6285981617557
2006-07,1362.8249559855374
2006-08,1392.9433306446967
2006-09,1420.0438142550547
2006-10,1470.8442024875608
2006-11,1471.8209968582644
2006-12,1504.9252064999744
2007-01,1561.9582607978707
2007-02,1549.331362874437
2007-03,1573.3234526667623
2007-04,1585.1837462995045
2007-05,1653.049494671778
2007-06,1626.2130239948237
2007-07,1549.2478621632981
2007-08,1535.8180695338858
2007-09,1505.7938499074914
2007-10,1536.7422833157611
2007-11,1416.141281284529
2007-12,1393.533742580488
2008-01,1272.0005132044382
2008-02,1242.0977857806918
2008-03,1182.541842437954
2008-04,1254.2076547864185
2008-05,1300.8330782749986
2008-06,1176.338365945288
2008-07,1171.1086027555004
2008-08,1241.7843761724425
2008-09,1133.6025402767248
2008-10,977.1515273172532
2008-11,893.613075745885
2008-12,865.2169575213303
2009-01,863.7908471954601
2009-02,779.8289137826072
2009-03,808.0809895318713
2009-04,943.6551142864816
2009-05,955.9202507954703
2009-06,978.5661322697795
2009-07,1051.745324422837
2009-08,1103.475305451583
2009-09,1144.1669154955991
2009-10,1086.5229097724539
2009-11,1090.0169588694469
2009-12,1192.05587166276
2010-01,1201.9497774849256
2010-02,1249.9562665977633
2010-03,1357.414025981126
2010-04,1434.356473815154
2010-05,1404.296935935167
2010-06,1341.2087733875883
2010-07,1358.6647405868614
2010-08,1325.3639695382665
2010-09,1376.2911247884858
2010-10,1403.6394048836992
2010-11,1503.0464675547544
2010-12,1595.503545160826
2011-01,1577.3829630502935
2011-02,1626.5832167746648
2011-03,1603.043704852819
2011-04,1592.1707277054036
2011-05,1611.4630438386255
2011-06,1566.1615033830158
2011-07,1538.2618534376575
2011-08,1406.1231304548398
2011-09,1346.8864047411535
2011-10,1446.8008798734068
2011-11,1463.2501693237648
2011-12,1505.8796668433358
2012-01,1605.4733640889865
2012-02,1643.4999256892615
2012-03,1673.081070729606
2012-04,1671.467039979317
2012-05,1632.410951163192
2012-06,1651.555248483483
2012-07,1695.8282254184874
2012-08,1710.3899297064552
2012-09,1732.8463014536308
2012-10,1711.7441667504079
2012-11,1725.5375979197986
2012-12,1757.4616862199068
2013-01,1810.4030272003654
2013-02,1901.2901015449145
2013-03,2003.4292100887635
2013-04,1978.8424156760768
2013-05,2037.2408669485242
2013-06,1991.4567798681785
2013-07,2073.7780363238803
2013-08,2047.3175364160525
2013-09,2135.0785856668704
2013-10,2192.1693649229774
2013-11,2232.879112644873
2013-12,2258.2549359435784
2014-01,2266.1045522942854
2014-02,2327.268353266758
2014-03,2320.1943349670973
2014-04,2261.9174110979206
2014-05,2325.20027531323
2014-06,2402.8297471785995
2014-07,2360.0627201901043
2014-08,2470.6665962012153
2014-09,2438.483323654787
2014-10,2510.7058119678154
2014-11,2538.3348064102865
2014-12,2633.5122702775197
2015-01,2782.6486760338726
2015-02,2972.6943641286675
2015-03,3116.3519842262076
2015-04,3004.2647379556493
2015-05,3121.227247512757
2015-06,3046.3857173990036
2015-07,3070.302134071189
2015-08,2866.712249679011
2015-09,2756.698233499484
2015-10,2945.8954754049137
2015-11,3120.1503247834876
2015-12,2961.783305465088
2016-01,2739.1717868090823
2016-02,2739.586102313883
2016-03,2828.7565114571667
2016-04,2869.925639664478
2016-05,2994.0390774718257
2016-06,2935.9001904260585
2016-07,3079.15488673142
2016-08,3100.377159349387
2016-09,3118.8887959681924
2016-10,3080.401543625365
2016-11,3321.04901739378
2016-12,3420.4296640422317
2017-01,3412.3966167002245
2017-02,3548.9842396792365
2017-03,3551.3713428987708
2017-04,3566.303770622009
2017-05,3477.4198526010478
2017-06,3478.53704587212
2017-07,3441.1550677621385
2017-08,3408.916771674811
2017-09,3566.793696727902
2017-10,3676.406566960439
2017-11,3674.091703623854
2017-12,3697.4726349556577
2018-01,3695.4167434054452
2018-02,3628.918098591523
2018-03,3601.6932240199085
2018-04,3696.384116726599
2018-05,3929.0291958308394
2018-06,3913.7493691573814
2018-07,3955.209221659107
2018-08,4067.4744806423605
2018-09,4015.1361440553956
2018-10,3705.9667242003247
2018-11,3738.662233082023
2018-12,3355.7377047943764
2019-01,3683.854447302024
2019-02,3852.585118997176
2019-03,3884.7439014992024
2019-04,4018.6241199061114
2019-05,3774.4907639260737
2019-06,3905.3926767273247
2019-07,4014.7800714610926
2019-08,3916.3940125398994
2019-09,4040.7977662048634
2019-10,4062.5706326785607
2019-11,4244.266081869189
2019-12,4306.9663237639425
2020-01,4241.552978416184
2020-02,3885.847804345036
2020-03,3094.637276467411
2020-04,3501.1302839406108
2020-05,3692.9620162113724
2020-06,3746.4351753827455
2020-07,3690.895688698172
2020-08,3857.6613103807226
2020-09,3854.1904236095274
2020-10,3879.9790383080403
2020-11,4361.032008875748
2020-12,4579.344937338606
2021-01,4708.968566088549
2021-02,4947.334652948965
2021-03,5217.291535705541
2021-04,5288.6498930197995
2021-05,5243.608205685714
2021-06,5419.196884288818
2021-07,5382.3590408353
2021-08,5541.811862031142
2021-09,5465.3577646255235
2021-10,5664.676796576075
2021-11,5542.97701468498
2021-12,5690.905880178972
2022-01,5324.896095603729
2022-02,5320.517819132845
2022-03,5411.169132447176
2022-04,5261.345859416643
2022-05,5170.497432014888
2022-06,4776.891811089815
2022-07,5344.690282790014
2022-08,5243.464317747177
2022-09,4830.636347254039
2022-10,5176.165618602604
2022-11,5272.5356887555345
2022-12,4912.428560336669
2023-01,5274.720996349643
2023-02,5298.327453143637
2023-03,5029.817603630855
2023-04,4945.60791170918
2023-05,4981.406577196072
2023-06,5177.70686072179
2023-07,5373.96140426278
