Date,FM LATIN AMERICA & CARIBBEAN SMALL CAP
2010-11,1000.0
2010-12,979.102445454211
2011-01,941.8363859182017
2011-02,888.928389606834
2011-03,899.477180354529
2011-04,827.5733969566991
2011-05,856.0161181345595
2011-06,789.9280341727728
2011-07,745.462121142438
2011-08,692.0931767548634
2011-09,568.7172693444008
2011-10,587.0091299532158
2011-11,591.7090830125104
2011-12,635.3622567318301
2012-01,700.3256556665273
2012-02,690.7398520001859
2012-03,669.9260628902687
2012-04,518.6693095025828
2012-05,415.2333643495747
2012-06,412.9997439884311
2012-07,453.15554420182076
2012-08,445.1515255142707
2012-09,491.4407571741851
2012-10,443.89848274561166
2012-11,481.5465484348666
2012-12,539.8791269816
2013-01,550.3751626213581
2013-02,468.7139657434409
2013-03,513.6107332993636
2013-04,494.7095938072684
2013-05,485.06580858430607
2013-06,451.1734520783676
2013-07,458.21159785200035
2013-08,544.5659959653517
2013-09,694.4257935246363
2013-10,734.7819449252336
2013-11,951.9036031116701
2013-12,834.506762882983
2014-01,699.0127648653552
2014-02,769.0155395837751
2014-03,797.0100267109591
2014-04,1012.0839388197854
2014-05,1161.4726148113064
2014-06,1273.8465088990251
2014-07,1351.5381523530043
2014-08,1149.176240508098
2014-09,1271.2512096272244
2014-10,1329.2104566852374
2014-11,1438.7483458593213
2014-12,1301.4959935586485
2015-01,1422.4109655046545
2015-02,1721.641266310269
2015-03,2247.9414946365387
2015-04,1986.7213296905222
2015-05,1938.047016380665
2015-06,1839.821811513514
2015-07,1815.1444245868456
2015-08,1771.6700227343451
2015-09,1694.6760805268707
2015-10,2496.8034261282387
2015-11,2348.2106390187646
2015-12,2208.1276726740593
2016-01,2215.1940771009527
2016-02,2268.1018374289633
2016-03,2148.9667354881176
2016-04,2093.749938080875
2016-05,2339.5707369588304
2016-06,2648.470083619201
2016-07,2768.022163943005
2016-08,2627.4247409102454
2016-09,3006.0402568303857
2016-10,3326.509097178261
2016-11,3468.8988562061418
2016-12,3490.3772933307337
2017-01,3880.6365672440315
2017-02,4239.641606094173
2017-03,4776.670277184425
2017-04,4805.236562
2017-05,4726.085778
2017-06,4460.21427
2017-07,4371.37139
2017-08,4635.322442
2017-09,5190.933949
2017-10,5710.678963
2017-11,5660.887835
2017-12,5861.485081
2018-01,5948.576339
2018-02,5847.522978
2018-03,5461.426684
2018-04,5375.734997590673
2018-05,4615.640064643388
2018-06,4305.931886073355
2018-07,4555.22608909372
2018-08,4237.945831344662
2018-09,4028.3352615373346
2018-10,4187.394500258074
2018-11,4315.603620309555
2018-12,4247.312275907493
2019-01,4833.264568494946
2019-02,4386.102842490111
2019-03,3802.588066963714
2019-04,3456.9786220009564
