Date,EFM EUROPE + CIS (E+C) ex RU SMALL CAP
2010-11,1000.0
2010-12,1044.1061758331853
2011-01,1019.0840359386657
2011-02,1001.7021120538749
2011-03,1044.6811234824147
2011-04,1087.4657599975162
2011-05,1011.136206781965
2011-06,975.5103212887216
2011-07,914.6943462582576
2011-08,764.6399131649523
2011-09,714.8456119377537
2011-10,748.8801908383687
2011-11,694.9321418176605
2011-12,670.8274598059438
2012-01,768.2345950565252
2012-02,811.5746421376937
2012-03,825.4783119601525
2012-04,836.5855906693661
2012-05,759.9887397318506
2012-06,808.9905027888052
2012-07,847.7357647431043
2012-08,833.1091847655896
2012-09,853.958713434267
2012-10,863.4857829282493
2012-11,883.5532911356162
2012-12,934.8880364452275
2013-01,939.2523045372471
2013-02,948.79570281453
2013-03,973.477046371211
2013-04,968.246390093139
2013-05,978.0164165456898
2013-06,879.182939171376
2013-07,885.489169351341
2013-08,820.4945830339706
2013-09,881.3635326677278
2013-10,938.9124976901127
2013-11,964.2446910412899
2013-12,869.8593048961343
2014-01,848.7297641740957
2014-02,897.3593617843022
2014-03,901.4518082435333
2014-04,925.1950314523037
2014-05,937.7185662213907
2014-06,942.8818233805728
2014-07,939.7626760638244
2014-08,935.818660502851
2014-09,913.0609878522182
2014-10,916.3768018155965
2014-11,942.4862782549237
2014-12,896.3032825437111
2015-01,950.7431157539238
2015-02,982.9163983815022
2015-03,957.436626839018
2015-04,972.4012529138862
2015-05,973.3767576063377
2015-06,926.174795454714
2015-07,931.2566452166056
2015-08,848.6565409985648
2015-09,854.1224050999158
2015-10,890.3912711661505
2015-11,878.9302230406443
2015-12,850.5561777596915
2016-01,806.0103310923889
2016-02,825.9424382394935
2016-03,881.688640355717
2016-04,895.098548819929
2016-05,866.8539483893155
2016-06,835.6372825606104
2016-07,858.6198239062038
2016-08,903.1805007551255
2016-09,909.2667651637457
2016-10,940.087322583243
2016-11,905.903902692922
2016-12,938.1408899948678
2017-01,969.3218008720241
2017-02,1026.2843873187303
2017-03,1036.3077696236792
2017-04,1071.1655045328066
2017-05,1099.366658291274
2017-06,1139.558413163205
2017-07,1168.8140136373884
2017-08,1179.9292083496432
2017-09,1149.8268004864467
2017-10,1152.9063084897143
2017-11,1092.0430350867825
2017-12,1159.1464601703103
2018-01,1201.65253502096
2018-02,1156.2603620258126
2018-03,1122.3992661681864
2018-04,1104.437104163844
2018-05,1045.1244310889226
2018-06,1003.4995935452861
2018-07,1002.8729101620003
2018-08,915.3450798984985
2018-09,923.0424371300276
2018-10,882.1628744717341
2018-11,929.4440597266284
2018-12,891.338717326323
2019-01,958.8070484097498
2019-02,1012.8832948139797
2019-03,970.7606269416599
2019-04,993.3983472988656
2019-05,1013.5726426284572
2019-06,1075.651660025023
2019-07,1107.9441113734524
2019-08,1069.1785905052714
2019-09,1091.4539502899747
2019-10,1074.5247589366038
2019-11,1124.4744228942786
2019-12,1155.5280642434188
2020-01,1174.5469459573635
2020-02,999.9352699973545
2020-03,819.6119624399963
2020-04,919.6565254124807
2020-05,973.5425035893347
2020-06,1032.288823708392
2020-07,996.5796956502003
2020-08,986.1889126293314
2020-09,978.4163782423973
2020-10,887.5365220352426
2020-11,1104.8444669342211
2020-12,1248.110575292467
2021-01,1274.1244492778583
2021-02,1315.94651254894
2021-03,1301.459188876759
2021-04,1366.7866789288905
2021-05,1387.693920434728
2021-06,1358.5958927663162
2021-07,1383.4053607602232
2021-08,1461.8454826519526
2021-09,1405.9455346905163
2021-10,1478.6757493664975
2021-11,1363.6848550816987
2021-12,1388.4748030160347
2022-01,1440.0713185857196
2022-02,1326.6732668225116
2022-03,1437.0521296088764
2022-04,1502.8768730757477
2022-05,1463.2660371335157
2022-06,1392.8778473944317
2022-07,1435.3089188908828
2022-08,1485.8432941889794
2022-09,1399.8699601589374
2022-10,1566.4491870873262
2022-11,1771.8446900645065
2022-12,1849.4988809111428
2023-01,1822.9688310570439
2023-02,1898.6066399873887
2023-03,1756.568724312291
2023-04,1777.4595050619316
2023-05,1816.9045835684542
2023-06,1806.4760900536908
2023-07,2059.6155201515317
