Date,EM FAR EAST SMALL CAP
1998-12,577.1227986820302
1999-01,585.28561007263
1999-02,566.3270185870219
1999-03,636.557510926708
1999-04,833.5809348344853
1999-05,828.121990151838
1999-06,943.8159196556171
1999-07,862.6669281022744
1999-08,831.5637060999604
1999-09,733.1093593638612
1999-10,769.9855736828497
1999-11,809.1657703745602
1999-12,820.5161205421545
2000-01,870.4654901674766
2000-02,840.30974333757
2000-03,854.3101959458144
2000-04,792.4880049513228
2000-05,708.0629018582522
2000-06,653.4581783340788
2000-07,647.1445806327303
2000-08,651.0003215088642
2000-09,571.007407543655
2000-10,521.5271526934744
2000-11,480.18747710465726
2000-12,412.9803100672623
2001-01,495.51176399889215
2001-02,505.95370401370224
2001-03,500.1718258145222
2001-04,490.0203967535542
2001-05,526.8274639867444
2001-06,518.0054805806876
2001-07,467.6307481801931
2001-08,461.5844318364116
2001-09,398.39113491116836
2001-10,414.53032841196114
2001-11,464.4928873077054
2001-12,508.34086596386544
2002-01,572.0016862993622
2002-02,575.8489044453441
2002-03,635.8552920628001
2002-04,616.1497537760407
2002-05,574.0740185928626
2002-06,505.5329200503525
2002-07,504.4166357115487
2002-08,499.3379983538347
2002-09,426.5541137025897
2002-10,442.0922009701194
2002-11,456.74545692033644
2002-12,411.8640580177458
2003-01,429.2320133010518
2003-02,403.74071563359036
2003-03,374.7063808664597
2003-04,374.77075906076885
2003-05,397.1356977901918
2003-06,432.60340227231427
2003-07,472.2785718859661
2003-08,505.8038146975586
2003-09,468.35620703878385
2003-10,502.6482646310428
2003-11,488.6731133519067
2003-12,486.89360975597907
2004-01,519.2234012236379
2004-02,546.8235770018043
2004-03,539.4990914484246
2004-04,522.0960761089016
2004-05,480.29503914606175
2004-06,464.50791497388406
2004-07,442.2611079842173
2004-08,457.0311513064665
2004-09,466.9851587591132
2004-10,459.18512945392473
2004-11,477.2767571021903
2004-12,485.3452128597777
2005-01,512.6592499053942
2005-02,546.8413635172885
2005-03,532.0710704240844
2005-04,512.9363446455059
2005-05,547.8922349070692
2005-06,585.6906496368335
2005-07,604.8713137311804
2005-08,575.9100512306541
2005-09,617.0362646509717
2005-10,586.6572464967031
2005-11,656.9760124558952
2005-12,700.4927231188915
2006-01,709.6276357959803
2006-02,719.5938155843886
2006-03,724.9695355190657
2006-04,758.4063699372741
2006-05,706.4062351204232
2006-06,671.8318933040372
