Date,EUROPE ex EMU SMALL CAP
2000-12,1000.0
2001-01,1068.728830471016
2001-02,1034.3140169150138
2001-03,976.7814158577887
2001-04,1045.9917996394906
2001-05,1108.637490047186
2001-06,1060.2800665839738
2001-07,1001.8224137152287
2001-08,983.2443613115847
2001-09,803.5717805908251
2001-10,855.1549172981902
2001-11,936.1724658567612
2001-12,970.598514347385
2002-01,967.9524404292462
2002-02,965.6262307936564
2002-03,1031.1513335450013
2002-04,1027.598790251477
2002-05,994.0614723872211
2002-06,895.6889934679252
2002-07,799.206269968897
2002-08,783.8023183825609
2002-09,711.5266938098293
2002-10,726.3642544432129
2002-11,748.6202678813794
2002-12,685.9921974401437
2003-01,622.7916685241762
2003-02,601.685104640657
2003-03,598.1694322427498
2003-04,663.6536167518351
2003-05,708.9280492107067
2003-06,743.4348694013934
2003-07,800.8570627444005
2003-08,865.2833411164903
2003-09,846.9308613905469
2003-10,921.1710127701886
2003-11,914.566110836578
2003-12,921.8059002409467
2004-01,1004.9506488866074
2004-02,1060.2971204246087
2004-03,1056.4730034274396
2004-04,1053.5965576463122
2004-05,1044.9313770663914
2004-06,1082.4792699820193
2004-07,1043.9491131987195
2004-08,1029.1569864470152
2004-09,1056.1959843240008
2004-10,1066.751158876406
2004-11,1126.223450143701
2004-12,1157.0239095288487
2005-01,1222.1435229270394
2005-02,1252.3122047171187
2005-03,1261.4852782390958
2005-04,1222.9245361805756
2005-05,1281.934425913474
2005-06,1335.8070480138613
2005-07,1396.7550554963004
2005-08,1443.058342198039
2005-09,1494.1325757722166
2005-10,1433.377661786415
2005-11,1511.1147608265774
2005-12,1604.3583001359768
2006-01,1702.498289616203
2006-02,1773.6165362357935
2006-03,1841.0898659545546
2006-04,1898.6268186911445
2006-05,1801.066868008872
2006-06,1778.6913869394866
2006-07,1766.659313449098
2006-08,1817.5999965217702
2006-09,1878.1654219747124
2006-10,1965.6963420183718
2006-11,2022.9866960088914
2006-12,2130.288536267973
2007-01,2182.033870627764
2007-02,2141.692120575999
2007-03,2216.8302551066627
2007-04,2283.094774882528
2007-05,2331.0224144594804
2007-06,2275.5760522690707
2007-07,2220.7923869912543
2007-08,2138.271781685095
2007-09,2004.044091845615
2007-10,2135.523187494633
2007-11,1900.6179818014932
2007-12,1841.6375017996713
2008-01,1639.8225040842347
2008-02,1685.443491191304
2008-03,1612.8033711233293
2008-04,1665.1436901662814
2008-05,1690.1554838431528
2008-06,1541.736706688562
2008-07,1482.5744431993462
2008-08,1527.224040203796
2008-09,1287.948742397971
2008-10,1029.268193684774
2008-11,928.3105650789216
2008-12,854.8787166045596
2009-01,901.0613109756806
2009-02,857.2276036528066
2009-03,872.8442270979249
2009-04,1072.734194867218
2009-05,1126.2312378222573
2009-06,1130.2363557587444
2009-07,1230.8050063119292
2009-08,1327.0080307926796
2009-09,1359.664001028826
2009-10,1354.0276789131199
2009-11,1334.922602909619
2009-12,1429.8783336493427
2010-01,1476.6931715638862
2010-02,1460.7200880081025
2010-03,1605.6062980992647
2010-04,1673.8833739041286
2010-05,1569.3889071823878
2010-06,1571.4617753714926
2010-07,1650.5883857452532
2010-08,1640.9797259680809
2010-09,1728.6460545553664
2010-10,1771.0704449932816
2010-11,1815.3700654209294
2010-12,1983.7047216107005
2011-01,1960.3417102266878
2011-02,1984.6323424688437
2011-03,1931.9291773622217
2011-04,1996.133477627631
2011-05,2023.97407309901
2011-06,1923.418615196914
2011-07,1914.9510523505157
2011-08,1711.747666630386
2011-09,1606.5000679846728
2011-10,1731.76818658631
2011-11,1704.6323388016704
2011-12,1719.3946703284705
2012-01,1874.427550091013
2012-02,1995.3452020606435
2012-03,2000.1205196924043
