Date,EFM ASIA SMALL CAP
2010-11,1000.0
2010-12,1018.883118634168
2011-01,973.8811052746239
2011-02,912.0836431606613
2011-03,931.6633918164091
2011-04,925.6774136682485
2011-05,929.2063177048772
2011-06,902.3150666861375
2011-07,940.3376527495424
2011-08,828.796439358542
2011-09,752.5092765582477
2011-10,788.4837091696177
2011-11,744.0811593610298
2011-12,763.1899373605613
2012-01,829.2230744527043
2012-02,884.8682151177692
2012-03,853.0844909459519
2012-04,839.6075047338278
2012-05,830.8464893775018
2012-06,824.2005265020515
2012-07,841.0043705505232
2012-08,838.9031777928585
2012-09,877.657316452491
2012-10,856.4617220942484
2012-11,875.7558634799861
2012-12,896.4807870162576
2013-01,897.3689342857393
2013-02,946.6768069646723
2013-03,968.8078815229928
2013-04,968.6975234871637
2013-05,1003.9939366644529
2013-06,910.410343915728
2013-07,897.390609551796
2013-08,876.8661928516447
2013-09,902.8571305335616
2013-10,931.820537945689
2013-11,921.3834072024649
2013-12,911.6029768489759
2014-01,923.7191366348536
2014-02,937.9822723880708
2014-03,955.2061253910193
2014-04,948.9783147285956
2014-05,995.7709212266716
2014-06,1013.084538212238
2014-07,1050.660139859251
2014-08,1089.4518059748018
2014-09,1102.7618641370177
2014-10,1086.7543914816843
2014-11,1073.785487316949
2014-12,1091.1871509237378
2015-01,1197.8217291582714
2015-02,1231.1313791607042
2015-03,1306.0109296653386
2015-04,1371.445994967829
2015-05,1423.7849360708744
2015-06,1332.2855897111745
2015-07,1231.7055938928802
2015-08,1096.1660302487178
2015-09,1110.625790491584
2015-10,1189.5611303430628
2015-11,1222.9370533623287
2015-12,1198.3337144604031
2016-01,1106.9062125215069
2016-02,1083.8649675007587
2016-03,1123.0395663284041
2016-04,1124.5830812314307
2016-05,1131.170211741826
2016-06,1154.0671290653672
2016-07,1187.4420206421662
2016-08,1221.1400845400128
2016-09,1223.72066045
2016-10,1220.1213860583214
2016-11,1215.0052629718712
2016-12,1210.5496619008136
2017-01,1233.0185021271136
2017-02,1322.0787261459377
2017-03,1356.3090305362941
2017-04,1345.814243512461
2017-05,1317.6768601045444
2017-06,1309.9122791528616
2017-07,1303.8524472760844
2017-08,1310.4137040314326
2017-09,1320.9841117254357
2017-10,1407.1335596585977
2017-11,1411.4592120793893
2017-12,1439.0242590375683
2018-01,1461.6842330196669
2018-02,1421.5958185745294
2018-03,1395.9774134625368
2018-04,1426.1265741333657
2018-05,1475.960797377213
2018-06,1376.1436988587118
2018-07,1375.7250370165293
2018-08,1379.651435918216
2018-09,1320.0080538337936
2018-10,1183.6615747559458
2018-11,1259.917551447201
2018-12,1227.2246376065327
2019-01,1264.8826034814956
2019-02,1301.6936637368701
2019-03,1348.925151936557
2019-04,1346.0149653298797
2019-05,1277.630074254231
2019-06,1286.1376951977118
2019-07,1275.8927022578232
2019-08,1235.1140151403492
2019-09,1271.7299092247342
2019-10,1289.744140509787
2019-11,1293.4349549213694
2019-12,1325.7757751046302
2020-01,1283.7501908799934
2020-02,1234.4429352440945
2020-03,1001.7630298740445
2020-04,1152.8198837634488
2020-05,1159.3168138287833
2020-06,1249.0370708771268
2020-07,1298.935094818905
2020-08,1357.0633442608719
2020-09,1364.5393083580211
2020-10,1379.881667875875
2020-11,1508.5974995665092
2020-12,1581.560354972949
2021-01,1600.6131540527585
2021-02,1720.2128004514248
2021-03,1796.627849381719
2021-04,1859.013359933112
2021-05,1857.421017703411
2021-06,1971.1001704910368
2021-07,1952.182764349208
2021-08,1983.287801017673
2021-09,2002.150685129401
2021-10,2028.7478172166132
2021-11,2047.8244979858732
2021-12,2106.089806790117
2022-01,1993.3009007525782
2022-02,1950.0411368368698
2022-03,1992.2045525015878
2022-04,1997.2873009918512
2022-05,1922.0778195051623
2022-06,1779.7073977976247
2022-07,1866.5796444746393
2022-08,1936.8787384458751
2022-09,1767.425612475023
2022-10,1709.3016474026883
2022-11,1832.5597218424502
2022-12,1745.7327989638045
2023-01,1823.1443821940047
2023-02,1816.4174970100225
2023-03,1794.0214495957741
2023-04,1768.2402372876888
2023-05,1853.3422978656115
2023-06,1879.6419034151309
2023-07,1980.9620520539174
