Date,WORLD ex ISRAEL SMALL CAP
2010-05,1027.5912048755329
2010-06,981.3383506307857
2010-07,994.3649282018728
2010-08,972.17193751113
2010-09,1009.1819746723675
2010-10,1030.2934735602073
2010-11,1105.9104273876878
2010-12,1173.7065760621574
2011-01,1159.165224069177
2011-02,1197.3549636476662
2011-03,1178.9482401395558
2011-04,1170.5239514072757
2011-05,1183.390778160561
2011-06,1147.9512873522283
2011-07,1131.1820442916394
2011-08,1036.2567699321207
2011-09,987.0778775649059
2011-10,1061.7628654889788
2011-11,1073.9139709703798
2011-12,1104.4460916672497
2012-01,1177.9536368432557
2012-02,1205.4767838245918
2012-03,1222.1771568229099
2012-04,1220.6850338374293
2012-05,1190.1631752340863
2012-06,1201.7908386036747
2012-07,1236.4013091162979
2012-08,1247.6443868424785
2012-09,1264.8281002337617
2012-10,1248.0344162127535
2012-11,1255.2669595163504
2012-12,1277.3390234032688
2013-01,1313.227603455709
2013-02,1374.499384486701
2013-03,1447.5031476795905
2013-04,1427.005251104895
2013-05,1466.5194781360972
2013-06,1430.6035792478647
2013-07,1490.4053521045291
2013-08,1472.0491808683441
2013-09,1532.9717133531879
2013-10,1573.5048862803287
2013-11,1599.5767493264868
2013-12,1617.7986193310337
2014-01,1622.459730087111
2014-02,1667.4348138030855
2014-03,1663.3014120860178
2014-04,1625.7344388326399
2014-05,1670.4662687744672
2014-06,1730.2970949704443
2014-07,1699.015038269879
2014-08,1779.325839286404
2014-09,1750.9349759451661
2014-10,1795.9711940229652
2014-11,1813.078345230615
2014-12,1878.539623448184
2015-01,1977.9692857705804
2015-02,2112.586502832169
2015-03,2210.3583203658186
2015-04,2137.9088278545223
2015-05,2216.954779951489
2015-06,2161.3755368883503
2015-07,2169.695302217591
2015-08,2026.095037980143
2015-09,1946.9502522069442
2015-10,2080.3376545990036
2015-11,2200.257449564116
2015-12,2085.2426225392487
2016-01,1930.5014331887203
2016-02,1935.7486940546714
2016-03,2001.0798433632142
2016-04,2037.6488714222717
2016-05,2121.6811827428965
2016-06,2085.8472913563883
2016-07,2186.1685357987844
2016-08,2197.807945095256
2016-09,2210.947043191986
2016-10,2182.905517123451
2016-11,2350.1884015245746
2016-12,2420.268677421044
2017-01,2415.9671176081742
2017-02,2508.7847715975745
2017-03,2510.4930720220545
2017-04,2515.177722492534
2017-05,2450.684373968663
2017-06,2454.222405246618
2017-07,2428.486832468154
2017-08,2406.7012059382832
2017-09,2515.909370262947
2017-10,2589.9445180117764
2017-11,2585.57526180369
2017-12,2606.355506076882
2018-01,2601.121168251769
2018-02,2550.267539330908
2018-03,2530.7816103711634
2018-04,2600.2059036620935
2018-05,2762.902558241857
2018-06,2753.6673683500703
2018-07,2781.1028769432096
2018-08,2856.4441398470217
2018-09,2819.879460600487
2018-10,2603.7349577232258
2018-11,2621.8478006355845
2018-12,2355.787511066072
2019-01,2588.8822525703063
2019-02,2706.342265033408
2019-03,2727.3116181947003
2019-04,2817.1236995295303
2019-05,2646.5707838386747
2019-06,2740.620292710329
2019-07,2818.5823932981666
2019-08,2752.0033867007855
2019-09,2836.4488848207575
2019-10,2848.7171556046565
2019-11,2975.341781767583
2019-12,3024.269062961891
2020-01,2977.6040812619717
2020-02,2727.0657623577176
2020-03,2162.9120148609177
2020-04,2457.8992565854664
2020-05,2592.781880216712
2020-06,2635.862241227006
2020-07,2600.889158236535
2020-08,2717.728323982565
2020-09,2712.3616704985598
2020-10,2729.3907346627298
2020-11,3066.594783084426
2020-12,3219.031833109915
2021-01,3309.516598992969
2021-02,3478.9977258922245
2021-03,3669.021833954742
2021-04,3720.2432997677424
2021-05,3692.991231347776
2021-06,3814.5459317805007
2021-07,3788.8276175535334
2021-08,3898.3949074105562
2021-09,3845.3421763265424
2021-10,3988.682635669926
2021-11,3898.9535301837245
2021-12,4001.263802373453
2022-01,3749.913899802938
2022-02,3750.9687047983602
2022-03,3821.1503165223207
2022-04,3714.3024285750025
2022-05,3653.7930738164346
2022-06,3369.97951748962
2022-07,3769.962900379901
2022-08,3694.0512396440895
2022-09,3405.244859528386
2022-10,3648.9401766326373
2022-11,3720.4407528854204
2022-12,3468.076956490843
2023-01,3725.743006730074
2023-02,3741.3097464063735
2023-03,3557.333226654276
2023-04,3497.4811956083954
2023-05,3519.9702676242223
2023-06,3656.5744304397795
2023-07,3794.74650397303
