Date,FM ex GCC SMALL CAP
2010-11,1000.0
2010-12,974.4943634853995
2011-01,932.0757544692099
2011-02,807.6765717955143
2011-03,794.353338185154
2011-04,758.9103447447865
2011-05,757.17900151753
2011-06,755.0741887915783
2011-07,750.741077376365
2011-08,708.5297088854344
2011-09,694.3374655789568
2011-10,637.224011916554
2011-11,640.8902602490276
2011-12,641.8838089394234
2012-01,587.6014347806808
2012-02,624.6186664479063
2012-03,638.786018533723
2012-04,664.3658108879033
2012-05,661.5191553478114
2012-06,624.4359898728949
2012-07,626.8293693300412
2012-08,625.4045328761587
2012-09,649.6706039070295
2012-10,640.5382825161574
2012-11,627.5256657259984
2012-12,646.742555361605
2013-01,686.9054396745494
2013-02,697.5799510678343
2013-03,709.9748055100904
2013-04,668.6676856564644
2013-05,747.0450415499616
2013-06,732.727446015525
2013-07,717.2068521285536
2013-08,699.385867683771
2013-09,689.9827673058275
2013-10,715.7792141869996
2013-11,762.9851344754808
2013-12,779.9053214716953
2014-01,818.7441653680534
2014-02,801.8311019541602
2014-03,788.9690693778992
2014-04,804.7679335429102
2014-05,832.1428668660046
2014-06,858.2726516659745
2014-07,887.1156893113258
2014-08,900.1608974055487
2014-09,963.4612618741317
2014-10,948.4415848556657
2014-11,918.8687462510562
2014-12,909.1832803477098
2015-01,951.8313630437357
2015-02,963.7705410765263
2015-03,986.8528419836916
2015-04,957.2323727034872
2015-05,996.9198304610435
2015-06,978.686108822384
2015-07,989.638898429144
2015-08,942.8444242557667
2015-09,925.4611622945096
2015-10,951.0297310359371
2015-11,957.0293170996948
2015-12,934.8040693371978
2016-01,913.3501607757737
2016-02,901.8722594596688
2016-03,876.9661610906037
2016-04,883.2316162808454
2016-05,942.8532326306378
2016-06,947.8034638759679
2016-07,958.8920637259608
2016-08,956.2385599214534
2016-09,989.1828449913075
2016-10,1011.672448774388
2016-11,1056.133240151553
2016-12,1093.1213376737642
2017-01,1147.0534751407672
2017-02,1185.7728622867614
2017-03,1213.3635110137843
2017-04,1189.4564649267445
2017-05,1180.9522198879665
2017-06,1200.6604708401915
2017-07,1185.8163986583997
2017-08,1186.4195765395116
2017-09,1197.245679478693
2017-10,1221.0002393928955
2017-11,1229.433911071639
2017-12,1235.6126666883267
2018-01,1238.3950062797699
2018-02,1217.9618685212276
2018-03,1196.050609199304
2018-04,1194.1739802953086
2018-05,1141.632415280249
2018-06,1128.419921579529
2018-07,1115.6608799595365
2018-08,1122.9942038066226
2018-09,1083.550053700673
2018-10,1062.4957386418928
2018-11,1055.9016668204497
2018-12,1044.2796923144558
2019-01,1080.01643230883
2019-02,1076.6296456581524
2019-03,1039.7416200554133
2019-04,1014.6334789911608
2019-05,1018.0618661514364
2019-06,1018.6561619744855
2019-07,1033.0987849494122
2019-08,1023.8472219515909
2019-09,1027.395177015454
2019-10,1001.6722178108948
2019-11,1026.3643973662695
2019-12,1014.9797911875179
2020-01,1033.4358089709233
2020-02,984.9382708806875
2020-03,798.0913609241314
2020-04,850.0829157526772
2020-05,877.5392540722066
2020-06,871.6347766805893
2020-07,839.087221786279
2020-08,897.9936422241809
2020-09,926.6510364528242
2020-10,926.3283626951561
2020-11,966.2418114215195
2020-12,1033.2762492230706
2021-01,1079.4084908687041
2021-02,1087.7269499260822
2021-03,1137.7645307796995
2021-04,1153.509826990802
2021-05,1216.6375249879798
2021-06,1290.9919124410403
2021-07,1293.1834288185994
2021-08,1383.6973085829063
2021-09,1435.0723233303552
2021-10,1510.9402125309628
2021-11,1581.86564659852
2021-12,1600.8209762282984
2022-01,1583.0303649316838
2022-02,1598.9012777950168
2022-03,1626.312302803001
2022-04,1626.485416675738
2022-05,1513.412260037394
2022-06,1438.5869111457632
2022-07,1460.3086458402945
2022-08,1521.3169837987011
2022-09,1414.8511663952017
2022-10,1336.711417189503
2022-11,1309.2563678881183
2022-12,1270.1331888525926
2023-01,1291.7158917109068
2023-02,1290.2072666883892
2023-03,1282.554280651801
2023-04,1297.9803706314374
2023-05,1347.5441623343788
2023-06,1343.1643662308636
2023-07,1426.0775072628317
