Date,AC ASIA SMALL CAP
1998-12,448.32511590317745
1999-01,462.05945257463634
1999-02,471.669186182445
1999-03,541.2003214078155
1999-04,623.6220135329846
1999-05,612.1421777678997
1999-06,711.13593514864
1999-07,714.7886832797799
1999-08,749.7923641955208
1999-09,752.1966139214122
1999-10,757.649481788835
1999-11,794.4689211116042
1999-12,773.6844125437532
2000-01,793.1000498968066
2000-02,788.5505053469534
2000-03,837.3410069149119
2000-04,788.5188746450622
2000-05,761.4396911004603
2000-06,787.3370449584
2000-07,737.37797063345
2000-08,807.9108869792452
2000-09,753.1476986456862
2000-10,708.0210020019133
2000-11,683.6555608990266
2000-12,593.0111596002724
2001-01,622.1193998555466
2001-02,635.8951291558745
2001-03,629.0170972194186
2001-04,668.9013690341214
2001-05,719.9069242843219
2001-06,702.2370551179071
2001-07,632.9183912847719
2001-08,615.1020442689245
2001-09,555.9562527594516
2001-10,578.8305462243479
2001-11,583.6902309095399
2001-12,565.0325633818278
2002-01,584.4296704685396
2002-02,601.1885055014423
2002-03,633.6607153986232
2002-04,636.3084779595031
2002-05,642.108346870356
2002-06,580.7773071143577
2002-07,567.4885998336387
2002-08,556.497362175027
2002-09,516.8412645215286
2002-10,492.7043615179712
2002-11,499.1018808459061
2002-12,463.35475740794226
2003-01,454.2242386036219
2003-02,460.6031789003795
2003-03,445.4302111026921
2003-04,448.303869545036
2003-05,453.28479278697074
2003-06,498.1759211067397
2003-07,525.3402957131452
2003-08,584.8830582953553
2003-09,585.0168384237854
2003-10,626.2797905074167
2003-11,578.6754495313442
2003-12,584.1422956885991
2004-01,617.2699109459317
2004-02,625.122480757037
2004-03,710.7808505466039
2004-04,705.3642995306653
2004-05,657.9119015335954
2004-06,701.074598805923
2004-07,662.2846713746935
2004-08,666.3853014133991
2004-09,646.8534131089698
2004-10,640.5112953491799
2004-11,648.0266050162203
2004-12,664.342858565373
2005-01,709.3557532728785
2005-02,723.0253310666957
2005-03,727.9868931020993
2005-04,722.4170188202615
2005-05,749.4852102199376
2005-06,781.429531462601
2005-07,800.5497953022676
2005-08,802.6227776482637
2005-09,862.1550687433139
2005-10,863.527877447004
2005-11,919.095846170321
2005-12,1009.4580676070599
2006-01,1024.0925978176267
2006-02,1006.7234341641326
2006-03,1032.0359118298984
2006-04,1021.2812394285404
2006-05,935.3373303395116
2006-06,904.011707094001
2006-07,873.9876742453458
2006-08,892.3608459281261
2006-09,906.0114018272236
2006-10,908.2156831487443
2006-11,903.7344207764863
2006-12,922.5410135722101
2007-01,946.7924489290251
2007-02,963.7190200564895
2007-03,966.0343126423198
2007-04,957.7398819019437
2007-05,1000.0
2007-06,1020.4574381814585
2007-07,1049.7699407840066
2007-08,1000.5371851524634
2007-09,994.7545811939556
2007-10,1014.8844595132546
2007-11,940.5253126353406
2007-12,924.5607071062884
2008-01,824.9033295316315
2008-02,833.7940276547677
2008-03,773.2688700515314
2008-04,811.1217355122452
2008-05,814.7351100661709
2008-06,728.4004793279083
2008-07,711.5097497928564
2008-08,707.1946236006371
2008-09,633.8556142219207
2008-10,568.4133490873351
2008-11,571.3571134096405
2008-12,577.2051390462065
2009-01,592.3389653089013
2009-02,540.2677656241328
2009-03,557.3009055252011
2009-04,625.4360444662962
2009-05,698.2510493086972
2009-06,719.8190312597543
2009-07,764.1186906945546
2009-08,769.8270095859704
2009-09,782.3167960182418
2009-10,762.626238152747
2009-11,751.6018457651764
2009-12,806.7940294648598
2010-01,819.5623694949428
2010-02,844.2752743943039
2010-03,909.8386701739597
2010-04,951.4223238774905
2010-05,941.1048074045768
2010-06,955.046416709092
2010-07,933.386172223765
2010-08,947.4705008865221
2010-09,958.067463370339
2010-10,956.8974237525282
2010-11,1016.843090019349
2010-12,1057.6417843046906
