Date,FM GCC COUNTRIES SMALL CAP
2014-06,967.3274352265869
2014-07,1011.8129568244163
2014-08,1055.710767395711
2014-09,1114.9368173159703
2014-10,1067.9880927314612
2014-11,1037.588315120584
2014-12,1009.8548996996636
2015-01,1086.5432966938058
2015-02,1094.2911454698549
2015-03,1095.5407237427603
2015-04,1064.299202878007
2015-05,1072.7439590941926
2015-06,1043.2354604457676
2015-07,1063.3281372895526
2015-08,968.1328175719185
2015-09,971.3357697227711
2015-10,1004.5350179271687
2015-11,1052.6959353094892
2015-12,1001.8046220340823
2016-01,936.3729695547678
2016-02,970.389371510371
2016-03,980.7776413314076
2016-04,1024.9898168722152
2016-05,1023.2066660300138
2016-06,1022.2586535117534
2016-07,1014.3838986275617
2016-08,1013.808244461358
2016-09,1010.8702592632625
2016-10,1048.6991840248136
2016-11,1141.341581998409
2016-12,1229.512332656809
2017-01,1351.509730021976
2017-02,1384.8944794839078
2017-03,1335.4530092445546
2017-04,1288.6738871746766
2017-05,1225.6442178182544
2017-06,1190.0267429596565
2017-07,1188.8985779892355
2017-08,1159.7022614441903
2017-09,1159.671189117669
2017-10,1150.3505026476319
2017-11,1095.211359018581
2017-12,1116.9481071234586
2018-01,1089.1544879317216
2018-02,1098.6521192571686
2018-03,1078.0060621226507
2018-04,1089.538698098851
2018-05,1107.4068718298904
2018-06,1127.735033862506
2018-07,1133.6278771518064
2018-08,1125.087434045935
2018-09,1101.6461579035847
2018-10,1089.0606193822925
2018-11,1108.1816034600488
2018-12,1090.8776063934654
2019-01,1074.521828059165
2019-02,1066.866058754606
2019-03,1130.989332193475
2019-04,1176.5012132670329
2019-05,1198.4844987022677
2019-06,1163.5038026056598
2019-07,1218.5616627147656
2019-08,1194.8840447658108
2019-09,1187.4712767999579
2019-10,1171.9480529337613
2019-11,1212.5149192250387
2019-12,1192.994303536553
2020-01,1217.839273987851
2020-02,1197.1628414613722
2020-03,898.9928349756382
2020-04,969.9881976413346
2020-05,947.8301623348669
2020-06,973.0044684217504
2020-07,905.248358336979
2020-08,898.487323489569
2020-09,941.8052698020219
2020-10,960.5977697805668
2020-11,960.5202124155483
2020-12,943.8837796356423
2021-01,941.9851486584017
2021-02,930.0995886046123
2021-03,984.0305063158443
2021-04,982.2755497568282
2021-05,991.6982562835785
2021-06,1086.741898528769
2021-07,1077.8100315684023
2021-08,1089.4014865359475
2021-09,1101.81511061842
2021-10,1170.5669722088746
2021-11,1248.9515228499672
2021-12,1337.6979733108712
2022-01,1344.5678395664593
2022-02,1312.938251192033
2022-03,1394.9583593483687
2022-04,1496.193480419863
2022-05,1415.5085706628183
2022-06,1404.509600545943
2022-07,1578.0161057311218
2022-08,1640.3760854192456
2022-09,1621.6656847158276
2022-10,1559.6159176623248
2022-11,1573.8746030917691
2022-12,1539.2400416413666
2023-01,1509.9276943992681
2023-02,1548.1114612271692
2023-03,1546.0565630352999
2023-04,1615.5949511952172
2023-05,1753.0896941914348
2023-06,1778.277965577068
2023-07,1888.1938297783856
