Date,EMERGING MARKETS+CHINA A ONSH SMALL CAP
2013-09,3150.508964936952
2013-10,3170.4003841185786
2013-11,3220.464306581318
2013-12,3136.714779422937
2014-01,3173.6068995716923
2014-02,3214.546952393538
2014-03,3203.2421023973343
2014-04,3156.869344431832
2014-05,3295.016938045438
2014-06,3380.6984827614924
2014-07,3601.5551431813487
2014-08,3805.887351918726
2014-09,4112.530122796301
2014-10,4154.875236278951
2014-11,4224.419606420601
2014-12,4177.813474485655
2015-01,4638.74126701629
2015-02,4862.750747077315
2015-03,5633.667264715889
2015-04,6115.28706146622
2015-05,7115.853219835949
2015-06,6470.625995936939
2015-07,5597.047701249041
2015-08,4832.794273722413
2015-09,4702.207069965247
2015-10,5387.376832263997
2015-11,5827.09120042354
2015-12,5845.0919185260955
2016-01,4738.041067114918
2016-02,4690.27079140868
2016-03,5094.386965474172
2016-04,5096.394741358955
2016-05,5030.708083903171
2016-06,5219.903847057065
2016-07,5281.620922917668
2016-08,5472.959511952512
2016-09,5465.546647485271
2016-10,5628.190459204212
2017-04,5619.325095
2017-05,5297.665002
2017-06,5336.114002
2017-07,5298.106284
2017-08,5414.689643
2017-09,5457.249504
2017-10,5604.601152
2017-11,5338.652628
2017-12,5389.196918
2018-01,5352.358557
2018-02,5186.044915
2018-03,5155.783813
2018-04,5101.759856797906
2018-05,5150.832677062461
