Date,EM GCC COUNTRIES SMALL CAP
2014-06,811.5292920981155
2014-07,973.9812154235184
2014-08,1019.0542117651534
2014-09,1053.5076510225563
2014-10,984.1560655180011
2014-11,991.8313855724808
2014-12,941.0162757269567
2015-01,1012.3323838458823
2015-02,1045.0271254735235
2015-03,995.4119892549902
2015-04,1104.1736901964487
2015-05,1063.6503160558225
2015-06,1086.01033061855
2015-07,1115.183279451543
2015-08,984.8734020625891
2015-09,987.5850594604864
2015-10,976.2666158328153
2015-11,906.0578154586052
2015-12,898.4865442511323
2016-01,786.3916027054717
2016-02,903.7031552158846
2016-03,915.9549769806085
2016-04,911.0630966687507
2016-05,921.408182974502
2016-06,937.9689521277104
2016-07,969.3581614115592
2016-08,959.7717097583131
2016-09,940.1847398656637
2016-10,932.8614727522423
2016-11,948.682293308106
2016-12,1010.0729148871417
2017-01,1019.5744269513757
2017-02,995.1582297775775
2017-03,955.5795769791969
2017-04,927.1083207045817
2017-05,850.5957172524396
2017-06,824.3116825047
2017-07,838.4144686595924
2017-08,784.0776628767778
2017-09,788.4503310250016
2017-10,779.006458224177
2017-11,721.700516574242
2017-12,776.6778494849787
2018-01,775.6220988281783
2018-02,785.5413813957696
2018-03,768.0973756497185
2018-04,785.9320331360938
2018-05,798.6286931054008
2018-06,777.2618805226132
2018-07,797.3339946115968
2018-08,793.9093673442076
2018-09,781.9439794640413
2018-10,811.3996980230846
2018-11,794.1755643740063
2018-12,764.2364704916398
2019-01,802.9007472775802
2019-02,775.5692570636081
2019-03,807.9094895921509
2019-04,826.6018303218606
2019-05,795.9728709157334
2019-06,802.2343346288039
2019-07,856.8028268395472
2019-08,828.9167204503465
2019-09,868.2300900848717
2019-10,823.8843106253199
2019-11,836.5911419534608
2019-12,874.0831856305551
2020-01,908.4189062587322
2020-02,841.8070920945626
2020-03,702.082211565902
2020-04,801.0403222676714
2020-05,755.778816100813
2020-06,806.6328313790694
2020-07,822.4530040837958
2020-08,862.5065552582325
2020-09,922.8402827774895
2020-10,881.822833353743
2020-11,929.0128839989341
2020-12,939.6738056927655
2021-01,975.4263986130791
2021-02,964.8726784284996
2021-03,1054.9261407483289
2021-04,1098.1772707552545
2021-05,1114.192031864038
2021-06,1184.1945374625727
2021-07,1192.132698326062
2021-08,1208.5356982404942
2021-09,1218.114431509966
2021-10,1222.1154920967315
2021-11,1201.5790231143674
2021-12,1228.098782728117
2022-01,1307.3777216416963
2022-02,1309.4770085503587
2022-03,1368.7889872853475
2022-04,1481.66459435414
2022-05,1375.5689016046047
2022-06,1305.6681919793189
2022-07,1391.8436494509317
2022-08,1457.832066619649
2022-09,1406.6772246924786
2022-10,1405.2527367924654
2022-11,1312.2799211899385
2022-12,1226.8647519468818
2023-01,1238.9365988175077
2023-02,1273.7066441539828
2023-03,1276.2153490628498
2023-04,1319.4186089659274
2023-05,1411.4300861054694
2023-06,1445.527543802495
2023-07,1476.3432942561394
