Date,EM ASIA SMALL CAP
1998-12,476.3409307522057
1999-01,490.3181235447167
1999-02,478.4525580076211
1999-03,543.586431516059
1999-04,657.752680507357
1999-05,669.6507911503003
1999-06,751.6173756388663
1999-07,710.0770663007877
1999-08,723.5103072442141
1999-09,658.8273942899444
1999-10,673.2521022553085
1999-11,719.9682961152214
1999-12,747.890371914996
2000-01,804.1234704613987
2000-02,785.346292636752
2000-03,781.7069390602571
2000-04,723.8134223201777
2000-05,651.6877977066338
2000-06,607.9026769765267
2000-07,600.2871115684782
2000-08,607.4121896352507
2000-09,535.1603495103393
2000-10,494.21326972855223
2000-11,464.69473940499284
2000-12,405.7929604969811
2001-01,476.02188269408896
2001-02,483.5883279697932
2001-03,465.8500194437088
2001-04,456.87515074869924
2001-05,492.8899713592139
2001-06,478.70839950604676
2001-07,432.42332854987416
2001-08,425.37735380087696
2001-09,367.71224973636004
2001-10,384.58276550124486
2001-11,432.0234755517278
2001-12,467.360882038068
2002-01,522.98354984007
2002-02,530.2291327707813
2002-03,581.8143931558444
2002-04,567.7232213618231
2002-05,529.3161264323435
2002-06,468.4811083141081
2002-07,466.1182797952913
2002-08,461.6133802056265
2002-09,396.0374839215842
2002-10,409.48187179933325
2002-11,423.43884946480085
2002-12,384.01231064911565
2003-01,398.27248065522394
2003-02,376.125576167979
2003-03,349.4527798103355
2003-04,349.7571105376138
2003-05,370.58873955216126
2003-06,404.8250311121832
2003-07,442.6080461262235
2003-08,475.77476611206333
2003-09,442.564937790111
2003-10,475.9451770358561
2003-11,464.47900256173057
2003-12,468.6817224613768
2004-01,495.4065394131251
2004-02,518.8873202011875
2004-03,514.1971888746419
2004-04,501.9201842509092
2004-05,457.8342525821081
2004-06,444.3053383460159
2004-07,428.3638051709326
2004-08,442.79453241604665
2004-09,453.2033232218228
2004-10,445.6464527780613
2004-11,465.250935475485
2004-12,478.95549648140536
2005-01,504.4648799150536
2005-02,537.5279105089571
2005-03,524.5297801526808
2005-04,507.5581640885111
2005-05,544.2843321616451
2005-06,580.3100665521532
2005-07,603.8411798618273
2005-08,581.7453189041813
2005-09,624.9137551638058
2005-10,590.2761611967317
2005-11,659.8823159985751
2005-12,705.0269160856813
2006-01,717.6344691637416
2006-02,729.8643433265222
2006-03,741.5089785367306
2006-04,770.720867548623
2006-05,707.8692066750042
2006-06,668.9025614808016
2006-07,664.06139473591
2006-08,681.5256096013826
2006-09,723.488482351225
2006-10,744.8052151644415
2006-11,789.1711050727807
2006-12,817.2455789493994
2007-01,815.9533485903754
2007-02,828.4786173807452
2007-03,854.4104940077852
2007-04,889.6733963044747
2007-05,1000.0
2007-06,1054.872172558281
2007-07,1164.3048099585128
2007-08,1102.6363468044383
2007-09,1135.8252650959923
2007-10,1186.0032017520125
2007-11,1056.2318466455392
2007-12,1081.8142183816653
2008-01,911.3514498682022
2008-02,957.6228430955633
2008-03,858.1077840822393
2008-04,915.9419385865618
2008-05,883.156534053782
2008-06,753.8210793230148
2008-07,741.7640086899739
2008-08,726.5201623531926
2008-09,605.7352308828405
2008-10,472.0190519426931
2008-11,444.51326790468414
2008-12,470.2279656321429
2009-01,478.47688442359043
2009-02,467.59783861887416
2009-03,523.0020422242069
2009-04,639.9295341382895
