Date,EUROPE SMALL CAP
2000-12,100.0
2001-01,106.37570240862503
2001-02,103.40691162689119
2001-03,97.73353829240737
2001-04,103.28074801034063
2001-05,107.76403140870721
2001-06,102.83309254152809
2001-07,97.90266202996636
2001-08,95.06182054028673
2001-09,78.8950816648486
2001-10,84.91457280544351
2001-11,92.39135425233036
2001-12,94.50712216052791
2002-01,96.07543238386162
2002-02,95.9425917763345
2002-03,101.54598907242782
2002-04,101.31787989091451
2002-05,98.4809177280245
2002-06,89.94307556267192
2002-07,80.86617928135564
2002-08,79.57117704546927
2002-09,70.36360733555404
2002-10,73.11523568268048
2002-11,75.97109360733916
2002-12,70.20903328276927
2003-01,66.47778129641135
2003-02,63.57809734857264
2003-03,62.67026333636063
2003-04,70.056668034129
2003-05,73.89655265257625
2003-06,77.26388000227158
2003-07,82.37020818975897
2003-08,87.41566989896836
2003-09,86.22592030859352
2003-10,93.52453619471805
2003-11,94.15880483667826
2003-12,94.27649154672814
2004-01,101.61277693871517
2004-02,106.161158444295
2004-03,104.74571805145605
2004-04,104.98249799029776
2004-05,103.25336499829976
2004-06,107.2931686266561
2004-07,103.87863115459399
2004-08,102.65828972319134
2004-09,105.30125575960034
2004-10,107.02804924879774
2004-11,112.8203426659362
2004-12,116.11044078261857
2005-01,122.88223154585816
2005-02,127.27741415826145
2005-03,127.21537498605358
2005-04,123.64794053263334
2005-05,130.15027176621842
2005-06,136.3207409724562
2005-07,143.60241723920277
2005-08,146.67296568265473
2005-09,153.3479651232598
2005-10,145.35733516471572
2005-11,151.1238925280781
2005-12,159.12397749690524
2006-01,170.41449540985636
2006-02,177.8318216891636
2006-03,184.26609979321918
2006-04,188.67934134897288
2006-05,177.02490302291386
2006-06,174.62506297869777
2006-07,173.2408303087716
2006-08,177.50388469973515
2006-09,182.40276765700605
2006-10,190.95405931850277
2006-11,196.4085260414176
2006-12,206.7304703864514
2007-01,214.10304522975204
2007-02,211.45227570362073
2007-03,220.1937226869493
2007-04,227.0268554446124
2007-05,233.47855202945405
2007-06,229.02050315441466
2007-07,224.42366866293722
2007-08,215.74101545615264
2007-09,206.03876543793018
2007-10,217.60671360986774
2007-11,196.28759724599172
2007-12,191.19540744057494
2008-01,168.41207393451037
2008-02,172.7930768536157
2008-03,167.22575955271154
2008-04,173.1824982246942
