Date,ZHONG HUA SMALL CAP
2007-05,1000.0
2007-06,1024.9710962616361
2007-07,1106.411081615386
2007-08,1066.8362813729711
2007-09,1124.7352433518859
2007-10,1186.2021406357323
2007-11,1048.2885741285604
2007-12,1049.036973141727
2008-01,858.3118142875388
2008-02,868.949049938152
2008-03,726.4415138946789
2008-04,791.0073744129322
2008-05,788.7843359673916
2008-06,682.6040059546182
2008-07,655.9496513652936
2008-08,616.3279607087251
2008-09,515.0111527018051
2008-10,385.9691792654102
2008-11,395.1240452933632
2008-12,440.1159661540759
2009-01,460.4439027514734
2009-02,463.06297410786095
2009-03,486.6205846557121
2009-04,584.9236095520795
2009-05,724.411129541255
2009-06,755.600863182447
2009-07,863.655162562156
2009-08,789.7081518048494
2009-09,813.9246325883669
2009-10,874.6343043506228
2009-11,920.0500394364595
2009-12,1005.1207550640968
2010-01,992.6007304478605
2010-02,1053.63831241988
2010-03,1149.0095007910406
2010-04,1170.7476616924214
2010-05,1121.452581256757
2010-06,1125.605838295935
2010-07,1128.8125810820247
2010-08,1153.787347519362
2010-09,1216.6457650397579
2010-10,1246.3998304449096
2010-11,1361.0354855822384
2010-12,1338.3950058833404
2011-01,1293.6469991625193
2011-02,1227.9705188118744
2011-03,1228.7188583425796
2011-04,1213.914130551389
2011-05,1216.8284975861702
2011-06,1143.9111651278874
2011-07,1140.8221912828135
2011-08,1002.6384536413892
2011-09,857.0538113858782
2011-10,942.3218602091652
2011-11,903.1360934597294
2011-12,912.0719178539705
2012-01,959.3743859572476
2012-02,1061.7032365210155
2012-03,995.34019113279
2012-04,1009.5112874807106
2012-05,990.1059355873266
2012-06,948.1354146910304
2012-07,952.3816417857053
2012-08,947.3497596236531
2012-09,977.4051396115892
2012-10,1014.867862927795
2012-11,1053.6091556290282
2012-12,1106.8415220708341
2013-01,1159.7556924278356
2013-02,1215.4864277817626
2013-03,1215.8323056469358
2013-04,1204.5321657977709
2013-05,1281.2524434915063
2013-06,1163.5001818408207
2013-07,1154.5843147791252
2013-08,1200.265991053849
2013-09,1213.4151231687329
2013-10,1248.9394744544802
2013-11,1287.3896940382092
2013-12,1285.2221398364738
2014-01,1294.6620852616657
2014-02,1287.6941667561298
2014-03,1256.6150796241957
2014-04,1215.4322861014061
2014-05,1254.7671527821792
2014-06,1265.8639854362384
2014-07,1340.2111893527274
2014-08,1373.8283742952005
2014-09,1390.004070095781
2014-10,1417.6925711921879
2014-11,1425.6580856584255
2014-12,1398.173139299281
2015-01,1495.4956442832454
2015-02,1513.4107113211012
2015-03,1654.5451525238093
2015-04,1955.981731494992
2015-05,2120.6317138642517
2015-06,1857.7236362240053
2015-07,1602.7033676527928
2015-08,1361.1267003211372
2015-09,1379.9275579973805
2015-10,1518.0099621171412
2015-11,1561.5823398538405
2015-12,1536.2210549157699
2016-01,1308.8561316412595
2016-02,1310.923395991725
2016-03,1337.109014769457
2016-04,1352.466284498829
2016-05,1356.7936088781814
2016-06,1338.135273613685
2016-07,1344.4794531388184
2016-08,1437.8356244828967
2016-09,1452.0981036372839
2016-10,1470.062461258425
2016-11,1532.1935901591876
2016-12,1479.3118176521655
2017-01,1495.13447139713
2017-02,1567.985606724421
2017-03,1582.970074141225
2017-04,1554.0574388078878
2017-05,1498.7970230494602
2017-06,1483.9665354581978
2017-07,1487.3026108093186
2017-08,1499.0807639504662
2017-09,1580.5854049001828
2017-10,1636.4131626038431
2017-11,1563.9394198247119
2017-12,1587.0373812242462
2018-01,1637.5202837364814
2018-02,1594.8264879311744
2018-03,1569.7985474795096
2018-04,1623.0599354893097
2018-05,1730.1818638411387
2018-06,1593.4750527220215
2018-07,1556.4975604986037
2018-08,1483.3006619418807
2018-09,1454.4622784083983
2018-10,1338.3537471942059
2018-11,1377.810908909975
2018-12,1316.1326598231606
2019-01,1392.503635002105
2019-02,1475.949456690977
2019-03,1520.614130185491
2019-04,1525.1359004077428
2019-05,1397.1960097555582
2019-06,1405.6639741045515
2019-07,1407.1497990105192
2019-08,1324.3969862282167
2019-09,1353.996015961268
2019-10,1354.7077387726308
2019-11,1357.1519541820157
2019-12,1406.012328146273
2020-01,1344.377086336381
2020-02,1368.3622847197719
2020-03,1206.9675423404356
2020-04,1277.441255815777
2020-05,1218.124668526601
2020-06,1340.7167407255424
2020-07,1376.2581883649282
2020-08,1424.7114913253192
2020-09,1414.669335460297
2020-10,1432.8399573440142
2020-11,1546.8587264170703
2020-12,1565.1309263721284
2021-01,1715.4230098167222
2021-02,1883.2335055016306
2021-03,1874.0687866604196
2021-04,1883.504861036141
2021-05,1871.5800141530647
2021-06,1939.5890902762867
2021-07,1763.1343949850402
2021-08,1813.9590926850094
2021-09,1722.0842803577673
2021-10,1719.8799588108595
2021-11,1696.075358438526
2021-12,1631.3650412663692
2022-01,1576.7600293689386
2022-02,1526.3699268414935
2022-03,1450.7609245907925
2022-04,1456.1559940115183
2022-05,1422.7292540374563
2022-06,1517.4157155336832
2022-07,1434.5116751940507
2022-08,1420.4830426884835
2022-09,1251.7994170462603
2022-10,1109.5309573141003
2022-11,1329.5073146097313
2022-12,1393.451277241452
2023-01,1513.6193658563232
2023-02,1438.1067637288818
2023-03,1348.0455101304913
2023-04,1310.262328345587
2023-05,1200.841886504228
2023-06,1188.2528350466864
2023-07,1259.9697276922818
