Date,FM EMEA SMALL CAP
2010-11,1000.0
2010-12,985.0348251842784
2011-01,980.3818296205493
2011-02,900.195222020951
2011-03,862.9371523705955
2011-04,864.3167066189019
2011-05,869.6117140244603
2011-06,842.1084258773274
2011-07,820.6672284983498
2011-08,759.632896624615
2011-09,774.7981972040832
2011-10,762.6178880025266
2011-11,759.365443100367
2011-12,774.758739543496
2012-01,775.4212082564076
2012-02,818.4255042908029
2012-03,826.0789703907972
2012-04,856.201060687013
2012-05,870.5597282118723
2012-06,819.16012801164
2012-07,846.9008914983342
2012-08,841.1734195893168
2012-09,862.1529116430988
2012-10,864.883796635268
2012-11,852.4650450707503
2012-12,866.0227714237174
2013-01,913.3877331674229
2013-02,945.0955942255235
2013-03,981.5474661415665
2013-04,979.7540198202978
2013-05,1088.761097250219
2013-06,1057.1764488509327
2013-07,1084.6811749482904
2013-08,1043.5983308733048
2013-09,1043.5957028151358
2013-10,1080.8264009794627
2013-11,1104.6754995278193
2013-12,1139.6240923424157
2014-01,1193.810587560076
2014-02,1190.154732913655
2014-03,1191.2780794269424
2014-04,1240.3680975157415
2014-05,1279.10821173345
2014-06,1293.026693674952
2014-07,1335.025924730448
2014-08,1383.1105127598753
2014-09,1438.2929880265324
2014-10,1365.6123255969483
2014-11,1309.8711780485235
2014-12,1258.938317517846
2015-01,1304.4161471605596
2015-02,1298.7988689176616
2015-03,1322.9829205390727
2015-04,1314.0921183879823
2015-05,1324.7598586040835
2015-06,1288.2327526325364
2015-07,1273.2236421036328
2015-08,1189.919932159198
2015-09,1175.3565444854253
2015-10,1173.4844229958926
2015-11,1201.2966204516263
2015-12,1161.4248317825934
2016-01,1110.870949895172
2016-02,1112.9799224631533
2016-03,1118.6776354945366
2016-04,1146.166872084949
2016-05,1183.4589512426724
2016-06,1137.9636853674401
2016-07,1124.300815150538
2016-08,1123.3202947678233
2016-09,1136.3397259673814
2016-10,1161.8866510793018
2016-11,1214.2896413636206
2016-12,1275.3205395063767
2017-01,1345.8813536972516
2017-02,1375.836937697422
2017-03,1341.009526182865
2017-04,1322.7635726134677
2017-05,1308.1118564041112
2017-06,1313.351562195043
2017-07,1312.690037653307
2017-08,1291.3882041466868
2017-09,1276.4100832010918
2017-10,1283.06674041714
2017-11,1258.9083753165187
2017-12,1275.6368778513302
2018-01,1302.1107628543016
2018-02,1299.7880027429703
2018-03,1290.749329838538
2018-04,1294.5900509148921
2018-05,1283.5136461269665
2018-06,1296.8051071490777
2018-07,1284.1242852518997
2018-08,1262.043133253251
2018-09,1216.671311408855
2018-10,1192.4127946216993
2018-11,1184.6221308831039
2018-12,1168.8545170505924
2019-01,1170.9901668063817
2019-02,1170.3913326094166
2019-03,1183.4967476094018
2019-04,1200.5673224588168
2019-05,1202.2955267406187
2019-06,1201.6865186074697
2019-07,1232.5814632412314
2019-08,1214.7537804612064
2019-09,1226.0543848330512
2019-10,1217.8078769361805
2019-11,1256.8842516421553
2019-12,1268.0063042387146
2020-01,1292.8232634167189
2020-02,1230.3977128377212
2020-03,960.5730424914481
2020-04,1018.6122957846346
2020-05,1033.7657802651954
2020-06,1043.9946002551198
2020-07,985.0220718140413
2020-08,990.016757233381
2020-09,1020.6843487934929
2020-10,1040.562872408855
2020-11,1070.096885231748
2020-12,1085.4515800556148
2021-01,1119.7175520160115
2021-02,1107.6229381486085
2021-03,1150.423555398089
2021-04,1174.2237962999102
2021-05,1209.375735362077
2021-06,1267.0641015065632
2021-07,1281.2893757582872
2021-08,1310.696423410937
2021-09,1323.0099694590442
2021-10,1385.7268574300308
2021-11,1392.3325514188527
2021-12,1438.1682844772074
2022-01,1479.176124829656
2022-02,1436.761241059583
2022-03,1495.9962578127681
2022-04,1574.1238472530615
2022-05,1503.447488399445
2022-06,1474.2302292757465
2022-07,1552.7368337903308
2022-08,1545.6603245370995
2022-09,1478.4988099895816
2022-10,1468.335395160169
2022-11,1463.406708594303
2022-12,1437.2448500559656
2023-01,1464.4762181660385
2023-02,1506.7266394694486
2023-03,1491.9389337056055
2023-04,1515.6337387856731
2023-05,1545.2430136992734
2023-06,1534.5550454781126
2023-07,1596.228441694252
