Date,EASEA INDEX (EAFE ex JAPAN) SMALL CAP
2000-12,100.0
2001-01,105.69471071086807
2001-02,103.11462269883181
2001-03,97.02583960034248
2001-04,102.72385039869808
2001-05,107.46533116883236
2001-06,104.24021701772773
2001-07,98.99364841553094
2001-08,96.26283074429928
2001-09,80.95070632332256
2001-10,87.18887463664662
2001-11,94.37313405953608
2001-12,96.48879640279927
2002-01,99.09196657160132
2002-02,99.02181651365018
2002-03,104.39294971488816
2002-04,103.58451087051984
2002-05,101.98187945509243
2002-06,93.16440262303435
2002-07,84.56425004376415
2002-08,83.90414181740225
2002-09,75.10859724061017
2002-10,77.73903868550038
2002-11,80.40606708652828
2002-12,74.91513901902404
2003-01,71.92313703939425
2003-02,69.14614490038062
2003-03,68.15397635747469
2003-04,74.95159429794745
2003-05,78.4826610858263
2003-06,82.58136470926591
2003-07,87.65304812791375
2003-08,93.26818369222543
2003-09,92.58956505021693
2003-10,100.42428764438753
2003-11,100.24215839285388
2003-12,100.60663672886513
2004-01,107.98484351803107
2004-02,112.48022847488355
2004-03,111.60747862012211
2004-04,111.00846477193545
2004-05,109.03284461788063
2004-06,112.49149322980885
2004-07,110.8191975327854
2004-08,110.37988145161563
2004-09,113.50228935611013
2004-10,115.95311116379071
2004-11,121.6319704084507
2004-12,124.90358778880739
2005-01,132.00626792173225
2005-02,136.0598539281896
2005-03,135.77436816123628
2005-04,132.52210727660005
2005-05,139.67661221421048
2005-06,147.20231441405687
2005-07,154.55227902094953
2005-08,156.65380222482952
2005-09,164.6837521740348
2005-10,156.0865785493161
2005-11,162.8008235823786
2005-12,170.1828786760968
2006-01,180.6232094867916
2006-02,187.91337113821814
2006-03,194.3483342767895
2006-04,198.95006200968757
2006-05,186.34467317145518
2006-06,184.03360485154195
2006-07,183.3167810295069
2006-08,188.00173396952704
2006-09,193.17471624907648
2006-10,202.78377502963934
2006-11,208.2863552462784
2006-12,218.809626118678
2007-01,226.82958854429825
2007-02,224.7241398435657
2007-03,234.11843923792517
2007-04,241.96745176458927
2007-05,250.14057114567024
2007-06,247.7833191173009
2007-07,243.18445863038505
2007-08,232.51394770123008
2007-09,226.8898731701739
2007-10,239.27957627531333
2007-11,216.09614515645507
2007-12,211.20182160279725
2008-01,184.91871419388067
2008-02,189.99445858354665
2008-03,181.1937491786467
2008-04,189.375480947229
2008-05,191.9952411569055
2008-06,172.4435187851027
2008-07,165.36864574467654
2008-08,168.8877639623792
2008-09,141.8636551198267
2008-10,111.21972805763433
2008-11,101.19341906546738
2008-12,98.15427128168234
2009-01,98.89649791069543
2009-02,92.9230020148611
2009-03,96.17168232626464
2009-04,116.5482076782187
2009-05,125.59905008618806
2009-06,126.73087237445262
2009-07,137.91761786191557
2009-08,148.72181249197314
2009-09,156.5958015359965
2009-10,153.5498206173068
2009-11,152.92853724105655
2009-12,162.6991680565836
2010-01,164.48779346313106
2010-02,163.2413787420165
2010-03,178.35901461444607
2010-04,183.9342351737095
2010-05,170.52198772898498
2010-06,169.5028767663324
2010-07,177.76192942752513
2010-08,176.42838239469606
2010-09,187.33537084625328
2010-10,193.96824870658205
2010-11,196.09597274033757
2010-12,213.38652121197964
2011-01,210.18370486418863
2011-02,212.15794719738457
2011-03,210.50739554637116
2011-04,215.18859311563125
2011-05,215.69390926902784
2011-06,206.69436678225674
2011-07,202.71165306412897
2011-08,182.66219118368141
2011-09,167.78911088256393
2011-10,180.99102305473957
2011-11,175.40216261582262
2011-12,175.79870393337143
2012-01,191.86313785220187
2012-02,202.77795994555254
2012-03,201.83570420362832
2012-04,202.8736992997538
2012-05,188.6948500191778
2012-06,191.0696870714013
2012-07,199.21710550186825
2012-08,202.4352719723436
2012-09,209.142438052792
2012-10,211.7992126342163
2012-11,213.21595705518166
2012-12,219.80140468367318
2013-01,225.78011554567692
2013-02,235.17088904202342
2013-03,238.64861765271843
2013-04,238.1239883444257
2013-05,242.11305528795776
2013-06,229.38308308561653
