Date,ACFM EUROPE + CIS (E+C) SMALL CAP
2010-11,1000.0
2010-12,1092.0044833634272
2011-01,1087.3721807579
2011-02,1100.0930589529487
2011-03,1089.7091283626073
2011-04,1122.626116741512
2011-05,1121.5525467528669
2011-06,1075.8422181811632
2011-07,1041.5464671109182
2011-08,929.4558362448535
2011-09,863.891466958359
2011-10,921.3987483280415
2011-11,893.0440111909736
2011-12,893.303843521978
2012-01,976.0388665623263
2012-02,1034.2042603874738
2012-03,1035.1638466576594
2012-04,1037.5983128827195
2012-05,962.8377691303481
2012-06,984.8191717083059
2012-07,1020.4738689487596
2012-08,1042.899743277282
2012-09,1076.4942728793142
2012-10,1088.4528071139302
2012-11,1095.029595117922
2012-12,1135.837116657546
2013-01,1168.5812984540942
2013-02,1212.5484052700454
2013-03,1227.7226683555689
2013-04,1234.9764028254665
2013-05,1279.24636299066
2013-06,1220.792475061769
2013-07,1297.8934160995395
2013-08,1309.2937730600759
2013-09,1379.67352494243
2013-10,1443.5097482701433
2013-11,1469.9724102270086
2013-12,1498.4689817897006
2014-01,1508.1845087385948
2014-02,1605.734663940188
2014-03,1587.3011582995653
2014-04,1568.6903201518007
2014-05,1606.6631416458906
2014-06,1590.8445465841949
2014-07,1551.1955191935858
2014-08,1573.8012455922667
2014-09,1547.979222854419
2014-10,1525.6411454158
2014-11,1560.1217284769987
2014-12,1589.013527055648
2015-01,1688.2285328406197
2015-02,1838.8811677637343
2015-03,1872.0222452587607
2015-04,1898.5752590488746
2015-05,1965.2410968643496
2015-06,1905.2512849435902
2015-07,1968.7702598759427
2015-08,1864.118344507683
2015-09,1807.0802048628643
2015-10,1921.4790303719626
2015-11,1998.3304135270607
2015-12,1952.7711548154969
2016-01,1794.0011836039487
2016-02,1785.2462984847514
2016-03,1845.6751466826713
2016-04,1860.5138570787217
2016-05,1935.7358408333478
2016-06,1766.3899816685457
2016-07,1863.2018556880626
2016-08,1893.6021777868493
2016-09,1912.9207932964073
2016-10,1867.0236693850895
2016-11,1887.980671218678
2016-12,1980.1520813715867
2017-01,1999.4869086261374
2017-02,2064.8623401600335
2017-03,2118.933280989218
2017-04,2220.3131706952095
2017-05,2242.832026895484
2017-06,2190.0604264488516
2017-07,2214.088707376306
2017-08,2201.9138506277686
2017-09,2297.864445859354
2017-10,2344.747223873888
2017-11,2299.3142418040325
2017-12,2356.0374200264323
2018-01,2402.6307855872637
2018-02,2333.507755853588
2018-03,2293.062005499941
2018-04,2383.753417751611
2018-05,2420.4932276554036
2018-06,2392.020286833225
2018-07,2423.073182976648
2018-08,2405.8349587037665
2018-09,2361.9316337042524
2018-10,2183.954375533949
2018-11,2112.712588459654
2018-12,1977.9312036725505
2019-01,2155.3977281483662
2019-02,2228.7486918838827
2019-03,2256.2558595707897
2019-04,2359.426076571714
2019-05,2224.5559933674695
2019-06,2291.246227751658
2019-07,2289.8251498342597
2019-08,2249.7914738791765
2019-09,2328.287101372118
2019-10,2384.218726831084
2019-11,2493.524263676606
2019-12,2598.5429305635407
2020-01,2556.661854887336
2020-02,2347.1437929191798
2020-03,1848.1546939340544
2020-04,2058.7001891936684
2020-05,2165.0645087972457
2020-06,2196.9439498300926
2020-07,2219.0202784032913
2020-08,2341.4819406635584
2020-09,2327.0661285964984
2020-10,2222.2718941453504
2020-11,2563.389039445172
2020-12,2719.822893204789
2021-01,2734.2485919955216
2021-02,2841.449071714636
2021-03,2982.2533783232034
2021-04,3093.1859544331064
2021-05,3156.6883897031703
2021-06,3138.9183391247643
2021-07,3251.8304801097283
2021-08,3366.7345711792796
2021-09,3218.251963042404
2021-10,3333.841573409012
2021-11,3221.7649855755117
2021-12,3358.9100352042715
2022-01,3140.988518987434
2022-02,3005.6892662183723
2022-03,3023.827467101787
2022-04,2972.2605200764656
2022-05,2920.928871146438
2022-06,2581.9122547289408
2022-07,2830.774173589752
2022-08,2642.6214100904876
2022-09,2357.585409684965
2022-10,2526.6190916538435
2022-11,2692.0674068001044
2022-12,2630.7027830793127
2023-01,2818.0107296113497
2023-02,2896.97403881515
2023-03,2774.6346504161615
2023-04,2818.6643964944446
2023-05,2751.043039953149
2023-06,2772.6043231620133
2023-07,2875.9585934210872
