Date,KUKJE (ACWI ex KOREA) SMALL CAP
2002-05,1000.0
2002-06,892.8231375098021
2002-07,809.1668119994963
2002-08,807.6914409592213
2002-09,735.7053497104386
2002-10,752.5951864477822
2002-11,796.3083602717174
2002-12,733.1284950971193
2003-01,703.5407579459189
2003-02,687.5251478995034
2003-03,680.6792419672131
2003-04,726.1187764079458
2003-05,753.203276815485
2003-06,793.3675840741988
2003-07,842.631168953591
2003-08,905.3627161332009
2003-09,867.29278380308
2003-10,936.009719148401
2003-11,928.8682958569576
2003-12,919.4936543917765
2004-01,967.9977152430248
2004-02,991.9389321886953
2004-03,1023.9285418133752
2004-04,1006.2141286535419
2004-05,993.4432650122359
2004-06,1035.183744246002
2004-07,997.0678998391379
2004-08,989.4881722770463
2004-09,1003.6332013588286
2004-10,1004.1674197318378
2004-11,1034.31895190662
2004-12,1056.3958475644242
2005-01,1090.3122918963757
2005-02,1107.6842287914387
2005-03,1105.3029507087876
2005-04,1072.4818012800924
2005-05,1157.5590221974135
2005-06,1214.4320950752308
2005-07,1269.3734442950392
2005-08,1260.7200455498441
2005-09,1314.5377600757456
2005-10,1277.3982022906039
2005-11,1351.6402193302183
2005-12,1397.5444693969653
2006-01,1458.6357758849742
2006-02,1481.3520421265673
2006-03,1518.3081049100133
2006-04,1499.6908361013043
2006-05,1397.316583455412
2006-06,1385.8121730379041
2006-07,1361.8311397116524
2006-08,1393.1423632691933
2006-09,1417.8013485032338
2006-10,1472.3085466263879
2006-11,1478.0721036340194
2006-12,1513.8818850797538
2007-01,1570.2475509706117
2007-02,1560.0738374793154
2007-03,1587.3013712194022
2007-04,1605.5698335598784
2007-05,1682.3076040831734
2007-06,1663.0953355823274
2007-07,1599.5463145635556
2007-08,1577.429221377376
2007-09,1558.6425083729625
2007-10,1597.67882027569
2007-11,1465.0839371109096
2007-12,1449.6938898594026
2008-01,1314.165377152364
2008-02,1295.4911165981127
2008-03,1223.585906997269
2008-04,1298.4859161325264
2008-05,1340.720087668021
2008-06,1209.4367768835527
2008-07,1199.7472110506046
2008-08,1264.0215296341196
2008-09,1139.4065622038856
2008-10,969.9749168488378
2008-11,888.9614501032959
2008-12,863.274010606178
2009-01,865.8071253710899
2009-02,788.3592319918473
2009-03,818.5181703798148
2009-04,959.4308571779372
2009-05,991.542571638105
2009-06,1011.4327035409483
2009-07,1093.4606069182412
2009-08,1140.0326851627722
2009-09,1187.8691861801158
2009-10,1137.010982310723
2009-11,1147.9588781354862
2009-12,1258.5981329774518
2010-01,1266.666853667634
2010-02,1316.7292947048857
2010-03,1432.515025407339
2010-04,1511.639138730141
2010-05,1479.123647692861
2010-06,1421.707828325673
2010-07,1440.5505735589504
2010-08,1417.3992533691548
2010-09,1471.7897117691448
2010-10,1503.0313464293326
2010-11,1609.2797836369512
2010-12,1702.3103742287217
2011-01,1671.3730419430265
2011-02,1713.6787197914362
2011-03,1691.5906552761253
2011-04,1680.3475368621264
2011-05,1696.5069814480676
2011-06,1644.058258506187
2011-07,1624.6045696968895
2011-08,1482.5535163786606
2011-09,1406.0619619648678
