Date,ACWI FM ex JAPAN SMALL CAP
2010-11,1000.0
2010-12,1055.504546247198
2011-01,1036.0852095485943
2011-02,1058.4755654993835
2011-03,1053.5213179121868
2011-04,1049.80952987683
2011-05,1059.1135433249208
2011-06,1022.0218823973983
2011-07,1006.454688923679
2011-08,913.7991260324885
2011-09,853.2399855675675
2011-10,930.4211868072991
2011-11,934.3850406266256
2011-12,957.7203151283817
2012-01,1027.759520332396
2012-02,1060.546364183848
2012-03,1068.0694225071081
2012-04,1066.5337198556117
2012-05,1039.2533739441506
2012-06,1047.0733290872504
2012-07,1078.83818875612
2012-08,1091.5135250136414
2012-09,1111.2190383334764
2012-10,1097.376334381452
2012-11,1105.1720976675945
2012-12,1126.9486084728044
2013-01,1156.4053830552712
2013-02,1207.8541412339214
2013-03,1261.4767565132424
2013-04,1238.1628640065946
2013-05,1282.850299717885
2013-06,1238.6946450775172
2013-07,1287.9308012773542
2013-08,1269.1287234333631
2013-09,1315.21604662371
2013-10,1355.4151200550198
2013-11,1376.3924955244124
2013-12,1390.086529616032
2014-01,1391.1471349267592
2014-02,1437.9174802302196
2014-03,1437.3248510485207
2014-04,1408.8635962744597
2014-05,1447.5712956950838
2014-06,1491.2295221615177
2014-07,1465.9860432472976
2014-08,1539.4171351168018
2014-09,1514.6204478860614
2014-10,1553.2457343711635
2014-11,1566.4411107495087
2014-12,1615.2611225505725
2015-01,1698.1461980894098
2015-02,1810.0216275530272
2015-03,1889.6085611204285
2015-04,1842.6483638699929
2015-05,1908.6341572106276
2015-06,1847.5913492795787
2015-07,1838.532687238374
2015-08,1704.093038695234
2015-09,1644.4323125996427
2015-10,1755.2268805792994
2015-11,1847.9996050785178
2015-12,1750.1368547216339
2016-01,1617.7925408258386
2016-02,1623.5294275458255
2016-03,1684.512446020871
2016-04,1709.7255335808154
2016-05,1772.9835437725299
2016-06,1749.6409651694646
2016-07,1831.2784540927285
2016-08,1853.3329947846998
2016-09,1855.6972671028184
2016-10,1826.3673074048663
2016-11,1966.504821955745
2016-12,2020.617639319267
2017-01,2020.0874257695175
2017-02,2103.084287223661
2017-03,2111.8135303171957
2017-04,2114.1024781615765
2017-05,2053.267381150457
2017-06,2055.4845016105824
2017-07,2035.7664749073392
2017-08,2018.0245591210332
2017-09,2104.942419025474
2017-10,2167.246275232935
2017-11,2159.10166159543
2017-12,2181.9316968304142
2018-01,2181.8424380253728
2018-02,2131.33601440142
2018-03,2113.442175756887
2018-04,2170.0309880782506
2018-05,2299.538500136056
2018-06,2282.8670637170126
2018-07,2311.3414105043285
2018-08,2372.315717111079
2018-09,2329.6102982328794
2018-10,2149.2413509092203
2018-11,2169.4025248001344
2018-12,1966.4247586386336
2019-01,2160.719383340436
2019-02,2259.4443360215514
2019-03,2277.711794955884
2019-04,2351.5632200411646
2019-05,2208.595143852669
2019-06,2290.3596377755225
2019-07,2348.568221071495
2019-08,2282.5563603707856
2019-09,2348.1787389593305
2019-10,2353.0315184323845
2019-11,2454.630012892222
2019-12,2506.6270223253896
2020-01,2467.1150362710778
2020-02,2274.9142297427966
2020-03,1759.467947726299
2020-04,2018.1536351259497
2020-05,2115.055395200102
2020-06,2173.7491299736225
2020-07,2174.5772393691273
2020-08,2263.095226663281
2020-09,2242.599862727605
2020-10,2262.840149854174
2020-11,2562.386300755444
2020-12,2699.4510290637436
2021-01,2776.4813640267453
2021-02,2933.937800467865
2021-03,3086.8673922361713
2021-04,3154.2194773540873
2021-05,3143.4991419741173
2021-06,3254.3691877467536
2021-07,3229.191619960278
2021-08,3316.5412515824696
2021-09,3264.3452466100216
2021-10,3397.646842332176
2021-11,3336.931625133343
2021-12,3433.1765300936995
2022-01,3227.083352667669
2022-02,3212.117729973336
2022-03,3293.8053632130154
2022-04,3215.250010253061
2022-05,3149.661549069061
2022-06,2887.020121893469
2022-07,3215.468015383246
2022-08,3174.9003084560813
2022-09,2915.786602654967
2022-10,3113.5874398864567
2022-11,3175.9610594356204
2022-12,2949.5989035564944
2023-01,3170.122658595162
2023-02,3180.061591372917
2023-03,3020.723213028281
2023-04,2970.6225996810736
2023-05,3004.702760732141
2023-06,3125.7018723650494
2023-07,3255.347919964397
