Date,FM (FRONTIER MARKETS) SMALL CAP
2010-11,1000.0
2010-12,978.7775508863367
2011-01,944.3212008603937
2011-02,828.8276832543592
2011-03,812.0932049206931
2011-04,792.8904356613072
2011-05,791.0530693139946
2011-06,781.2561366588848
2011-07,775.5704154020796
2011-08,731.8493029581982
2011-09,742.5522847079442
2011-10,703.1398380201899
2011-11,707.4329264892332
2011-12,713.1824118571326
2012-01,678.0654712497036
2012-02,725.7580161037358
2012-03,738.9140677373317
2012-04,766.383827374656
2012-05,772.0132625399456
2012-06,726.109220603741
2012-07,735.957422898011
2012-08,733.4281223921231
2012-09,755.7264263423665
2012-10,745.2856682781576
2012-11,730.0739449810486
2012-12,747.2977667776956
2013-01,781.2150419779648
2013-02,800.763206251044
2013-03,819.4428642020631
2013-04,802.9699469001113
2013-05,900.4837455697079
2013-06,880.8429104078476
2013-07,883.4454277029923
2013-08,860.3453219632564
2013-09,855.8006825611824
2013-10,884.4049545384668
2013-11,923.060996433183
2013-12,945.0492547385538
2014-01,1004.3138760118829
2014-02,996.5611927969763
2014-03,997.7042356422597
2014-04,1037.4952953721297
2014-05,1066.2975741620469
2014-06,1079.3011932557613
2014-07,1119.400874168194
2014-08,1145.142053633799
2014-09,1220.8973238408112
2014-10,1192.4222665661605
2014-11,1156.0912439318015
2014-12,1139.1316070159653
2015-01,1200.9099396800286
2015-02,1214.2984260715652
2015-03,1236.2264164084334
2015-04,1199.6023324519717
2015-05,1239.0696683078047
2015-06,1213.6374346938994
2015-07,1229.5808912611135
2015-08,1158.8243747836902
2015-09,1143.3967740773576
2015-10,1176.7810391763594
2015-11,1196.012074882566
2015-12,1161.2512444999577
2016-01,1123.3854305018817
2016-02,1121.095007763751
2016-03,1099.2820054784142
2016-04,1116.1929631365824
2016-05,1174.2681208653607
2016-06,1179.0451321936555
2016-07,1188.4251807066626
2016-08,1185.6390708641275
2016-09,1217.9161096368443
2016-10,1248.9801106026387
2016-11,1314.4144422564304
2016-12,1371.722028889225
2017-01,1453.7366548584596
2017-02,1499.9497469063194
2017-03,1515.91999947659
2017-04,1481.3370985638485
2017-05,1458.3197634768403
2017-06,1468.2762868562377
2017-07,1453.6183548572824
2017-08,1446.6809489933935
2017-09,1457.197921657874
2017-10,1477.9600849315425
2017-11,1472.270286473761
2017-12,1483.9512842895688
2018-01,1479.28980365498
2018-02,1462.127432518245
2018-03,1435.596287810546
2018-04,1436.7375179926419
2018-05,1390.5181184525836
2018-06,1381.2985315629344
2018-07,1369.542153174261
2018-08,1375.0730768512685
2018-09,1330.2997801169772
2018-10,1306.3898714797683
2018-11,1303.9458065092833
2018-12,1288.3344901401426
2019-01,1319.0558450062424
2019-02,1313.8518079498806
2019-03,1294.3171247335704
2019-04,1281.3112595701225
2019-05,1290.305653852657
2019-06,1281.6571948979913
2019-07,1310.169921540625
2019-08,1295.0046944089593
2019-09,1296.39567722116
2019-10,1267.7511510325705
2019-11,1302.3325306111767
2019-12,1286.058167178105
2020-01,1310.3909518559856
2020-02,1259.8486501816142
2020-03,999.5721487943445
2020-04,1068.3845294785522
2020-05,1086.9383466080865
2020-06,1090.3647910551583
2020-07,1038.9579845090364
2020-08,1087.972372705457
2020-09,1127.681679225328
2020-10,1133.838118271972
2020-11,1168.540374103604
2020-12,1234.500049723811
2021-01,1281.620162544906
2021-02,1288.0181620111812
2021-03,1349.3211197007813
2021-04,1365.1995638389246
2021-05,1432.3398630740421
2021-06,1524.305388399112
2021-07,1525.4993912876762
2021-08,1623.908511586481
2021-09,1680.5739932666017
2021-10,1770.7795750836672
2021-11,1856.9339570973352
2021-12,1887.4910043789366
2022-01,1868.9643434831833
2022-02,1882.612536167832
2022-03,1921.4959507817393
2022-04,1932.6081570465187
2022-05,1800.7572175457133
2022-06,1717.9839190946725
2022-07,1760.2079919497687
2022-08,1833.3652970753428
2022-09,1716.0490276561331
2022-10,1624.4398353214488
2022-11,1596.4548599734069
2022-12,1549.7457487451063
2023-01,1571.6332980350062
2023-02,1573.0029054403963
2023-03,1564.3017740924463
2023-04,1587.4352886811776
2023-05,1654.4508845991322
2023-06,1651.635792763146
2023-07,1753.603527658558
