Date,JORDAN + EGYPT + MOROCCO SMALL CAP
2007-05,1000.0
2007-06,1037.757421943983
2007-07,1033.9439017655086
2007-08,1103.3532959551785
2007-09,1084.995749673443
2007-10,1157.0180595604616
2007-11,1148.3443076780889
2007-12,1172.9652906220535
2008-01,1218.7168016480082
2008-02,1299.6989040048654
2008-03,1310.4212277615131
2008-04,1465.041367457476
2008-05,1409.0603669760214
2008-06,1300.1458357978331
2008-07,1205.1867713523343
2008-08,1171.0993964716467
2008-09,1089.5992416074373
2008-10,880.668067983277
2008-11,817.7286919952056
2008-12,790.382625625189
2009-01,773.3152962084692
2009-02,756.3323920664577
2009-03,793.1943536561683
2009-04,881.8904984187752
2009-05,867.5435337374444
2009-06,940.2506572382279
2009-07,955.5947805339478
2009-08,986.3548770537878
2009-09,1025.4203195879288
2009-10,968.6772503745958
2009-11,853.591447849819
2009-12,867.9519697557547
2010-01,981.2849604485626
2010-02,988.923139587178
2010-03,1028.5974881898824
2010-04,1103.5147540485405
2010-05,1028.1617105895536
2010-06,1002.8861333348933
2010-07,971.3259548806358
2010-08,986.1556419855848
2010-09,984.7258497446963
2010-10,993.0333249803026
2010-11,1053.238828794254
2010-12,1032.5122182994342
2011-01,902.347623498427
2011-02,880.006436274641
2011-03,836.2158044832083
2011-04,797.2088882575977
2011-05,866.5166212039172
2011-06,839.173395137083
2011-07,824.6840467752851
2011-08,782.8964709395868
2011-09,753.5987622166016
2011-10,770.8097712301569
2011-11,739.141897792535
2011-12,711.8177158775909
2012-01,801.8673943279882
2012-02,881.0126316583384
2012-03,799.542440085916
2012-04,807.6037859910828
2012-05,822.9717816873759
2012-06,827.9787641119874
2012-07,856.828380198182
2012-08,918.0068366929454
2012-09,1003.3485838529872
2012-10,988.1429084714556
2012-11,860.9202212908708
2012-12,922.1552069626533
2013-01,884.9287550261047
2013-02,899.0491426393779
2013-03,891.0267274251906
2013-04,867.0735285898023
2013-05,919.0717333057066
2013-06,809.3111730906013
2013-07,888.029636663336
2013-08,890.2821524364447
2013-09,926.9227416225697
2013-10,1007.0275569398292
2013-11,1010.9505070818778
2013-12,1035.6546951648015
2014-01,1159.9280910189034
2014-02,1235.63696964666
2014-03,1211.6035455436304
2014-04,1230.6137880941428
2014-05,1266.4868521134792
2014-06,1268.8577000135292
2014-07,1340.8782171211524
2014-08,1410.468700793835
2014-09,1463.5465379250952
2014-10,1401.213377126826
2014-11,1424.3391015001764
2014-12,1364.514509024116
2015-01,1476.1803984032958
2015-02,1402.5816248948095
2015-03,1398.7279032411425
2015-04,1288.093579953036
2015-05,1357.4775229960774
2015-06,1240.8344992307045
2015-07,1201.032222638499
2015-08,1089.0654930439846
2015-09,1057.5451973060892
2015-10,1091.0240190982554
2015-11,1043.1950020113175
2015-12,1094.4051615790609
2016-01,1027.0277105277692
2016-02,1006.4222702138409
2016-03,1055.149765249198
2016-04,1047.0203128003513
2016-05,1062.6005315709665
2016-06,1015.8133501437835
2016-07,1099.1992426328786
2016-08,1081.9643279991255
2016-09,1054.4692056634192
2016-10,1112.9066579496346
2016-11,954.2746360548887
2016-12,1040.260525621894
2017-01,1025.6349892272913
2017-02,1101.9620652129513
2017-03,1093.2869763202748
2017-04,1059.6730964510843
2017-05,1054.422204387573
2017-06,1080.4591359748222
2017-07,1049.8535683229775
2017-08,1058.8584104199467
2017-09,1101.5798298312882
2017-10,1170.7084062794831
2017-11,1161.484518747747
2017-12,1170.0086959518137
2018-01,1176.4768231437974
2018-02,1211.2765153070375
2018-03,1280.5813635160903
2018-04,1367.1887829609273
2018-05,1305.009107448759
2018-06,1257.534347933132
2018-07,1207.5080921858053
2018-08,1215.199479897571
2018-09,1107.1731059485257
2018-10,1032.891829350267
2018-11,1064.9522146065722
2018-12,1055.4949313778802
2019-01,1125.21728851093
2019-02,1182.4341697232132
2019-03,1176.45054014466
2019-04,1171.288052590107
2019-05,1139.3998789390403
2019-06,1166.0973792984514
2019-07,1159.829915692844
2019-08,1259.3484138647161
2019-09,1215.32787649923
2019-10,1209.7586110893226
2019-11,1186.8678776467075
2019-12,1166.8905925568677
2020-01,1207.674427203363
2020-02,1156.6697130153127
2020-03,879.191841247832
2020-04,943.3354188531241
2020-05,932.6607128832597
2020-06,987.4948626042548
2020-07,958.5579054959393
2020-08,976.5566363821256
2020-09,965.1673845936442
2020-10,976.7962185284412
2020-11,1012.2138085616062
2020-12,1007.8861368218373
2021-01,1054.6237278029735
2021-02,1047.8479395094546
2021-03,1041.4601227441578
2021-04,1039.204117187931
2021-05,1056.5495615499174
2021-06,1132.064159136806
2021-07,1157.9050952606108
2021-08,1199.2931330678566
2021-09,1224.0975662113497
2021-10,1268.331069266825
2021-11,1295.9962054353555
2021-12,1355.2301226231757
2022-01,1380.63738931639
2022-02,1335.9966150683456
2022-03,1255.9171311754767
2022-04,1374.3736443226585
2022-05,1286.9483596616715
2022-06,1244.9671941812962
2022-07,1291.7631910702473
2022-08,1326.639926969043
2022-09,1308.4128674034791
2022-10,1217.1978417825821
2022-11,1219.374072335017
2022-12,1236.0148211905623
2023-01,1168.6459374205504
2023-02,1193.3594605027624
2023-03,1153.6282551533948
2023-04,1209.869733266676
2023-05,1249.845256968537
2023-06,1262.2957771926376
2023-07,1275.3984552943837
