Date,ACFM AMERICA INDEX SMALL CAP
2010-11,1000.0
2010-12,1047.4472563268869
2011-01,1033.4227385148804
2011-02,1077.3458323230557
2011-03,1069.5632296089163
2011-04,1053.1616120111169
2011-05,1067.8027424249915
2011-06,1032.1115460837486
2011-07,1008.5495118969498
2011-08,923.6626586709832
2011-09,872.5334320155393
2011-10,964.1319227036859
2011-11,992.016424644437
2011-12,1026.0997204119935
2012-01,1091.725475253013
2012-02,1108.932853694725
2012-03,1129.9235084037014
2012-04,1126.7321009736274
2012-05,1117.242887363879
2012-06,1125.2055319959345
2012-07,1154.7405354563534
2012-08,1169.7345152651383
2012-09,1178.8491949376844
2012-10,1154.4855289672214
2012-11,1160.7566707364572
2012-12,1175.836205762387
2013-01,1212.6926535067698
2013-02,1266.7790799535107
2013-03,1344.4679284023357
2013-04,1306.3212797593578
2013-05,1366.2615863308502
2013-06,1341.6051967101273
2013-07,1397.7907264005244
2013-08,1365.5240638991006
2013-09,1406.9251925679732
2013-10,1443.3830464618593
2013-11,1477.04542935279
2013-12,1493.368426153277
2014-01,1492.908103835264
2014-02,1531.029516766987
2014-03,1529.4016134264489
2014-04,1487.8391831707877
2014-05,1526.6017323326805
2014-06,1602.8316387330026
2014-07,1558.39751624297
2014-08,1662.420724644817
2014-09,1632.7394422143
2014-10,1707.4738746172372
2014-11,1723.7043531400313
2014-12,1793.514994853088
2015-01,1866.039163182764
2015-02,1988.8898010327152
2015-03,2093.5347579138306
2015-04,1986.6971627848461
2015-05,2062.544065982006
2015-06,2015.0049434300183
2015-07,2006.109134857583
2015-08,1861.2634120159464
2015-09,1778.5588620650076
2015-10,1898.0659792709678
2015-11,2019.6830196655833
2015-12,1875.6516542585769
2016-01,1738.1297487050806
2016-02,1752.52104231366
2016-03,1817.1881047553502
2016-04,1851.8009662821694
2016-05,1933.913057383438
2016-06,1946.2811812449884
2016-07,2033.3200813023268
2016-08,2053.473130487202
2016-09,2046.8318197306023
2016-10,2014.3465077400253
2016-11,2253.708657149635
2016-12,2313.938124512226
2017-01,2296.670663286835
2017-02,2385.133500039725
2017-03,2369.952342563443
2017-04,2342.4308386143794
2017-05,2238.3719802395362
2017-06,2264.5793259099337
2017-07,2223.666494949494
2017-08,2193.5346245187734
2017-09,2308.6643004144657
2017-10,2370.462659182871
2017-11,2373.4971707043696
2017-12,2375.591613013462
2018-01,2348.5299960411453
2018-02,2296.096687106736
2018-03,2296.084555472772
2018-04,2350.5299439750097
2018-05,2550.3581599787535
2018-06,2566.770756312729
2018-07,2604.5184540389
2018-08,2721.758252156502
2018-09,2677.1945622159915
2018-10,2472.70616335062
2018-11,2510.5985446368886
2018-12,2218.5210486476262
2019-01,2471.688568571058
2019-02,2603.823667813233
2019-03,2609.9202889102744
2019-04,2697.4015965140643
2019-05,2517.4837076992153
2019-06,2632.2193861990613
2019-07,2731.450783655528
2019-08,2647.748451002097
2019-09,2717.5426461606876
2019-10,2700.830642159774
2019-11,2835.737133069964
2019-12,2873.688778009756
2020-01,2832.257475407912
2020-02,2603.68603964639
2020-03,1990.3614598904494
2020-04,2302.132229557803
2020-05,2425.4857317280857
2020-06,2486.085666600952
2020-07,2465.619572849168
2020-08,2545.647462645152
2020-09,2514.169431435634
2020-10,2586.6088910933495
2020-11,2935.4292971111045
2020-12,3092.3337631081135
2021-01,3220.0243091985235
2021-02,3425.036365801997
2021-03,3611.587501796375
2021-04,3661.6118101147244
2021-05,3616.804760230005
2021-06,3780.1957735756346
2021-07,3699.1369468031485
2021-08,3793.067181654069
2021-09,3750.1635784479295
2021-10,3926.4995733058695
2021-11,3857.891384943689
2021-12,3947.819829993413
2022-01,3706.6438512949767
2022-02,3738.086701755275
2022-03,3838.2381237928093
2022-04,3708.524096718883
2022-05,3658.2171880704364
2022-06,3387.48343436014
2022-07,3835.3984760632275
2022-08,3793.6326711128972
2022-09,3523.6387555040606
2022-10,3844.3991811259866
2022-11,3840.587499334999
2022-12,3490.9060178784475
2023-01,3784.260515886704
2023-02,3795.0738786712905
2023-03,3563.9095620793328
2023-04,3462.0844395647346
2023-05,3521.7579153497536
2023-06,3728.2045200644225
2023-07,3879.9556237329675
