Date,AC EUROPE SMALL CAP
1998-12,355.5970141073176
1999-01,364.82439694205806
1999-02,376.2696789876463
1999-03,385.57874549395274
1999-04,406.2194190879323
1999-05,410.6493931301773
1999-06,422.1476904307034
1999-07,424.3888347760652
1999-08,446.91750639353876
1999-09,446.2325676490309
1999-10,452.82827551252143
1999-11,485.392693324137
1999-12,518.8125052738721
2000-01,542.3218606117465
2000-02,581.4201364429671
2000-03,567.6573950041308
2000-04,548.1034117573439
2000-05,533.0015418785298
2000-06,527.3595710251554
2000-07,535.9823057349079
2000-08,557.1354799438592
2000-09,547.0595586776142
2000-10,528.8023623018742
2000-11,485.23659240527167
2000-12,480.2720641654111
2001-01,491.52287560930904
2001-02,468.476502615898
2001-03,440.65740933602615
2001-04,460.0451860364824
2001-05,470.99105718319436
2001-06,443.2849161294359
2001-07,422.111142311387
2001-08,408.5874255013039
2001-09,345.2956428280927
2001-10,367.8346843588043
2001-11,393.8515128903279
2001-12,402.34788536085335
2002-01,410.00820209516814
2002-02,407.26477634642646
2002-03,425.9287082616969
2002-04,425.7142904488142
2002-05,418.7405769570939
2002-06,380.5551880755098
2002-07,343.16217642104255
2002-08,338.8688893940396
2002-09,298.3044303444761
2002-10,311.1867133740322
2002-11,327.4234913158102
2002-12,305.9952987993805
2003-01,290.52442179940846
2003-02,279.29063113556117
2003-03,274.66206334776655
2003-04,304.04234153937773
2003-05,320.19402412268397
2003-06,334.3682441455552
2003-07,354.48622587882835
2003-08,375.0318664851753
2003-09,368.6035716775282
2003-10,396.6430343916629
2003-11,397.90179105181807
2003-12,400.7849662851992
2004-01,427.11820303245264
2004-02,446.9678656051966
2004-03,444.25192603201253
2004-04,445.56910170943866
2004-05,440.9145479994054
2004-06,455.7686427121807
2004-07,444.398707180822
2004-08,440.8981286608431
2004-09,454.06519991382237
2004-10,456.71997967145336
2004-11,476.48122035282137
2004-12,493.6731447424935
2005-01,521.9592667664457
2005-02,539.966469806107
2005-03,534.0905663868995
2005-04,518.1814971353474
2005-05,547.0056111526799
2005-06,569.8783287747009
2005-07,593.5377188030419
2005-08,604.8260334569673
2005-09,632.8652277505352
2005-10,605.6136611136645
2005-11,633.6288020125136
2005-12,663.8891771778997
2006-01,705.1146461673684
2006-02,738.6231612887702
2006-03,763.1413985788312
2006-04,780.124335878551
2006-05,733.0777359224576
2006-06,728.991285862992
2006-07,731.0382700606777
2006-08,753.783298952333
2006-09,777.9934490273465
2006-10,815.8940071413455
2006-11,835.7665517402778
2006-12,884.4756128660108
2007-01,914.3169126040193
2007-02,904.0760858657177
2007-03,946.8899908561583
2007-04,973.9039009121083
2007-05,1000.0
2007-06,981.4833901185974
2007-07,959.4009505623667
2007-08,928.3875458676164
2007-09,904.090479184407
2007-10,941.9373702239361
2007-11,855.9997533871682
2007-12,836.3499651671676
2008-01,736.1213661619632
2008-02,752.8951490344963
2008-03,726.017503357872
2008-04,751.2979366579148
2008-05,761.0261750397231
2008-06,686.9407680248053
2008-07,659.0659030003553
2008-08,678.6052326408636
2008-09,569.0994965958902
2008-10,451.7766336943119
2008-11,412.2894631315382
2008-12,395.5299514887733
2009-01,400.9404513130202
2009-02,376.0703066705566
2009-03,385.9063780553462
2009-04,470.76163038938046
2009-05,500.4296705441751
2009-06,503.2467598137526
2009-07,543.879389265045
2009-08,592.3095618344383
2009-09,621.7472527130815
2009-10,605.2162567043994
2009-11,600.3987275908999
2009-12,636.8656628411254
2010-01,652.2575498583254
2010-02,641.1872365966182
2010-03,702.2651200190364
2010-04,722.643979040601
2010-05,670.8763237210339
2010-06,666.1271586450687
2010-07,701.647990490322
2010-08,691.9158223862166
2010-09,732.7709978407858
2010-10,760.235662809887
2010-11,759.9664739695713
2010-12,829.9752007513006
2011-01,826.316903728068
2011-02,836.0301288266551
2011-03,828.1295628999412
2011-04,853.2726648876624
2011-05,852.4889391091662
2011-06,817.7230232751613
2011-07,791.6318220912541
2011-08,706.4560702701629
2011-09,656.6746189906347
2011-10,700.5223852802536
2011-11,678.9982356310846
2011-12,679.2240128749949
2012-01,742.2047682029803
2012-02,786.4965789957445
2012-03,787.1608716167007
2012-04,789.0029108232029
2012-05,732.2046730397655
2012-06,748.9492073742472
2012-07,776.0766534603773
2012-08,793.1920567619312
2012-09,818.6684858814651
2012-10,827.7532249624664
2012-11,832.7828004891104
2012-12,863.7972431424103
2013-01,888.7100889333385
2013-02,922.1897756765427
2013-03,933.6935064682565
2013-04,939.2253706786743
2013-05,973.0154792712997
2013-06,928.4563588410991
2013-07,987.1439714191929
2013-08,995.916075386703
2013-09,1049.6107897428453
2013-10,1098.2757435777705
2013-11,1118.4308665062472
2013-12,1140.1856683906456
2014-01,1147.4222778212425
2014-02,1221.7740097636652
2014-03,1207.7198865233233
2014-04,1193.4280849609559
2014-05,1222.2374818189367
2014-06,1210.0341675878897
2014-07,1179.7495084932682
2014-08,1196.8877553999248
2014-09,1177.1025520419207
2014-10,1160.1307518519768
2014-11,1186.398919452321
2014-12,1208.493331244895
2015-01,1284.101769744198
2015-02,1398.9535783166868
2015-03,1424.2211595993765
2015-04,1444.3349045912876
2015-05,1495.1693503211288
2015-06,1449.5285224303034
2015-07,1497.8624136644257
2015-08,1418.1736279606962
2015-09,1374.7354786363571
2015-10,1461.881235798029
2015-11,1520.4960072862184
2015-12,1485.7744535672175
2016-01,1364.8435462700265
2016-02,1358.0993098391023
2016-03,1404.063442186181
2016-04,1415.416642182178
2016-05,1472.6272574697848
2016-06,1343.513883387551
2016-07,1417.1489124051304
2016-08,1440.2421483110209
