Date,EAFE ex ISRAEL SMALL CAP
2010-05,1029.806893882287
2010-06,1027.4181792008173
2010-07,1049.6006564164238
2010-08,1044.3720664486525
2010-09,1082.9496274864182
2010-10,1104.3592746018062
2010-11,1137.1489745690917
2010-12,1231.7221851637769
2011-01,1215.6403158678736
2011-02,1234.2833283402063
2011-03,1199.36075220351
2011-04,1208.1344273937632
2011-05,1215.489122299871
2011-06,1185.343870153488
2011-07,1183.347510747096
2011-08,1085.1763658063073
2011-09,1043.6683281788733
2011-10,1075.7533818059037
2011-11,1054.609168604764
2011-12,1072.761394469602
2012-01,1151.9063670835249
2012-02,1196.0440742753333
2012-03,1201.6200023236304
2012-04,1202.5773344758836
2012-05,1135.7117380141544
2012-06,1152.1649491330468
2012-07,1191.2546558294716
2012-08,1194.9002207478245
2012-09,1224.7787000437756
2012-10,1225.3781054982219
2012-11,1231.5087975734698
2012-12,1265.216352015725
2013-01,1293.7455554804287
2013-02,1357.8949584622985
2013-03,1408.4363085498871
2013-04,1421.278005437324
2013-05,1411.6185793468424
2013-06,1355.5910536649676
2013-07,1407.1378759830186
2013-08,1416.7258775246987
2013-09,1503.9941735529394
2013-10,1543.4157750956265
2013-11,1547.460906169546
2013-12,1564.6967615837598
2014-01,1574.7551457656355
2014-02,1622.4984916247608
2014-03,1617.1242017153525
2014-04,1594.6319619805383
2014-05,1643.2797957014857
2014-06,1662.3509332326737
2014-07,1660.8671915131135
2014-08,1684.5134572235704
2014-09,1660.276154452375
2014-10,1641.78189201188
2014-11,1654.6942737789007
2014-12,1695.831785079337
2015-01,1821.7688357654038
2015-02,1951.6991029335668
2015-03,2016.364198027974
2015-04,2021.1363089540603
2015-05,2088.186968701459
2015-06,2028.198947053832
2015-07,2061.8193347719675
2015-08,1944.2278718273217
2015-09,1885.8070503282856
2015-10,2019.770706393397
2015-11,2112.9565058625462
2015-12,2070.036143338498
2016-01,1914.0867175643616
2016-02,1903.6967295039715
2016-03,1961.0047561436206
2016-04,1995.6336878494778
2016-05,2064.1109895545637
2016-06,1958.608355003343
2016-07,2064.5385802346173
2016-08,2059.531933448095
2016-09,2102.8547249827147
2016-10,2094.4350042788838
2016-11,2101.2755312421305
2016-12,2174.635051290966
2017-01,2196.502784956686
2017-02,2282.602802093316
2017-03,2312.7101005858044
2017-04,2369.0889566453056
2017-05,2378.811332084602
2017-06,2345.313355628631
2017-07,2352.6636654832823
2017-08,2352.222337889141
2017-09,2432.8732007825392
2017-10,2510.082562329633
2017-11,2490.6387388844714
2017-12,2540.384827085756
2018-01,2574.2807479940525
2018-02,2535.742362466113
2018-03,2486.7766279799694
2018-04,2566.9226308858533
2018-05,2629.49877651905
2018-06,2578.2613968409482
2018-07,2589.062489197864
2018-08,2577.194961607089
2018-09,2562.095365208388
2018-10,2372.6214010771
2018-11,2356.036555402178
2018-12,2182.8211797167887
2019-01,2349.4618533138864
2019-02,2419.2027348333036
2019-03,2457.6822146655
2019-04,2534.972223900057
2019-05,2412.454978527522
2019-06,2460.9003434815418
2019-07,2497.1137311762022
2019-08,2461.6459388260296
2019-09,2555.347312824613
2019-10,2612.352324165371
2019-11,2700.1544508466077
2019-12,2769.7634637302735
2020-01,2722.6525927769953
2020-02,2475.3655129822387
2020-03,2052.858698353071
2020-04,2269.10328364678
2020-05,2397.165496537357
2020-06,2410.472933440803
2020-07,2364.7513794175966
2020-08,2512.0800440575676
2020-09,2545.385491851131
2020-10,2469.9557391720577
2020-11,2734.893199148202
2020-12,2856.36693749353
2021-01,2865.6275523790578
2021-02,2945.148691113219
2021-03,3108.601862673344
2021-04,3154.901682461083
2021-05,3167.310723614207
2021-06,3207.8489235262427
2021-07,3264.5710909818986
2021-08,3374.051111944526
2021-09,3308.994346995344
2021-10,3360.7243251031778
2021-11,3254.599013179869
2021-12,3360.9538345191013
2022-01,3154.5210739921413
2022-02,3107.7133430135395
2022-03,3133.9251093243683
2022-04,3076.5500879676933
2022-05,3015.8558071452862
2022-06,2749.360423817284
2022-07,3002.8967912002745
2022-08,2899.1388224825632
2022-09,2638.26009595965
2022-10,2727.442549802568
2022-11,2885.791817009859
2022-12,2822.0642053832644
2023-01,2982.95441383571
2023-02,2996.5017414945387
2023-03,2919.0169061428164
2023-04,2932.703622850121
2023-05,2906.6839704315653
2023-06,2921.847844019124
2023-07,3016.578666285872
