Date,AC ASIA ex JAPAN+CHINA A ONSH SMALL CAP
2013-09,3141.032684580047
2013-10,3142.6402110991444
2013-11,3210.9054638775474
2013-12,3139.5520198970225
2014-01,3193.677491900969
2014-02,3228.049040595002
2014-03,3197.660605056125
2014-04,3147.6972641815364
2014-05,3285.6546142733496
2014-06,3373.2958333576853
2014-07,3612.4681755955103
2014-08,3805.602225767508
2014-09,4140.855639281593
2014-10,4183.827834459625
2014-11,4260.756416544346
2014-12,4233.446507267517
2015-01,4722.366220687638
2015-02,4942.8856336970775
2015-03,5785.614133315247
2015-04,6304.050278127795
2015-05,7376.3315674698115
2015-06,6688.88067941717
2015-07,5760.693362040387
2015-08,4959.846398955613
2015-09,4837.302312895999
2015-10,5553.779214575322
2015-11,6029.252951856404
2015-12,6060.802391426033
2016-01,4887.970977446203
2016-02,4821.238134694391
2016-03,5208.14147844711
2016-04,5189.33185867472
2016-05,5155.1164045532505
2016-06,5317.2712297171165
2016-07,5354.22889677873
2016-08,5563.409187659675
2016-09,5553.92885718348
2016-10,5689.418942925482
2017-04,5655.589889
2017-05,5340.812205
2017-06,5379.164932
2017-07,5312.186395
2017-08,5411.327712
2017-09,5469.172052
2017-10,5648.784882
2017-11,5392.915258
2017-12,5399.067222
2018-01,5348.420843
2018-02,5162.399274
2018-03,5139.502641
2018-04,5087.006813940542
2018-05,5197.210222707761
