Date,ACFM ASIA SMALL CAP
2010-11,1000.0
2010-12,1039.2362133432557
2011-01,1010.8911195331785
2011-02,989.9494721351246
2011-03,959.4536825218404
2011-04,939.0609297773137
2011-05,949.602644628639
2011-06,944.4238470618343
2011-07,985.2507644574357
2011-08,904.372082281494
2011-09,887.7164197289399
2011-10,878.0262582104932
2011-11,857.1774986000742
2011-12,889.880761959705
2012-01,942.7811217826276
2012-02,970.944170175659
2012-03,968.1723828049553
2012-04,959.147418057683
2012-05,944.3706828292002
2012-06,947.1461468339368
2012-07,968.1503784576137
2012-08,954.3986090522309
2012-09,980.3023807062244
2012-10,957.4958642357391
2012-11,971.2379764175392
2012-12,990.0148210996065
2013-01,996.4479139549267
2013-02,1059.252723808727
2013-03,1121.7489957683124
2013-04,1140.6138308503234
2013-05,1124.6726388060026
2013-06,1067.8164469653052
2013-07,1057.5804668062688
2013-08,1044.484003668396
2013-09,1105.4215564525407
2013-10,1113.4665684270267
2013-11,1103.729682710066
2013-12,1096.1686652238664
2014-01,1109.2470271759296
2014-02,1091.6808540523452
2014-03,1101.9404008003355
2014-04,1087.3378250469716
2014-05,1139.0557290755467
2014-06,1184.217156579227
2014-07,1223.7167066946042
2014-08,1249.2250384537742
2014-09,1258.4543122137106
2014-10,1240.6191706802028
2014-11,1230.6670112455206
2014-12,1262.2670041786132
2015-01,1390.800046088851
2015-02,1436.7003043389307
2015-03,1524.136646685306
2015-04,1545.5337197655383
2015-05,1599.909668059365
2015-06,1542.1336932346724
2015-07,1485.3045129781485
2015-08,1366.3390905550443
2015-09,1349.8447199640916
2015-10,1451.0289738766944
2015-11,1513.6492438468006
2015-12,1481.4058374084088
2016-01,1377.0303410874
2016-02,1357.3607437468197
2016-03,1389.8855587923845
2016-04,1418.5207079220036
2016-05,1443.7349135788565
2016-06,1452.1600047106383
2016-07,1506.4712368857408
2016-08,1502.0090842529955
2016-09,1537.8891294454554
2016-10,1567.2467767721423
2016-11,1555.0241365326315
2016-12,1568.623570826323
2017-01,1592.4815963124845
2017-02,1685.4237807501909
2017-03,1696.2187559433967
2017-04,1688.772780914352
2017-05,1675.783567718156
2017-06,1665.995957303823
2017-07,1654.4836512786194
2017-08,1666.2683915801701
2017-09,1693.431901962877
2017-10,1787.5487911108326
2017-11,1799.3626824143228
2017-12,1821.5223552329287
2018-01,1840.9898460283243
2018-02,1826.3598652181865
2018-03,1792.7153788205553
2018-04,1827.5953792160828
2018-05,1886.8855234711687
2018-06,1797.007317475652
2018-07,1786.6074317421806
2018-08,1783.899805654651
2018-09,1768.9368676587271
2018-10,1622.1931141266039
2018-11,1689.9131121300754
2018-12,1580.7057545609457
2019-01,1650.2161667341657
2019-02,1689.6027743676475
2019-03,1732.8141869252818
2019-04,1742.0289627079997
2019-05,1667.7702769233538
2019-06,1677.3587738985339
2019-07,1704.6920986371947
2019-08,1679.6356939054663
2019-09,1746.5010320168687
2019-10,1786.428768699883
2019-11,1810.3205655709755
2019-12,1828.6456975393492
2020-01,1781.600094990763
2020-02,1642.7287878140412
2020-03,1445.9105007393277
2020-04,1585.8594840865503
2020-05,1640.9395667754682
2020-06,1674.8800671193924
2020-07,1629.6860014873932
2020-08,1720.321100277854
2020-09,1783.3029225192256
2020-10,1772.3470239051348
2020-11,1882.4009474604777
2020-12,1939.2914677718013
2021-01,1954.4169530062104
2021-02,2032.939826629728
2021-03,2150.3816480355204
2021-04,2149.679298482004
2021-05,2123.238975651727
2021-06,2228.013337558284
2021-07,2208.211379757338
2021-08,2259.730297577406
2021-09,2296.27808691418
2021-10,2275.48666451578
2021-11,2248.7453188261625
2021-12,2286.7700468724297
2022-01,2184.045199650495
2022-02,2175.0676623785916
2022-03,2174.678272674039
2022-04,2157.1062516916168
2022-05,2107.0715396271785
2022-06,2006.523880699914
2022-07,2126.6897721931355
2022-08,2159.130228606405
2022-09,2007.809879565312
2022-10,1957.4432427552692
2022-11,2079.0066148542815
2022-12,2026.9930505608324
2023-01,2097.4485854570107
2023-02,2084.347129048862
2023-03,2076.503403984138
2023-04,2051.4026292091426
2023-05,2111.903722246489
2023-06,2126.335661693822
2023-07,2213.9315376001946
