Date,EM EASTERN EUROPE SMALL CAP
1998-12,79.13245117232536
1999-01,79.38436930051498
1999-02,73.5487087784174
1999-03,81.35175666565324
1999-04,86.9067341656443
1999-05,98.97087756189865
1999-06,111.74466055170117
1999-07,110.81650326950972
1999-08,111.55733010155213
1999-09,100.99541912857782
1999-10,102.58914272625536
1999-11,108.83509966542087
1999-12,125.0240790310667
2000-01,146.08249251404064
2000-02,157.51042498450977
2000-03,170.90093117831782
2000-04,162.60619360863564
2000-05,157.50918596618425
2000-06,150.17695459763152
2000-07,157.00859777889335
2000-08,169.90722330349837
2000-09,158.07082523038494
2000-10,160.5054954123187
2000-11,141.7632360126686
2000-12,139.33624063818507
2001-01,144.85385197548527
2001-02,138.52738562336924
2001-03,141.93224544108188
2001-04,151.3155271077892
2001-05,159.50342269530364
2001-06,157.0119928109952
2001-07,143.2998641577527
2001-08,140.62179974129734
2001-09,132.6738398215847
2001-10,146.25820356310186
2001-11,164.36088146051466
2001-12,163.28080095946834
2002-01,188.35518639405186
2002-02,188.3513371722014
2002-03,202.99870441576329
2002-04,207.73457275156412
2002-05,199.94289632534253
2002-06,169.63058926602952
2002-07,155.77945661739972
2002-08,158.02722298227206
2002-09,158.4176667994842
2002-10,175.19553155741164
2002-11,183.79903337199704
2002-12,177.53600478456573
2003-01,169.91078965500742
2003-02,177.72381670197663
2003-03,177.13367179665553
2003-04,193.59042544716317
2003-05,201.6286188925023
2003-06,210.29015362739472
2003-07,223.90911139007792
2003-08,269.34312414668574
2003-09,251.19306061104538
2003-10,252.44171195339496
2003-11,243.3092647419893
2003-12,256.8989959167667
2004-01,265.8203609290982
2004-02,284.38294556980713
2004-03,298.18080137156994
2004-04,297.50226670555725
2004-05,287.5282521599643
2004-06,296.593576420732
2004-07,286.8842064653553
2004-08,296.76297484220163
2004-09,312.9976143898702
2004-10,302.4759451909156
2004-11,295.2723808928602
2004-12,306.1790470726001
2005-01,327.27063102817596
2005-02,355.98579720427205
2005-03,329.2021001359789
2005-04,305.94807723446115
2005-05,321.13807774007364
2005-06,336.4292636163969
2005-07,362.427986861819
2005-08,402.57218986374636
2005-09,457.11130757872536
2005-10,439.2635509114764
2005-11,473.5513080465398
2005-12,506.3198888162782
2006-01,561.3503665152938
2006-02,634.3303738006082
2006-03,628.4890736540899
2006-04,640.6550643926175
2006-05,554.9862375713004
2006-06,544.9397966766526
2006-07,619.8858785795975
2006-08,622.0984795677329
2006-09,655.5106365286033
2006-10,702.7671695366597
2006-11,753.792178671345
2006-12,803.905670711437
2007-01,844.8565811138742
2007-02,839.6291113233415
2007-03,924.6044800641523
2007-04,974.6058805642461
2007-05,1000.0
2007-06,1039.8225327562193
2007-07,988.1711871898722
2007-08,926.4156551739183
2007-09,926.1776713455538
2007-10,962.1465574901991
2007-11,878.1061650126603
2007-12,904.3523870143647
2008-01,792.8411599209414
2008-02,796.2689535276679
2008-03,777.6900729946492
2008-04,760.0685455740934
2008-05,758.7064241253532
2008-06,688.4227166263533
2008-07,644.6295163152855
2008-08,607.1739122907433
2008-09,501.5410459866215
2008-10,341.419278913099
2008-11,298.6472967389386
2008-12,251.84303966662884
2009-01,223.57567074550514
2009-02,200.8754564074024
2009-03,231.99567671241044
2009-04,300.3296731741502
2009-05,331.58961362472957
2009-06,341.21242614121877
2009-07,391.6240574034998
2009-08,462.5099048348308
2009-09,462.52751360659175
2009-10,446.25358252317045
2009-11,445.8270755747844
2009-12,476.06424274930333
2010-01,502.04131110263427
2010-02,511.0288350180484
2010-03,607.8066036888749
2010-04,617.860326020392
2010-05,559.1914010492006
2010-06,529.1341375128252
2010-07,567.9210912295736
2010-08,582.9617015049201
2010-09,601.3825295140692
2010-10,614.7086803880027
2010-11,628.5390990731594
2010-12,660.4157891407067
2011-01,677.6547597965454
2011-02,685.44496252991
2011-03,680.9906454124098
2011-04,691.7245926508449
2011-05,666.0667183979374
2011-06,638.4726411862374
2011-07,617.7459824679079
2011-08,515.1105153357097
2011-09,430.1582799451885
2011-10,468.3949963498205
2011-11,434.9719443742585
2011-12,410.3110087742716
2012-01,470.41975808071675
2012-02,494.43592319190867
2012-03,479.24506531761904
2012-04,463.0202320617229
2012-05,398.3054391686755
2012-06,414.29379723598333
2012-07,422.3091551053629
2012-08,411.5070772337407
2012-09,446.08298972390793
2012-10,436.8136425578399
2012-11,443.31439041928684
2012-12,472.12509898369876
2013-01,470.17362119496147
2013-02,464.55391825538567
2013-03,436.42924319413675
2013-04,414.87647459345334
2013-05,438.81786478075117
2013-06,414.21706277152026
2013-07,430.48497482526557
2013-08,432.65938478260483
2013-09,453.9514123279729
2013-10,478.63792227148156
2013-11,474.2664660407131
2013-12,477.2728588141695
2014-01,452.79319221592806
2014-02,461.91278950275796
2014-03,439.6618431826321
2014-04,438.0866728767914
2014-05,452.4181452995874
2014-06,456.0724333412258
2014-07,430.1594290429244
2014-08,435.36848519582156
2014-09,446.33041508649006
2014-10,431.62804775007567
2014-11,419.26294890407127
2014-12,362.3985346384569
2015-01,393.7730917086144
2015-02,429.2044048863686
2015-03,440.44410882549187
2015-04,464.0096602362278
2015-05,457.41348290566015
2015-06,421.97158494067156
2015-07,434.7578626270239
2015-08,406.3340696037627
2015-09,406.68115470210716
2015-10,429.5267042199745
2015-11,426.4587491242232
2015-12,404.94495641356895
2016-01,375.99015749467776
2016-02,392.1274181224612
2016-03,426.49212858877945
2016-04,433.95452243991105
2016-05,429.1039514953001
2016-06,444.04604199819715
2016-07,469.29857409252116
2016-08,516.4571394101787
2016-09,549.0906005122446
2016-10,575.3754552344398
2016-11,606.0072812624619
2016-12,653.5384153910771
