Date,FM CENTRAL & EAST EUROPE + CIS SMALL CAP
2010-11,1000.0
2010-12,1047.6861365858479
2011-01,1111.849510344396
2011-02,1101.529660894068
2011-03,1095.7921476077033
2011-04,1064.6864788368518
2011-05,1047.4552714343208
2011-06,1016.6709019143893
2011-07,997.2567690110428
2011-08,876.994278091996
2011-09,785.0311751229523
2011-10,760.4209567919115
2011-11,718.0354883565996
2011-12,706.3053892150766
2012-01,740.7906136939827
2012-02,759.0228211269025
2012-03,787.4763827603888
2012-04,793.295937063664
2012-05,714.6898552182411
2012-06,718.6440756255636
2012-07,739.3339522516554
2012-08,729.5664557982954
2012-09,784.8669047913108
2012-10,797.717427031688
2012-11,790.5836515948802
2012-12,829.4248744252423
2013-01,848.1711575346338
2013-02,860.2480489319365
2013-03,888.196285645941
2013-04,886.2984496362794
2013-05,861.6704642886468
2013-06,858.3430527390984
2013-07,894.1660954098327
2013-08,864.3024904196722
2013-09,854.4212792971879
2013-10,858.724986027137
2013-11,867.5402031092161
2013-12,860.3897109702341
2014-01,916.564578657445
2014-02,931.7586492926191
2014-03,929.9224473524934
2014-04,959.8978961001635
2014-05,1007.9273449889247
2014-06,1055.9826574911892
2014-07,1073.0306375430125
2014-08,1107.3219524044068
2014-09,1140.6573226520763
2014-10,1116.7740870746388
2014-11,1123.9841514869468
2014-12,1100.0829096491736
2015-01,1113.7140741936896
2015-02,1118.7305129301678
2015-03,1119.0802763994552
2015-04,1166.399758125888
2015-05,1164.9696910792893
2015-06,1129.9000113422746
2015-07,1164.8248609025336
2015-08,1125.7752950225415
2015-09,1106.3412377691027
2015-10,1137.4031251486417
2015-11,1134.588743668594
2015-12,1127.1687941912558
2016-01,1077.6865379463131
2016-02,1100.350988895087
2016-03,1139.6734566971422
2016-04,1127.2206560929912
2016-05,1178.0863807325525
2016-06,1172.4174837531668
2016-07,1236.6630118483379
2016-08,1267.0420815792124
2016-09,1292.7811680286063
2016-10,1315.4804033260812
2016-11,1289.5401596446004
2016-12,1292.337913881321
2017-01,1378.9117953411057
2017-02,1449.6121965600669
2017-03,1364.8562980237057
2017-04,1341.6462325768757
2017-05,1378.0901521484025
2017-06,1374.1715277789942
2017-07,1380.9484751164193
2017-08,1387.3940187279313
2017-09,1377.8616483466062
2017-10,1384.3698253905961
2017-11,1360.282020799424
2017-12,1360.453434703951
2018-01,1405.218639763659
2018-02,1364.6421659954444
2018-03,1356.8506911763493
2018-04,1360.2973934670854
2018-05,1375.4666473529526
2018-06,1406.643324346733
2018-07,1410.8346736645415
2018-08,1412.1156121353408
2018-09,1390.1536234946275
2018-10,1337.0564425884647
2018-11,1342.686765309
2018-12,1260.6927255210326
2019-01,1306.1398354044613
2019-02,1336.5766369930855
2019-03,1347.4315099858109
2019-04,1379.0747318859635
2019-05,1381.837119521559
2019-06,1417.9858699683389
2019-07,1420.5021243771198
2019-08,1397.701244957362
2019-09,1455.1606535435317
2019-10,1462.9459627328222
2019-11,1478.1592648480137
2019-12,1503.952710426731
2020-01,1529.0291994988934
2020-02,1441.187514713521
2020-03,1169.1490456559773
2020-04,1254.230740526969
2020-05,1318.6904085268413
2020-06,1325.685309416317
2020-07,1330.7911859272835
2020-08,1355.5214701372686
2020-09,1361.2987687718269
2020-10,1344.7967497528568
2020-11,1449.111782312092
2020-12,1489.2128085222657
2021-01,1570.1160475025792
2021-02,1571.4171712851153
2021-03,1608.3108894732245
2021-04,1658.1011158201661
2021-05,1733.9927762280454
2021-06,1763.5078561821133
2021-07,1777.2671198219168
2021-08,1795.5439999522762
2021-09,1777.461879205175
2021-10,1819.3074974069316
2021-11,1767.595266186531
2021-12,1834.8558773828145
2022-01,1886.495024543645
2022-02,1719.5233450546089
2022-03,1799.6526381051121
2022-04,1790.6830592963365
2022-05,1753.092282081271
2022-06,1685.4468712975095
2022-07,1699.6472816595851
2022-08,1689.3914751953607
2022-09,1512.1640413984273
2022-10,1580.7533498772862
2022-11,1617.3105952061487
2022-12,1641.7325997886794
2023-01,1742.9208027203156
2023-02,1793.6067614492451
2023-03,1775.700138090438
2023-04,1816.5946499368458
2023-05,1770.447229715256
2023-06,1825.3087616594908
2023-07,1889.0400222347707
