Date,EUROPE ex SWITZERLAND
1969-12,100.0
1970-01,99.21414837
1970-02,96.05844239999999
1970-03,97.33483217
1970-04,90.27654705
1970-05,85.32504383
1970-06,86.3500936
1970-07,90.48320447
1970-08,90.9873221
1970-09,92.21760112
1970-10,91.76268461000001
1970-11,87.52359038
1970-12,89.51695211
1971-01,93.11041787
1971-02,93.36399572
1971-03,96.32561904
1971-04,100.36733973
1971-05,103.47093192
1971-06,104.12346269
1971-07,108.95837364
1971-08,108.74965864
1971-09,106.680064
1971-10,103.36171842
1971-11,105.74223623
1971-12,113.09056333000001
1972-01,119.63854531
1972-02,126.16256593
1972-03,129.67448199999998
1972-04,132.28997379999998
1972-05,134.1080417
1972-06,127.50966446
1972-07,134.06197363
1972-08,134.69990964000002
1972-09,126.34399441000001
1972-10,126.16383913
1972-11,130.01758195
1972-12,128.54060074
1973-01,128.80610768
1973-02,137.68084548000002
1973-03,141.96052125
1973-04,143.13863715
1973-05,144.47146874
1973-06,149.90266474
1973-07,142.04794483
1973-08,136.06994246
1973-09,138.68515882
1973-10,142.39712348
1973-11,120.79391385
1973-12,116.93012376
1974-01,116.51391377
1974-02,120.47719775
1974-03,114.93685012
1974-04,120.22482784
1974-05,111.28289734
1974-06,104.99711418
1974-07,103.52754951
1974-08,92.99659829000001
1974-09,83.91741591
1974-10,87.35736431000001
1974-11,87.36586823
1974-12,88.00460671
1975-01,108.60791833
1975-02,123.45050193
1975-03,119.50615114
1975-04,128.25527201
1975-05,126.22867838
1975-06,117.50930769
1975-07,113.23419815
1975-08,116.37724179
1975-09,110.92207409
1975-10,119.16610912
1975-11,122.04457011000001
1975-12,124.40738104
1976-01,129.89019528
1976-02,127.17210009
1976-03,123.40320313000001
1976-04,121.87062739999999
1976-05,115.56780869
1976-06,115.04938298
1976-07,112.7343344
1976-08,110.11873207000001
1976-09,106.88515676
1976-10,98.54948742
1976-11,103.36981296
1976-12,112.5887278
1977-01,113.61719429
1977-02,115.10947263
1977-03,115.96077129
1977-04,120.58481508
1977-05,120.09454775
1977-06,121.39389875
1977-07,119.08205683
1977-08,124.54364645
1977-09,129.64033322
1977-10,132.7553308
1977-11,129.76760236
1977-12,136.47569955
1978-01,135.31906147
1978-02,134.59770561
1978-03,140.07706659000002
1978-04,139.12646865
1978-05,142.38053033
1978-06,142.88388549
1978-07,154.10276673
1978-08,158.92797922
1978-09,165.77620121
1978-10,174.11733219
1978-11,159.40589109
1978-12,166.55594491
1979-01,166.07962927
1979-02,169.81875878
1979-03,181.59176696
1979-04,184.56649152
1979-05,175.06488159
1979-06,179.93148821
1979-07,182.74530841
1979-08,188.31111182
1979-09,197.01769322
