Date,EFM ASEAN
2006-11,1000.0
2006-12,1008.4751266699723
2007-01,1048.2349879771286
2007-02,1042.454602268982
2007-03,1083.2622074404674
2007-04,1146.8510172098377
2007-05,1212.3511307983817
2007-06,1227.166557270385
2007-07,1299.5870097350844
2007-08,1213.3462303688725
2007-09,1320.6387911792929
2007-10,1467.0360572808413
2007-11,1430.4000080220026
2007-12,1482.012969301365
2008-01,1436.0174284883497
2008-02,1502.3133817557518
2008-03,1383.3304457399845
2008-04,1372.865211312055
2008-05,1358.0757658476264
2008-06,1248.3940996910985
2008-07,1209.8521017569446
2008-08,1150.2833174597604
2008-09,1001.6136671280525
2008-10,726.2763435251604
2008-11,695.8235360993579
2008-12,772.4416413389728
2009-01,741.8963335044762
2009-02,713.6148979782681
2009-03,756.1682926395567
2009-04,901.600304059593
2009-05,999.3222827986118
2009-06,1051.5812899863179
2009-07,1186.9750861795194
2009-08,1191.5592222348396
2009-09,1282.3062564565778
2009-10,1277.944364168577
2009-11,1299.4571093025995
2009-12,1345.2755391597368
2010-01,1327.8738338134135
2010-02,1334.2660671829617
2010-03,1476.2555355804957
2010-04,1527.0031330674267
2010-05,1434.4178302678442
2010-06,1495.1715694583233
2010-07,1578.4654513594674
2010-08,1639.1515700957038
2010-09,1817.207583800348
2010-10,1862.672934019649
2010-11,1786.889140073095
2010-12,1873.3609584840028
2011-01,1772.2199685732537
2011-02,1808.048109846695
2011-03,1943.908463916407
2011-04,2026.4689533384942
2011-05,2001.079134249796
2011-06,2012.5526507221962
2011-07,2114.5366634887887
2011-08,1958.1034224479602
2011-09,1734.469472981072
2011-10,1921.8392888655164
2011-11,1829.9758037374495
2011-12,1891.474841403094
2012-01,1997.018910517967
2012-02,2083.3114642885266
2012-03,2096.185831514964
2012-04,2108.9762371668203
2012-05,1939.387897208522
2012-06,2002.2182756321147
2012-07,2074.7737668548225
2012-08,2054.2997434046033
2012-09,2142.812512448416
2012-10,2176.6369219826624
2012-11,2150.785731649972
2012-12,2233.1252789749565
2013-01,2261.1882426356415
2013-02,2370.327330923781
2013-03,2407.976671093141
2013-04,2485.3576472630225
2013-05,2431.4930877562274
2013-06,2332.6008428137407
2013-07,2253.5984786953572
2013-08,2034.3947530457165
2013-09,2103.990369867751
2013-10,2251.6710008282284
2013-11,2103.557527420714
2013-12,2057.644058579392
2014-01,2023.2407850624788
2014-02,2150.2830318878323
2014-03,2216.5587147546826
2014-04,2262.6167563933977
2014-05,2265.8351680781675
2014-06,2305.5894566110537
2014-07,2366.038844411372
2014-08,2406.0490725231634
2014-09,2347.35446151154
2014-10,2346.382841063139
2014-11,2317.431949810178
2014-12,2222.1326514527905
2015-01,2232.775478817392
2015-02,2280.685957492284
2015-03,2262.7826220986826
2015-04,2224.880262022924
2015-05,2163.545067278269
2015-06,2083.2938898863435
2015-07,2013.5928823376537
2015-08,1810.126970437832
2015-09,1700.8935015679094
2015-10,1827.9838593745776
2015-11,1805.280763567496
2015-12,1804.4385197779218
2016-01,1829.4730153293242
2016-02,1863.678640492598
2016-03,2026.3666793783243
2016-04,1996.732757691737
2016-05,1938.7803315298597
2016-06,2038.3172548465004
2016-07,2108.968137930119
2016-08,2145.1380920551446
2016-09,2100.979271253869
2016-10,2078.6064926977865
2016-11,1905.081215596789
2016-12,1947.9969069135914
2017-01,2001.1736486487578
2017-02,2025.879194327562
2017-03,2098.3931078066885
2017-04,2157.762106
2017-05,2196.096383
2017-06,2215.397303
2017-07,2239.822068
2017-08,2264.184977
2017-09,2293.750223
2017-10,2316.263477
2017-11,2351.201843
2017-12,2501.353186
2018-01,2640.274056
2018-02,2609.610429
2018-03,2552.188813
2018-04,2500.801189364625
2018-05,2372.098522032198
2018-06,2221.2106521332844
2018-07,2335.9248624389343
2018-08,2368.309476645532
2018-09,2346.5797892674486
2018-10,2219.7385494822415
2018-11,2293.6131992260207
2018-12,2289.972869384607
2019-01,2442.9524525312486
2019-02,2420.8899838178895
2019-03,2401.5118938864935
2019-04,2417.638941888266
2019-05,2375.549473945283
2019-06,2505.376518050168
2019-07,2484.5367203762175
2019-08,2405.7969743524554
2019-09,2372.379013914392
2019-10,2396.930210341173
2019-11,2353.8509093848743
2019-12,2426.944459901669
2020-01,2288.814736894024
2020-02,2065.473727467164
2020-03,1664.3163139751298
2020-04,1852.2161944387155
2020-05,1933.0303447378794
2020-06,2005.067890163522
2020-07,2040.1290573110025
2020-08,2024.8387475086477
2020-09,1894.1622321843192
2020-10,1932.9563815767656
2020-11,2206.4993490132324
2020-12,2303.233009342546
2021-01,2236.301296940383
2021-02,2272.39143029766
2021-03,2232.282279515195
2021-04,2252.1197818138626
2021-05,2262.7515345389647
2021-06,2195.218659531814
2021-07,2072.272113060769
2021-08,2262.669998875595
2021-09,2204.904613717754
2021-10,2303.6703938843034
2021-11,2223.428824065652
2021-12,2287.782338555387
2022-01,2277.1235307101165
2022-02,2371.829425245191
2022-03,2377.2684787329854
2022-04,2318.9723940901995
2022-05,2293.0675630985193
2022-06,2082.197362933837
2022-07,2103.9092601605644
2022-08,2186.164833336931
2022-09,2030.6930866309494
2022-10,2054.169334950089
2022-11,2199.342145132295
2022-12,2195.5285324705605
2023-01,2281.5440254840073
2023-02,2142.1761215488964
2023-03,2212.2738798418404
2023-04,2223.466256943687
2023-05,2143.5217289458797
2023-06,2129.0791003658996
2023-07,2253.4368857736954
