Date,FRONTIER EMERGING MARKETS
2002-11,1000.0
2002-12,985.3503528368059
2003-01,1007.3363698915246
2003-02,1001.0360351725478
2003-03,987.8439362407985
2003-04,1103.7441329474252
2003-05,1186.5411918871905
2003-06,1224.5157435505191
2003-07,1243.091094489572
2003-08,1304.8649176001575
2003-09,1430.2786042065463
2003-10,1506.0407872308397
2003-11,1527.2757684209575
2003-12,1755.3746674298163
2004-01,1755.2945062472797
2004-02,1789.3979942454614
2004-03,1756.6639383245874
2004-04,1733.093456485728
2004-05,1682.2504834780254
2004-06,1711.0451929109186
2004-07,1760.8985057701086
2004-08,1766.7108634130866
2004-09,1874.5457847271725
2004-10,1921.5110096856213
2004-11,2076.8618838624193
2004-12,2188.9472946004867
2005-01,2346.452125928956
2005-02,2571.977836090758
2005-03,2513.549515556956
2005-04,2537.054851941457
2005-05,2545.589862634032
2005-06,2786.0876645417466
2005-07,2824.7018450575824
2005-08,2951.283399260424
2005-09,3171.1487227674893
2005-10,3108.235039293501
2005-11,3218.6767575899457
2005-12,3263.73491072435
2006-01,3529.50258869062
2006-02,3450.4123279088008
2006-03,3374.3804578498625
2006-04,3522.0772621007236
2006-05,3083.8856445606075
2006-06,2994.8050449486263
2006-07,3108.903445593729
2006-08,3265.548031796844
2006-09,3303.165865188927
2006-10,3505.7263082053178
2006-11,3481.2171819198143
2006-12,3619.610558331022
2007-01,3690.4498892721913
2007-02,3763.341575648608
2007-03,3869.1267493535247
2007-04,4073.8089643815083
2007-05,4370.0741917921605
2007-06,4481.940952433422
2007-07,4748.448968488965
2007-08,4537.536433990773
2007-09,4902.470357557046
2007-10,5310.866365231739
2007-11,5127.714676957316
2007-12,5300.916806790349
2008-01,5020.8771780591915
2008-02,5342.615824617621
2008-03,5026.717872824379
2008-04,5186.107102332691
2008-05,5194.13925895145
2008-06,4962.983801012714
2008-07,4880.20106748882
2008-08,4542.250689296598
2008-09,3874.364718885583
2008-10,2730.7735919553797
2008-11,2459.253803725276
2008-12,2347.2157586464837
2009-01,1985.346992860423
2009-02,1887.723283764651
2009-03,2055.1002303472346
2009-04,2282.1380229704737
2009-05,2662.188597359168
2009-06,2716.763964217669
2009-07,2849.490170238336
2009-08,2996.122303811035
2009-09,3143.14613921094
2009-10,3060.6585158365324
2009-11,2955.9739143322267
2009-12,2948.366355495826
2010-01,2898.3137440310397
2010-02,3044.8388366889735
2010-03,3230.780130400332
2010-04,3277.87066842346
2010-05,3044.47537501
2010-06,3028.0631899697473
2010-07,3233.2306797148417
2010-08,3309.117390866865
2010-09,3587.2197646972645
2010-10,3770.832330468727
2010-11,3613.3696381995233
2010-12,3792.9450271907544
2011-01,3634.727784048122
2011-02,3488.57584150133
2011-03,3545.107898022309
2011-04,3644.354572744289
2011-05,3592.3963435016085
2011-06,3518.9583643155593
2011-07,3486.7743684844268
2011-08,3385.042469528779
2011-09,3116.706577900921
2011-10,3285.3060113782317
2011-11,3143.918941112497
2011-12,3127.257634397269
2012-01,3307.593298377993
2012-02,3440.9895234303294
2012-03,3500.77612324011
2012-04,3551.426104697156
2012-05,3347.924949886332
2012-06,3371.001696723182
2012-07,3401.8083054338676
2012-08,3420.015724876014
2012-09,3573.2198715300306
2012-10,3612.5860886381765
2012-11,3634.742740258577
2012-12,3779.9404214120736
2013-01,3964.7256245574667
2013-02,3942.868796868503
2013-03,3945.6945057760386
2013-04,3960.1519560959296
2013-05,3963.779765945878
2013-06,3717.3738205704203
2013-07,3873.0741399447406
2013-08,3745.7278997043086
2013-09,3881.481703296468
2013-10,4016.366213514898
2013-11,3921.3707253134935
2013-12,3941.5815440568913
2014-01,3889.1178977598306
2014-02,4059.3991869227243
2014-03,4228.640375322624
2014-04,4446.605050953455
2014-05,4613.172541081733
2014-06,4675.059545666705
2014-07,4741.038719483176
2014-08,4800.669913712939
2014-09,4716.494517280156
2014-10,4561.701643720692
2014-11,4380.726167981104
2014-12,4225.234841477669
2015-01,4148.833967796533
2015-02,4202.429885014313
2015-03,4122.97189339365
2015-04,4279.859071460845
2015-05,4094.7898113129286
2015-06,4074.201683107348
2015-07,3919.757919810743
2015-08,3620.9520494599806
2015-09,3545.6792957814414
2015-10,3675.490336106451
2015-11,3446.722796253839
2015-12,3452.017611988314
2016-01,3254.319697243139
2016-02,3349.083210157139
2016-03,3625.5063344246464
2016-04,3723.756867924172
2016-05,3716.4603301931024
2016-06,3757.873675997754
2016-07,3825.6321525405187
2016-08,3805.5948402138474
2016-09,3786.793900202097
2016-10,3754.1775694601106
2016-11,3532.714129168364
2016-12,3624.6452283863073
2017-01,3844.7758927720397
2017-02,3821.873308099135
2017-03,3893.1461505375714
2017-04,3958.906182
2017-05,4124.817049
2017-06,4118.454358
2017-07,4212.236152
2017-08,4292.925271
2017-09,4375.058831
2017-10,4380.837558
2017-11,4430.948725
2017-12,4595.609682
2018-01,4810.294804
2018-02,4672.69516
2018-03,4669.018913
2018-04,4633.635281722626
2018-05,4291.652116876867
2018-06,4154.08783830445
2018-07,4299.667535338153
2018-08,4160.6895428052985
2018-09,4087.7590021970022
2018-10,3923.8667648149094
2018-11,3985.645170373175
2018-12,3924.708325398859
2019-01,4202.491948507043
2019-02,4225.2939957204235
2019-03,4295.286619789262
2019-04,4312.649296938281
2019-05,4290.273114375697
2019-06,4498.334400035761
2019-07,4514.073432422778
2019-08,4235.069870824398
2019-09,4195.069737489818
2019-10,4304.4933016124105
2019-11,4282.372054946897
2019-12,4477.92273958023
2020-01,4334.409001568947
2020-02,4046.9981744457555
2020-03,3064.638553667634
2020-04,3310.685747478659
2020-05,3441.7027385265114
2020-06,3557.251651391882
2020-07,3556.339901698435
2020-08,3754.465258174403
2020-09,3711.9550396324394
2020-10,3792.8092052149827
2020-11,4069.99688723885
2020-12,4358.709945959963
2021-01,4158.366550047249
2021-02,4239.533020123727
2021-03,4093.685313954721
2021-04,4180.474159244078
2021-05,4351.250712687744
2021-06,4387.766500196251
2021-07,4220.068962826702
2021-08,4510.83963314319
2021-09,4459.078115144361
2021-10,4692.457955956066
2021-11,4514.001003722852
2021-12,4545.808919216016
2022-01,4580.017515867648
2022-02,4521.832345366161
2022-03,4567.866136476944
2022-04,4272.728873915684
2022-05,4191.273827073166
2022-06,3731.5055610274217
2022-07,3788.1207293245593
2022-08,3833.2086706344758
2022-09,3407.4627781761633
2022-10,3481.2447754991754
2022-11,3789.9006212341365
2022-12,3719.502949271018
2023-01,3901.5762246601
2023-02,3750.386567015043
2023-03,3808.297107190251
2023-04,3848.0308966537914
2023-05,3752.4961098224626
2023-06,3884.382736846954
2023-07,4132.732210357359
