Date,EAFE ex ISRAEL
2010-05,1031.146890898748
2010-06,1020.8921958820804
2010-07,1118.63625351023
2010-08,1083.4060039324681
2010-09,1189.5691400580863
2010-10,1232.9423815303714
2010-11,1173.2866065014498
2010-12,1268.4022930676372
2011-01,1298.8583833381424
2011-02,1342.2496132230274
2011-03,1311.682050709581
2011-04,1390.9776765638296
2011-05,1349.3781390034449
2011-06,1332.8082187364382
2011-07,1311.6639458355937
2011-08,1193.5565079812934
2011-09,1080.1095203626533
2011-10,1184.0078704126497
2011-11,1126.756810504339
2011-12,1116.024448513144
2012-01,1175.2833696894377
2012-02,1243.3587615314327
2012-03,1237.399560332136
2012-04,1212.921428042979
2012-05,1073.721175944049
2012-06,1149.7022713743704
2012-07,1162.5381904689466
2012-08,1194.1039027288514
2012-09,1229.333365497365
2012-10,1239.5629241943298
2012-11,1269.5855666576922
2012-12,1310.8903832015346
2013-01,1380.3741888974278
2013-02,1367.05024674777
2013-03,1378.045017288663
2013-04,1450.356108014654
2013-05,1415.2590829805138
2013-06,1364.8358574028493
2013-07,1437.1350019612055
2013-08,1418.2281793851128
2013-09,1523.3069086217838
2013-10,1574.737113410545
2013-11,1586.4263430070164
2013-12,1610.2912994185822
2014-01,1544.8740482586506
2014-02,1630.6330942143272
2014-03,1619.6841091312958
2014-04,1643.3894659088182
2014-05,1670.1413145942533
2014-06,1686.0435400415997
2014-07,1652.7032497187836
2014-08,1650.3912671709243
2014-09,1586.4431483695657
2014-10,1563.3800792902798
2014-11,1584.5326628990574
2014-12,1529.357157494217
2015-01,1536.9779202077957
2015-02,1629.3864582831807
2015-03,1603.6025253537239
2015-04,1669.5609154476642
2015-05,1660.952873669191
2015-06,1613.6826666194981
2015-07,1646.1169705243653
2015-08,1525.0840199285576
2015-09,1448.0722039710417
2015-10,1561.3283484892963
2015-11,1536.972831906722
2015-12,1515.844206414232
2016-01,1406.2769598935936
2016-02,1380.5823530879895
2016-03,1471.1169453579528
2016-04,1513.7491459672447
2016-05,1500.4093970283664
2016-06,1449.8296837680944
2016-07,1523.2281003257413
2016-08,1524.7416158137305
2016-09,1544.0644448281766
2016-10,1513.0176385721502
2016-11,1483.1502111161203
2016-12,1534.252306064623
2017-01,1578.9721131362137
2017-02,1601.262730734382
2017-03,1645.595631045289
2017-04,1687.689185
2017-05,1750.107602
2017-06,1746.259304
2017-07,1797.208938
2017-08,1798.225705
2017-09,1842.836013
2017-10,1871.213161
2017-11,1891.050799
2017-12,1920.817233
2018-01,2017.232197
2018-02,1926.128049
2018-03,1891.744127
2018-04,1935.0581550724137
2018-05,1890.7264624911934
2018-06,1867.2772155612197
2018-07,1913.0810218285965
2018-08,1875.6215407383183
2018-09,1892.206600949276
2018-10,1741.4011158476249
2018-11,1738.7828851349384
2018-12,1655.185039256133
2019-01,1763.4703339016942
2019-02,1808.7583498043332
2019-03,1820.3283124047477
2019-04,1871.4915964151394
2019-05,1782.1597133755931
2019-06,1888.0775791166377
2019-07,1863.7683421462848
2019-08,1815.8882977271348
2019-09,1868.1425639876577
2019-10,1935.2330635423202
2019-11,1956.6055425809197
2019-12,2020.7830955502527
2020-01,1977.7931566412067
2020-02,1798.7141508215207
2020-03,1558.968018272794
2020-04,1659.30015722316
2020-05,1731.0740636586866
2020-06,1790.4307888859619
2020-07,1831.6889701285224
2020-08,1926.3650706990973
2020-09,1877.0704008626751
2020-10,1801.6853009072395
2020-11,2081.6142190244814
2020-12,2177.892336520246
2021-01,2154.3234021770436
2021-02,2202.972444992372
2021-03,2254.1829026846895
2021-04,2321.565703804988
2021-05,2398.0946164896914
2021-06,2370.760104131043
2021-07,2388.020199199104
2021-08,2430.3107053324993
2021-09,2359.7429468619907
2021-10,2417.3896771088303
2021-11,2304.544730076185
2021-12,2422.6693094303973
2022-01,2306.2442132545975
2022-02,2264.9065306306566
2022-03,2279.5568411137815
2022-04,2132.3453116417923
2022-05,2149.261103268106
2022-06,1949.6615209262736
2022-07,2046.634022460926
2022-08,1947.882727738864
2022-09,1766.1185797845296
2022-10,1860.5878852211142
2022-11,2072.404335527525
2022-12,2074.92056693214
2023-01,2243.5071693896775
2023-02,2197.0586472121377
2023-03,2251.7159175812462
2023-04,2316.0034329234772
2023-05,2217.953979681345
2023-06,2319.2660864261934
2023-07,2393.6083102934927
