Date,ACWI ex MEXICO
1998-12,1000.0
1999-01,1019.879270530445
1999-02,993.1991958591253
1999-03,1037.7237444327393
1999-04,1081.7488575297075
1999-05,1043.8715738782885
1999-06,1095.7315394205289
1999-07,1091.14519983672
1999-08,1089.9998621346479
1999-09,1077.974441419486
1999-10,1131.736330246796
1999-11,1165.828104268757
1999-12,1261.9956895221785
2000-01,1193.4386995875889
2000-02,1196.2211679236045
2000-03,1275.3777353466185
2000-04,1218.3967812083933
2000-05,1187.795337069676
2000-06,1227.1342036504843
2000-07,1190.3327522583736
2000-08,1227.4044285117543
2000-09,1159.722464748567
2000-10,1136.1302674970937
2000-11,1065.6459053035533
2000-12,1083.0748432776088
2001-01,1109.6962606696325
2001-02,1016.1054401327682
2001-03,947.1825532704795
2001-04,1015.6440954025385
2001-05,1003.1720647999048
2001-06,971.5840452719077
2001-07,956.4608267056469
2001-08,912.0756448191806
2001-09,828.8923922448097
2001-10,846.1696469488184
2001-11,898.0808525186477
2001-12,906.0289458959653
2002-01,880.5589331818157
2002-02,873.8990300036288
2002-03,912.7823495330226
2002-04,883.4438788076008
2002-05,884.5062580702057
2002-06,830.3088160463268
2002-07,760.4617201663616
2002-08,762.0984071826382
2002-09,678.2566877067446
2002-10,728.0162543992918
2002-11,767.5922994800362
2002-12,730.7440254501787
2003-01,709.2652757598042
2003-02,696.5759276983702
2003-03,693.5232651753034
2003-04,754.8638444263432
2003-05,798.3460342682971
2003-06,813.2346300243954
2003-07,830.9763873519717
2003-08,850.5120698926457
2003-09,855.6637816304795
2003-10,907.4151150189559
2003-11,920.9198541340064
2003-12,979.1552732278891
2004-01,995.5007282140408
2004-02,1013.4018299564489
2004-03,1007.4185893910413
2004-04,983.9078121820627
2004-05,991.5349161667012
2004-06,1011.1564051149294
2004-07,978.7707395144218
2004-08,984.7157360244331
2004-09,1005.0510461947986
2004-10,1029.5190470947505
2004-11,1085.5715543052793
2004-12,1127.4131197138172
2005-01,1103.4181555562323
2005-02,1141.4850345106706
2005-03,1116.6315576341108
2005-04,1091.995755081834
2005-05,1112.1364841660036
2005-06,1123.190716558421
2005-07,1164.50789015758
2005-08,1173.4406564092578
2005-09,1208.3113103488608
2005-10,1175.7432958856061
2005-11,1218.3298652767487
2005-12,1248.1725165941612
2006-01,1309.4336544386506
2006-02,1307.5835659004067
2006-03,1335.195051546143
2006-04,1379.5161278081864
2006-05,1325.5671522933935
2006-06,1324.8572190363996
2006-07,1333.539426314026
2006-08,1368.0514132747976
2006-09,1383.768831626097
2006-10,1435.4800848644456
2006-11,1475.9487789693446
2006-12,1508.609575249827
2007-01,1523.5039912147024
2007-02,1515.746973400305
2007-03,1545.7331940400675
2007-04,1614.5594635238679
2007-05,1661.8419661780465
2007-06,1656.994265655004
2007-07,1631.9237315133212
2007-08,1627.4860979387638
2007-09,1715.2349923031736
2007-10,1782.072814360686
2007-11,1703.3870863742914
2007-12,1684.522655627775
2008-01,1545.9531721186072
2008-02,1550.2941168909013
2008-03,1526.9356260234574
2008-04,1612.7733483896536
2008-05,1637.551632723776
2008-06,1503.1391660813829
2008-07,1464.2427177929699
2008-08,1432.8497650126997
2008-09,1253.69123674033
2008-10,1006.0217909335217
2008-11,939.7868941832671
2008-12,973.8083623341731
2009-01,890.8050382263983
2009-02,803.7242198214291
2009-03,869.7257964955263
2009-04,972.2725583254735
2009-05,1068.7948178331144
2009-06,1062.7253460629795
2009-07,1156.1718411367115
2009-08,1197.4295288953072
2009-09,1252.546504032866
2009-10,1233.060197115672
2009-11,1283.3740759978734
2009-12,1309.892999871175
2010-01,1253.4370927226446
2010-02,1269.1906552561288
2010-03,1350.555324956593
2010-04,1352.8376091713699
2010-05,1224.3348048228763
2010-06,1186.6010594123488
2010-07,1283.3066220312248
2010-08,1238.5577403678312
2010-09,1356.952312980034
2010-10,1405.6307016318124
2010-11,1374.0027336078133
2010-12,1474.7523081377944
2011-01,1498.304909673124
2011-02,1542.1294221725357
2011-03,1540.3293431439292
2011-04,1603.5653029448172
2011-05,1569.2053508587087
2011-06,1544.2391734881933
2011-07,1519.0216354160455
2011-08,1407.7802534460752
2011-09,1275.4031343886916
2011-10,1411.8139490505846
2011-11,1369.4399934350931
2011-12,1366.8307847581955
2012-01,1446.1725349508943
2012-02,1519.1102397421555
2012-03,1528.8559982370016
2012-04,1511.3187406435422
2012-05,1376.0814889459955
2012-06,1443.4197518328926
2012-07,1463.093663547544
2012-08,1495.3228089456668
2012-09,1542.092179871691
2012-10,1531.7659117621217
2012-11,1551.306660258477
2012-12,1586.254034159162
2013-01,1659.2307678110265
2013-02,1659.31391723798
2013-03,1689.4457261987475
2013-04,1738.2725335836433
2013-05,1734.1492279622853
2013-06,1683.5337162369722
2013-07,1764.4299338407718
2013-08,1728.1521155903527
2013-09,1817.6123777696837
2013-10,1890.6579471931107
2013-11,1917.2892787068513
2013-12,1950.4290005059097
2014-01,1872.690238840836
2014-02,1964.054751394418
2014-03,1972.2689250155186
2014-04,1991.1090492417588
2014-05,2033.3596872024398
2014-06,2071.512552202263
2014-07,2046.0871174358654
2014-08,2090.954628789201
2014-09,2023.2579734828714
2014-10,2037.6460128961903
2014-11,2072.4675887600033
2014-12,2033.1149381792593
2015-01,2001.7978299197014
2015-02,2113.058302508556
2015-03,2080.4524802461765
2015-04,2141.0275181854995
2015-05,2138.183876096747
2015-06,2087.69725369674
2015-07,2106.1713756126574
2015-08,1961.7594279352666
2015-09,1890.6642827683283
2015-10,2039.1087208866547
2015-11,2022.4616189730534
2015-12,1986.286043599591
2016-01,1866.26652568811
2016-02,1853.2860364683402
2016-03,1990.314127290871
2016-04,2019.8506424325947
2016-05,2023.1418453488777
2016-06,2010.7360259023824
2016-07,2097.787649914562
2016-08,2104.751329245878
2016-09,2117.9986209795284
2016-10,2081.4809238509893
2016-11,2098.511524448707
2016-12,2143.967971549613
2017-01,2202.6328758417853
2017-02,2264.371617547875
2017-03,2291.3464301493623
2017-04,2327.12138
2017-05,2378.68283
2017-06,2388.988268
2017-07,2455.609352
2017-08,2464.957875
2017-09,2513.1577
2017-10,2566.319096
2017-11,2616.226136
2017-12,2658.558573
2018-01,2808.340227
2018-02,2690.689526
2018-03,2632.820826
