Date,ACFM AMERICA INDEX
2009-05,1000.0
2009-06,995.5606814382057
2009-07,1074.700239815498
2009-08,1106.0686045709292
2009-09,1156.3657888676648
2009-10,1132.7854386021556
2009-11,1202.4440947276526
2009-12,1227.767862769782
2010-01,1176.1385286896605
2010-02,1215.0635883030466
2010-03,1290.4995442562797
2010-04,1309.0896497366873
2010-05,1203.7720848531283
2010-06,1140.8343836644772
2010-07,1223.739460692628
2010-08,1173.1482125030477
2010-09,1279.0080438383627
2010-10,1327.4838277741862
2010-11,1326.1926343028058
2010-12,1415.1704641284066
2011-01,1439.8213301340325
2011-02,1491.1143601496244
2011-03,1495.1913841437301
2011-04,1535.3743192347993
2011-05,1513.5829505984727
2011-06,1486.9760429941557
2011-07,1455.98746807372
2011-08,1377.265796840343
2011-09,1260.00208207039
2011-10,1401.7740272605179
2011-11,1389.295849080417
2011-12,1395.9718445279238
2012-01,1468.7520377611631
2012-02,1531.9120398111186
2012-03,1566.388105546211
2012-04,1554.9432860478087
2012-05,1446.6502572579327
2012-06,1501.8292918129187
2012-07,1522.644028174746
2012-08,1557.3719945030125
2012-09,1598.8366129251046
2012-10,1572.3492554825348
2012-11,1578.1242152773964
2012-12,1597.218594831078
2013-01,1675.4378379858335
2013-02,1688.7108787352413
2013-03,1744.1577670258453
2013-04,1771.717540412957
2013-05,1796.7722831082708
2013-06,1760.396056690506
2013-07,1848.3014926485023
2013-08,1798.306834562458
2013-09,1861.6579944223358
2013-10,1942.4428202535858
2013-11,1985.7255936147978
2013-12,2032.596474689187
2014-01,1957.2847441281615
2014-02,2045.7569890902776
2014-03,2065.8795645194286
2014-04,2082.4650556824863
2014-05,2126.646271725238
2014-06,2178.4214098472976
2014-07,2151.183726002038
2014-08,2236.6518300901316
2014-09,2182.573744982526
2014-10,2224.810398491656
2014-11,2272.9429874768484
2014-12,2255.9985385410096
2015-01,2181.739000743625
2015-02,2307.0559845619982
2015-03,2266.495900000059
2015-04,2300.1812025920312
2015-05,2315.475283821821
2015-06,2270.9154389063915
2015-07,2301.3741875976884
2015-08,2157.522239133743
2015-09,2094.28325769367
2015-10,2261.0971564950923
2015-11,2262.373356277932
2015-12,2215.822502552075
2016-01,2100.7758008529977
2016-02,2100.7983758899954
2016-03,2252.642369411544
2016-04,2273.482541814856
2016-05,2299.611515273488
2016-06,2310.2997730063216
2016-07,2397.5766145373036
2016-08,2400.058801829068
2016-09,2402.527540221517
2016-10,2364.598404695469
2016-11,2437.062681184626
2016-12,2480.724253781585
2017-01,2537.2157189226687
2017-02,2627.138040178456
2017-03,2630.6767890659576
2017-04,2652.934889
2017-05,2682.626102
2017-06,2701.790881
2017-07,2762.373471
2017-08,2772.560752
2017-09,2830.591669
2017-10,2886.179394
2017-11,2963.501009
2017-12,3001.61838
2018-01,3170.377658
2018-02,3046.188022
2018-03,2974.165393
2018-04,2986.859958595265
2018-05,3043.307049337976
2018-06,3058.9709152960136
2018-07,3169.8492480217205
2018-08,3255.7936387628274
2018-09,3271.4461215346055
2018-10,3049.262885202984
2018-11,3101.2022010718683
2018-12,2827.3680345065277
2019-01,3070.4929323065085
2019-02,3164.3578145237125
2019-03,3213.7950628715753
2019-04,3337.1263997172437
2019-05,3131.7606956322606
2019-06,3348.192318969231
2019-07,3394.016368781932
2019-08,3328.6460460974977
2019-09,3387.9153102664623
2019-10,3458.173045539964
2019-11,3577.46027584953
2019-12,3685.891928574797
2020-01,3685.7762584947936
2020-02,3381.63290643806
2020-03,2920.6792835747374
2020-04,3299.4951387258952
2020-05,3466.7370205092034
2020-06,3548.083329067449
2020-07,3760.3790231857406
2020-08,4028.6277815400035
2020-09,3874.0755209692497
2020-10,3771.7751808088533
2020-11,4215.603381846287
2020-12,4391.984583522541
2021-01,4345.375687702432
2021-02,4458.884471328214
2021-03,4628.007590932707
2021-04,4875.274300363296
2021-05,4913.330209574689
2021-06,5041.862323
2021-07,5148.640320623838
2021-08,5290.542737240788
2021-09,5039.761696299757
2021-10,5382.9705771174995
2021-11,5315.916126238205
2021-12,5527.296853533937
2022-01,5233.3394865349
2022-02,5090.927663562952
2022-03,5279.2968343351
2022-04,4800.971982077355
2022-05,4798.010636956182
2022-06,4387.438790935054
2022-07,4782.550816328255
2022-08,4596.9776122914745
2022-09,4174.614289394065
2022-10,4503.060739612365
2022-11,4743.322273825449
2022-12,4466.066877457172
2023-01,4765.956402967303
2023-02,4642.613263391357
2023-03,4795.875293693001
2023-04,4860.212110749237
2023-05,4874.520509022089
2023-06,5201.150765936474
2023-07,5379.636391659054
