Date,FM LATIN AMERICA & CARIBBEAN INDEX
2009-05,1000.0
2009-06,1164.7428131280012
2009-07,1225.34767861714
2009-08,1340.45610829482
2009-09,1386.3049408813968
2009-10,1460.6741861049168
2009-11,1414.0825726530913
2009-12,1469.699869548879
2010-01,1432.2200271917911
2010-02,1378.4320089358534
2010-03,1533.2144865898335
2010-04,1540.2197941598456
2010-05,1405.770342655416
2010-06,1464.6046842546598
2010-07,1651.6057033627706
2010-08,1704.30715713553
2010-09,1931.3928337530433
2010-10,2184.1692904477486
2010-11,2249.438391265908
2010-12,2358.6683716740235
2011-01,2363.324925322605
2011-02,2203.905197938212
2011-03,2139.8515806283926
2011-04,2111.828452382289
2011-05,2151.071628544925
2011-06,2254.9914291403825
2011-07,2174.7010195490116
2011-08,1916.715233165705
2011-09,1539.452586702919
2011-10,1567.169876585954
2011-11,1559.7811757733741
2011-12,1498.6358344106573
2012-01,1696.7824356678775
2012-02,1400.70128743337
2012-03,1404.429395446351
2012-04,986.9081563922939
2012-05,836.28378936595
2012-06,805.6751417842935
2012-07,795.5141157335038
2012-08,795.5743000338693
2012-09,812.3849447550552
2012-10,752.3235818608682
2012-11,793.8484258887956
2012-12,943.3582997687346
2013-01,1100.9319212112619
2013-02,871.8546163415897
2013-03,969.0425771349991
2013-04,1016.6312902730631
2013-05,980.8346363062491
2013-06,948.3238133754019
2013-07,1036.284420044497
2013-08,1163.9541280705546
2013-09,1311.878294230222
2013-10,1414.863776273196
2013-11,1704.519363083927
2013-12,1565.7027425795188
2014-01,1192.2208312909859
2014-02,1423.7206971896462
2014-03,1657.553611148193
2014-04,1693.0956605817694
2014-05,1758.90433992513
2014-06,1965.245777097986
2014-07,2088.9076970118113
2014-08,1814.8105604734699
2014-09,2027.1053904322273
2014-10,2091.3566951643083
2014-11,2066.335196140076
2014-12,1863.2715414384381
2015-01,1766.3291307426489
2015-02,2123.615631558423
2015-03,2328.617969306535
2015-04,2299.420751089801
2015-05,2102.7749942283062
2015-06,2011.7670416154112
2015-07,1809.582044124306
2015-08,1786.0612376589063
2015-09,1475.492085244085
2015-10,2138.6264440891077
2015-11,1927.2141382504728
2015-12,1854.0296832755837
2016-01,1921.0446470414183
2016-02,2081.2863484606355
2016-03,2008.9494934099587
2016-04,2088.56386186253
2016-05,2094.3195511227036
2016-06,2157.9116529132266
2016-07,2151.647703987359
2016-08,2103.441567713003
2016-09,2215.7146706569147
2016-10,2197.58656718596
2016-11,1998.7201450712594
2016-12,1945.0858529708576
2017-01,2303.457605595669
2017-02,2324.0267964611116
2017-03,2621.8634135708894
2017-04,2690.623913
2017-05,2851.380417
2017-06,2752.692932
2017-07,2564.19218
2017-08,2849.519087
2017-09,3144.049846
2017-10,3319.765652
2017-11,3163.582311
2017-12,3373.98525
2018-01,3446.928288
2018-02,3270.193142
2018-03,3183.875433
2018-04,3035.005332711109
2018-05,2369.551627963267
2018-06,1849.20708221614
2018-07,2109.8221083652547
2018-08,1611.3353600483733
2018-09,1680.7452364340704
2018-10,1649.0118767782044
2018-11,1741.6177691876364
2018-12,1658.7207609305406
2019-01,1985.8314953223735
2019-02,1775.8122009203848
2019-03,1625.4113921945223
2019-04,1497.2715135945496
