Date,FM (FRONTIER MARKETS)
2002-05,241.99710787958006
2002-06,247.52963274650776
2002-07,243.74596785511392
2002-08,252.02442681700916
2002-09,243.43716432795276
2002-10,245.47938990319474
2002-11,259.3443262586415
2002-12,269.2446676098268
2003-01,275.3641783550735
2003-02,268.6355584302511
2003-03,276.90288306999804
2003-04,304.39381178907286
2003-05,314.3594050367783
2003-06,310.6951883891887
2003-07,323.21325989601905
2003-08,328.06055689572173
2003-09,351.49255839721303
2003-10,359.3460176021634
2003-11,370.47160291857523
2003-12,386.2409461755161
2004-01,397.4575442412226
2004-02,401.7236663756878
2004-03,382.69621162291156
2004-04,387.82208444103816
2004-05,392.1488967065377
2004-06,397.6456136503148
2004-07,406.76170217625395
2004-08,406.9053482929545
2004-09,418.4187926486676
2004-10,423.4808560916969
2004-11,454.1518915014551
2004-12,473.4547826322199
2005-01,505.8265386111799
2005-02,577.7458121904135
2005-03,623.2756647865473
2005-04,669.9726701536323
2005-05,635.7855385741426
2005-06,747.5001278848649
2005-07,710.3084446565493
2005-08,785.1965366779565
2005-09,850.1670794385673
2005-10,861.1350179401546
2005-11,850.2727435614142
2005-12,817.5796733303475
2006-01,809.8529246999924
2006-02,762.1303013075087
2006-03,738.2308844748159
2006-04,726.6863674353658
2006-05,682.5866010667904
2006-06,666.1532448294734
2006-07,661.425078780478
2006-08,709.655281081942
2006-09,714.5535018546266
2006-10,746.7052382411556
2006-11,695.4189799560913
2006-12,744.6946490158581
2007-01,761.631601031095
2007-02,785.1823440445052
2007-03,806.0654509399945
2007-04,835.8889056901224
2007-05,911.7388886158095
2007-06,938.2026539997134
2007-07,953.7558973148315
2007-08,938.1451448630476
2007-09,972.6876754225416
2007-10,1015.8855157606774
2007-11,1000.0
2007-12,1057.038839359
2008-01,1046.2125363279963
2008-02,1092.2851374880888
2008-03,1038.4843609704703
2008-04,1074.0012759613298
2008-05,1076.605652595116
2008-06,1060.8990861635714
2008-07,1030.760476304157
2008-08,945.2884607829303
2008-09,818.4632862575165
2008-10,615.1299355101143
2008-11,538.5716039609629
2008-12,484.67084113450386
2009-01,396.03822183482356
2009-02,369.6692257668617
2009-03,400.1044341712592
2009-04,444.23329806303974
2009-05,525.6039878272511
2009-06,540.2849594308262
2009-07,550.0665085949523
2009-08,581.3978824113913
2009-09,598.6250449374722
2009-10,580.965534273803
2009-11,546.6520057853938
2009-12,540.9525952555894
2010-01,529.4682215054739
2010-02,558.932055817377
2010-03,602.5041799765561
2010-04,602.7264745259024
2010-05,547.53556386
2010-06,542.6217970459254
2010-07,574.4740571078999
2010-08,576.8018521262695
2010-09,619.9120079250923
2010-10,644.999395661687
2010-11,639.3127225620526
2010-12,669.4311771783049
2011-01,669.5000336539194
2011-02,624.8967856992915
2011-03,632.7028487719382
2011-04,661.9392966023352
2011-05,636.6042138631053
2011-06,630.9337542546529
2011-07,615.1560198123323
2011-08,583.5811097561016
2011-09,554.7970073328521
2011-10,567.0042824208064
2011-11,550.2438996683503
2011-12,544.0560863772677
