Date,WORLD ex AUSTRALIA
1969-12,100.0
1970-01,94.404555
1970-02,97.445253
1970-03,97.762315
1970-04,88.666085
1970-05,83.075741
1970-06,80.773785
1970-07,85.83802
1970-08,88.753097
1970-09,91.683093
1970-10,90.486999
1970-11,92.654105
1970-12,97.321174
1971-01,101.930169
1971-02,103.067746
1971-03,107.564846
1971-04,111.226098
1971-05,108.600248
1971-06,109.705311
1971-07,108.000754
1971-08,110.469551
1971-09,109.590241
1971-10,105.359621
1971-11,106.289603
1971-12,115.633673
1972-01,120.001641
1972-02,124.48029
1972-03,126.16855899999999
1972-04,127.910109
1972-05,130.469472
1972-06,127.335116
1972-07,129.450903
1972-08,133.172224
1972-09,131.180049
1972-10,132.158617
1972-11,139.138676
1972-12,141.669871
1973-01,141.917035
1973-02,142.887745
1973-03,143.093739
1973-04,135.913471
1973-05,135.321828
1973-06,136.243126
1973-07,139.502527
1973-08,133.860279
1973-09,137.867788
1973-10,139.153534
1973-11,121.006477
1973-12,120.019471
1974-01,120.6644
1974-02,122.352935
1974-03,119.352585
1974-04,117.414176
1974-05,112.930318
1974-06,109.439553
1974-07,103.140663
1974-08,93.064654
1974-09,84.688841
1974-10,92.609604
1974-11,91.083822
1974-12,89.606444
1975-01,102.548843
1975-02,111.727599
1975-03,112.593565
1975-04,117.362446
1975-05,119.999664
1975-06,121.592059
1975-07,114.805562
1975-08,113.063192
1975-09,108.12815
1975-10,115.651281
1975-11,118.734059
1975-12,118.774532
1976-01,129.541111
1976-02,128.530868
1976-03,130.123991
1976-04,129.109029
1976-05,126.897983
1976-06,130.843739
1976-07,129.363761
1976-08,129.071235
1976-09,130.380413
1976-10,125.876554
1976-11,125.837031
1976-12,135.2294
1977-01,130.5905
1977-02,130.06791
1977-03,129.128662
1977-04,130.584999
1977-05,128.691739
1977-06,133.623017
1977-07,131.919172
1977-08,132.511364
1977-09,134.18664
1977-10,131.720987
1977-11,133.452836
1977-12,135.959903
1978-01,132.001198
1978-02,131.084314
1978-03,136.992131
1978-04,143.102154
1978-05,144.817541
1978-06,146.281114
1978-07,156.835041
1978-08,160.331394
1978-09,162.094949
1978-10,159.002766
1978-11,153.417297
1978-12,158.341983
1979-01,162.348598
1979-02,159.148939
1979-03,165.825178
1979-04,165.667504
1979-05,162.652236
1979-06,167.461929
1979-07,168.639313
1979-08,175.157802
1979-09,178.920549
1979-10,165.378946
1979-11,170.643437
1979-12,174.854196
1980-01,184.806003
1980-02,184.757278
1980-03,165.193675
1980-04,175.967678
1980-05,184.233685
1980-06,192.908979
1980-07,198.960333
1980-08,202.624003
1980-09,208.512758
1980-10,214.330696
1980-11,223.703771
1980-12,218.70669
1981-01,212.779255
1981-02,213.612397
1981-03,220.804777
1981-04,220.951074
1981-05,216.539118
1981-06,216.22095
1981-07,213.038376
1981-08,208.685205
1981-09,193.058785
1981-10,199.346763
1981-11,214.036892
1981-12,209.433712
1982-01,206.759277
1982-02,194.393377
1982-03,189.232119
1982-04,198.221265
1982-05,193.146376
1982-06,184.546132
1982-07,182.214916
1982-08,195.568649
1982-09,196.377152
1982-10,210.072384
1982-11,221.40316
1982-12,231.306194
1983-01,235.9086
1983-02,241.188697
1983-03,249.970402
1983-04,267.478546
1983-05,264.516101
1983-06,273.023524
1983-07,267.539128
1983-08,268.791282
1983-09,274.076818
1983-10,270.827424
1983-11,277.44576
1983-12,280.892939
1984-01,283.241144
1984-02,278.624415
1984-03,291.7322
1984-04,290.655168
1984-05,269.302562
1984-06,276.290663
1984-07,261.929096
1984-08,288.157677
1984-09,287.056998
1984-10,289.940545
1984-11,288.740404
1984-12,294.950281
1985-01,311.35204
1985-02,312.379514
1985-03,323.181866
1985-04,322.272937
1985-05,338.884898
1985-06,344.908405
1985-07,351.181983
1985-08,354.204082
1985-09,356.408551
1985-10,375.630637
1985-11,397.255131
1985-12,415.945031
1986-01,421.317771
1986-02,460.17879
1986-03,504.966257
1986-04,518.169434
1986-05,516.494584
1986-06,538.252136
1986-07,543.589168
1986-08,591.044892
1986-09,566.612777
1986-10,555.747124
1986-11,579.320812
1986-12,590.165354
1987-01,660.240849
1987-02,681.058481
1987-03,722.626616
1987-04,765.096498
1987-05,765.635662
1987-06,764.768432
1987-07,778.800605
1987-08,824.206709
1987-09,808.935069
1987-10,675.462047
1987-11,657.832912
1987-12,686.201702
1988-01,703.528344
1988-02,744.565904
1988-03,765.631664
1988-04,774.580868
1988-05,757.092173
1988-06,756.221567
1988-07,769.718891
1988-08,726.864818
1988-09,758.432171
1988-10,808.659738
1988-11,837.312706
1988-12,844.878241
1989-01,874.525922
1989-02,870.782713
1989-03,864.679721
1989-04,884.510067
1989-05,862.613804
1989-06,852.391916
1989-07,948.777772
1989-08,924.17155
1989-09,950.443403
1989-10,918.622924
1989-11,955.914665
1989-12,986.126347
1990-01,939.28501
1990-02,899.108359
1990-03,844.098114
1990-04,832.32261
1990-05,919.856475
1990-06,912.393927
1990-07,919.914815
1990-08,832.523184
1990-09,743.709449
1990-10,815.250008
1990-11,801.357608
1990-12,818.394103
1991-01,847.786942
1991-02,926.208134
1991-03,898.042455
1991-04,903.831789
1991-05,924.777675
1991-06,866.377943
1991-07,906.80043
1991-08,903.695489
1991-09,926.942248
1991-10,941.139036
1991-11,899.951283
1991-12,966.275741
1992-01,948.23895
1992-02,931.222814
1992-03,886.247034
1992-04,897.963142
1992-05,933.793112
1992-06,902.226815
1992-07,904.641452
1992-08,927.954425
1992-09,919.679272
1992-10,894.990902
1992-11,910.8590459999999
1992-12,916.8005529999999
1993-01,920.100164
1993-02,940.8650100000001
1993-03,995.416898
1993-04,1041.904795
1993-05,1066.278736
1993-06,1057.275747
1993-07,1077.6066409999999
1993-08,1126.7918300000001
1993-09,1105.812447
1993-10,1134.563126789583
1993-11,1070.2266225808353
1993-12,1121.2802133381722
1994-01,1194.1708701321018
1994-02,1179.2734833006432
1994-03,1128.7864439879586
1994-04,1163.3170842993634
1994-05,1165.196245926401
1994-06,1162.6431735322192
1994-07,1183.886744083862
1994-08,1218.927172492781
1994-09,1187.191926828677
1994-10,1220.7047918739518
1994-11,1167.3778997825702
1994-12,1178.181809514989
1995-01,1161.099705375986
1995-02,1177.422256892311
1995-03,1234.9963079159613
1995-04,1277.1321570643784
1995-05,1288.3948983073958
1995-06,1287.9205416941331
1995-07,1351.224616191896
1995-08,1319.9492331567928
1995-09,1358.87776635475
1995-10,1337.3832073551712
1995-11,1383.8209708219451
1995-12,1424.1647833678367
1996-01,1449.3754612714583
1996-02,1457.3422303444768
1996-03,1481.7615443491338
1996-04,1515.7222500225298
1996-05,1516.927217016561
1996-06,1525.2147767560034
1996-07,1471.2780919581758
1996-08,1486.6772737799558
1996-09,1545.5026505537794
1996-10,1555.2059609468943
1996-11,1642.4354261131564
1996-12,1615.4752120149828
1997-01,1636.019321998133
1997-02,1654.0839597466513
1997-03,1620.6265726759023
1997-04,1673.4318808910018
1997-05,1777.5815491570152
1997-06,1866.3882186826024
1997-07,1953.5176867586902
1997-08,1822.5790600548864
1997-09,1921.4502288444278
1997-10,1822.2521915562577
1997-11,1855.0979938896294
1997-12,1876.9899560966985
1998-01,1928.023739500876
1998-02,2059.468114403681
1998-03,2147.1711837738917
1998-04,2168.494212550171
1998-05,2142.182936742464
1998-06,2193.231165776696
1998-07,2189.494286812225
1998-08,1897.236194225198
1998-09,1929.3491491516568
1998-10,2103.5298624336697
1998-11,2228.2228301209075
1998-12,2338.372963647669
1999-01,2388.1316297131584
1999-02,2324.2236399013786
1999-03,2420.6330358553732
1999-04,2513.685905599494
1999-05,2423.106426101649
1999-06,2535.680549678588
1999-07,2527.647437318857
1999-08,2524.6744303206183
1999-09,2499.4196539717464
1999-10,2631.3341532737254
1999-11,2704.2583964316495
1999-12,2923.6302798574875
2000-01,2755.109437416915
2000-02,2763.100247145324
2000-03,2956.3207000374787
2000-04,2830.4728880475996
2000-05,2758.791691822626
2000-06,2847.616888069005
2000-07,2768.348987009085
2000-08,2858.8259913478973
2000-09,2706.156035539992
2000-10,2662.044287285948
2000-11,2497.5323195649453
2000-12,2536.9932956504963
2001-01,2585.1644998936363
2001-02,2365.093790513786
2001-03,2210.636828938697
2001-04,2372.3430494139348
2001-05,2340.8323440438885
2001-06,2265.127814222535
2001-07,2236.109051902862
2001-08,2126.7811103027075
2001-09,1940.260509923572
2001-10,1975.4296441606891
2001-11,2091.470072406164
2001-12,2104.2367102983058
2002-01,2039.18644772502
2002-02,2020.767348519245
2002-03,2110.1146085343976
2002-04,2037.6631437907754
2002-05,2039.0143253858569
2002-06,1914.5190263825632
2002-07,1752.6486052637974
2002-08,1754.9274625534474
2002-09,1559.8953751748002
2002-10,1675.4662723237577
2002-11,1766.4587843003492
2002-12,1679.6092366371456
2003-01,1626.7993945127237
2003-02,1598.2143662916294
2003-03,1591.6494447457683
2003-04,1733.0227055872376
2003-05,1832.5657020741567
2003-06,1863.2371268818886
2003-07,1901.7752338068267
2003-08,1942.53652653754
2003-09,1952.9299745517221
2003-10,2067.5720097310696
2003-11,2099.690590179131
2003-12,2230.2627473413077
2004-01,2266.9037802803555
2004-02,2303.429673061061
2004-03,2287.0845910474745
2004-04,2242.254324176039
2004-05,2262.841107971337
2004-06,2310.364215548471
2004-07,2233.2309729675603
2004-08,2242.3744974429114
2004-09,2282.5107430811895
2004-10,2336.48285658292
2004-11,2457.544776685983
2004-12,2551.1216960048737
2005-01,2491.9403632307667
2005-02,2569.5809839405283
2005-03,2521.0328713737695
2005-04,2465.764781310262
2005-05,2510.7135202845516
2005-06,2529.642058677863
2005-07,2618.704859417871
2005-08,2638.4157006279993
2005-09,2704.0078973811783
2005-10,2640.9835855174974
2005-11,2728.8289046829846
2005-12,2789.2580468464016
2006-01,2912.0083735186845
2006-02,2908.695847300479
2006-03,2973.958595618296
2006-04,3059.834892887231
2006-05,2957.037585791495
2006-06,2955.6789472378323
2006-07,2973.6837426218904
2006-08,3050.6749404118227
2006-09,3089.1159672825997
2006-10,3198.9924274049777
2006-11,3276.0520698104924
2006-12,3341.5518106351014
2007-01,3381.8733335796096
2007-02,3360.6912165643034
2007-03,3418.8157027347243
2007-04,3568.043322107717
2007-05,3669.4153316181905
2007-06,3637.361511328791
2007-07,3555.858672118759
2007-08,3555.2302740550895
2007-09,3713.4968896036085
2007-10,3821.8622829501483
2007-11,3670.2768507624314
2007-12,3625.72240331433
2008-01,3350.519140254357
2008-02,3327.3203030405016
2008-03,3300.6090451131
2008-04,3470.7010081170474
2008-05,3522.7385252925355
2008-06,3239.7227063839873
2008-07,3165.5910947361954
2008-08,3124.1063573336473
2008-09,2757.9903900066024
2008-10,2240.397841965282
2008-11,2096.0148393712698
2008-12,2161.4824753912626
2009-01,1974.8447757958863
2009-02,1769.1849917317636
2009-03,1897.2693516898562
2009-04,2110.0805919543
2009-05,2300.6814435258934
2009-06,2286.105831218556
2009-07,2478.2847607357867
2009-08,2576.871832423475
2009-09,2672.118857959867
2009-10,2622.5783220273634
2009-11,2730.8181748041543
2009-12,2779.9686436451275
2010-01,2668.3489337886335
2010-02,2703.861063252628
2010-03,2868.9766181173454
2010-04,2870.0617816315857
2010-05,2603.556070193765
2010-06,2513.0767459699027
2010-07,2712.9170385295174
2010-08,2610.941812139254
2010-09,2849.8532105347667
2010-10,2957.101654042167
2010-11,2894.818092332723
2010-12,3103.898608777709
2011-01,3179.89629738351
2011-02,3289.8594503334725
2011-03,3253.241900624689
2011-04,3389.4008147079885
2011-05,3323.244199288859
2011-06,3269.970527247303
2011-07,3211.1881986804783
2011-08,2981.5376742765357
2011-09,2731.372397342847
2011-10,3006.8886117702064
2011-11,2938.6917707515713
2011-12,2938.7011075740106
2012-01,3081.961685631493
2012-02,3234.778047003298
2012-03,3281.4523308490134
2012-04,3240.477403553774
2012-05,2966.0411148557705
2012-06,3115.1870617422296
2012-07,3148.1383228201394
2012-08,3230.8553196521284
2012-09,3319.768396519099
2012-10,3293.159551135618
2012-11,3335.499047116597
2012-12,3396.8727476857703
2013-01,3569.3542119006315
2013-02,3569.9477631979985
2013-03,3657.7691662507573
2013-04,3770.7285942237245
2013-05,3790.7079466387063
2013-06,3702.665560807555
2013-07,3900.6686620868577
2013-08,3812.900374596514
2013-09,4000.6887642704196
2013-10,4154.977677146508
2013-11,4237.8867191387535
2013-12,4333.051905982406
2014-01,4174.939016528328
2014-02,4380.378596848163
2014-03,4381.33746127777
2014-04,4424.999095497484
2014-05,4513.341708752893
2014-06,4597.08780870178
2014-07,4517.041927761577
