Date,EM EASTERN EUROPE
2000-12,100.0
2001-01,109.12517224251559
2001-02,96.83418060366782
2001-03,91.73696034013065
2001-04,97.46296433552351
2001-05,107.20275847967802
2001-06,102.2409813299445
2001-07,93.52409903154934
2001-08,94.42287592066297
2001-09,83.70169653976006
2001-10,96.47313514796797
2001-11,104.72391950907837
2001-12,111.61577981748164
2002-01,122.32577659225772
2002-02,114.41121076148296
2002-03,126.73248012024352
2002-04,137.6283573804206
2002-05,139.62935924177793
2002-06,125.5754720714789
2002-07,115.02471387241081
2002-08,120.48357135153843
2002-09,117.50131228140431
2002-10,127.27707345919555
2002-11,130.52204827124842
2002-12,129.6448055223726
2003-01,124.09631683984978
2003-02,130.78403147417518
2003-03,125.36051238729718
2003-04,147.3335855683102
2003-05,164.86323716732642
2003-06,168.62984396101893
2003-07,164.39274658125882
2003-08,185.7007775503493
2003-09,192.941466
2003-10,187.522673
2003-11,192.13624999884158
2003-12,208.2982429684933
2004-01,218.37715297312553
2004-02,235.98386606003518
2004-03,259.28455789015686
2004-04,230.00966387283563
2004-05,225.49258569137024
2004-06,227.49574222269595
2004-07,217.04952138645226
2004-08,231.88521074771282
2004-09,250.44182803369512
2004-10,265.162072259832
2004-11,271.30195705533083
2004-12,280.23002349541076
2005-01,281.64020020583746
2005-02,326.18334188060334
2005-03,296.6422613499412
2005-04,284.3911911319366
2005-05,286.3862835304648
2005-06,303.2055358501834
2005-07,333.45035640390944
2005-08,370.23998534734244
2005-09,417.1848873427757
2005-10,380.1378482933804
2005-11,402.2886119426646
2005-12,418.0586531019307
2006-01,479.6144109221014
2006-02,501.41093860011966
2006-03,500.9502279418927
2006-04,558.6310587007106
2006-05,500.5861040488126
2006-06,507.7423332608847
2006-07,535.6718734087583
2006-08,544.5771116211922
2006-09,514.2590077606004
2006-10,535.5562708961417
2006-11,592.033012855232
2006-12,611.6648224660303
2007-01,587.2708771185736
2007-02,573.9464872030527
2007-03,605.1421220240273
2007-04,610.3588086170278
2007-05,582.7131335287152
