Date,ACWI ex INDIA
1998-12,1000.0
1999-01,1019.4378134387368
1999-02,993.3230666670606
1999-03,1038.1365918232584
1999-04,1083.2462322850704
1999-05,1044.6229837001442
1999-06,1096.7903125773794
1999-07,1091.119058189918
1999-08,1089.3571673236208
1999-09,1077.2768860505214
1999-10,1131.604286068594
1999-11,1166.1862203287887
1999-12,1262.4735854542453
2000-01,1192.664707773253
2000-02,1195.2437664553931
2000-03,1275.2112934308172
2000-04,1218.4585295411223
2000-05,1187.828317624761
2000-06,1227.3700954747098
2000-07,1191.0252689132578
2000-08,1228.1563364209162
2000-09,1160.5472818971016
2000-10,1137.4642732297114
2000-11,1066.1340897215582
2000-12,1083.4452483976684
2001-01,1110.4754722138562
2001-02,1016.7009846992319
2001-03,948.4027491317437
2001-04,1017.4141272199183
2001-05,1005.3000535726006
2001-06,974.0190935845054
2001-07,958.8082106061431
2001-08,914.3335375369734
2001-09,830.7523432874482
2001-10,848.1306371413871
2001-11,899.9143402043103
2001-12,908.1717691677119
2002-01,882.9969262957824
2002-02,876.0774693154797
2002-03,915.4469052641701
2002-04,886.125436499314
2002-05,886.9683132291167
2002-06,832.3968634860864
2002-07,762.392040638183
2002-08,764.0166883662253
2002-09,679.8924460765604
2002-10,729.8456696723399
2002-11,769.4456289357264
2002-12,732.3832406114943
2003-01,710.8200514614971
2003-02,698.0459991422189
2003-03,695.1326000526943
2003-04,756.9185480763764
2003-05,800.4153994428623
2003-06,815.2345177539361
2003-07,833.0046692697797
2003-08,852.3170966879619
2003-09,857.424181368646
2003-10,909.106482643823
2003-11,922.6766195000306
2003-12,980.7287960923152
2004-01,997.4005915758488
2004-02,1015.5275274456492
2004-03,1009.6269825930541
2004-04,985.8925766150769
2004-05,993.9911652893721
2004-06,1013.6914785226921
2004-07,981.0389955244633
2004-08,987.0318300928077
2004-09,1007.3683334948556
2004-10,1031.951675783733
2004-11,1088.0144202337879
2004-12,1129.9943213739116
2005-01,1106.0184932057532
2005-02,1144.3646838868744
2005-03,1119.1847516924233
2005-04,1094.599511196673
2005-05,1114.8209094436922
2005-06,1125.8065688177032
2005-07,1167.3679960628485
2005-08,1176.248862080796
2005-09,1211.3567021854
2005-10,1179.0716268515519
2005-11,1221.7490337196643
2005-12,1251.464370775319
2006-01,1312.9346729288789
2006-02,1310.8602647938308
2006-03,1337.9896925658695
2006-04,1382.513215867107
2006-05,1328.6726284657439
2006-06,1327.979232698228
2006-07,1337.0562886464659
2006-08,1371.3104146468909
2006-09,1386.8542160163706
2006-10,1438.6739686565518
2006-11,1479.1280628011496
2006-12,1512.0644055766677
2007-01,1526.981602978276
2007-02,1519.620866666706
2007-03,1550.0111512543492
2007-04,1618.2075671854532
2007-05,1665.965674850879
2007-06,1660.9644676645887
2007-07,1634.8193603883346
2007-08,1630.6013067197023
2007-09,1716.931691725016
2007-10,1782.2950046963504
2007-11,1703.140574073987
2007-12,1682.9983511058015
2008-01,1546.1419652461875
2008-02,1550.8823545585153
2008-03,1529.7002420392407
2008-04,1614.362637060334
2008-05,1641.1894463441074
2008-06,1507.8419980696938
2008-07,1467.7546315171621
2008-08,1436.010295141351
2008-09,1257.1653965764165
2008-10,1008.799226875079
2008-11,942.7798655306468
2008-12,976.6226744064455
2009-01,892.780592702725
2009-02,805.3926336370033
2009-03,871.5274359406127
2009-04,973.9408372109704
2009-05,1069.0703205728303
2009-06,1063.2426350134149
2009-07,1156.8255937179663
2009-08,1198.6859701190235
